"Family","Count"
"myctophidae",19687
"engraulidae",17116
"sciaenidae",9418
"gobiidae",5925
"paralichthyidae",5510
"gonostomatidae",4813
"pleuronectidae",4375
"sternoptychidae",4206
"cottidae",3649
"bathylagidae",3392
"sebastidae",3144
"serranidae",3082
"stomiidae",2768
"melamphaidae",2749
"blenniidae",2414
"clupeidae",2132
"pomacentridae",2011
"labridae",1925
"atherinopsidae",1906
"clinidae",1592
"scorpaenidae",1589
"carangidae",1564
"characidae",1550
"cyprinidae",1448
"platytroctidae",1335
"exocoetidae",1285
"labrisomidae",1252
"poeciliidae",1231
"muraenidae",1138
"haemulidae",1131
"cichlidae",1053
"phosichthyidae",1023
"gobiesocidae",937
"zoarcidae",866
"apogonidae",831
"nemichthyidae",828
"synodontidae",820
"embiotocidae",819
"cynoglossidae",815
"scombridae",814
"loricariidae",802
"holocentridae",799
"paralepididae",766
"macrouridae",749
"ophichthidae",721
"syngnathidae",704
"hexagrammidae",665
"tetraodontidae",664
"gerreidae",660
"congridae",647
"ophidiidae",647
"gasterosteidae",642
"acanthuridae",640
"lutjanidae",562
"catostomidae",531
"mugilidae",508
"alepocephalidae",506
"chaetodontidae",498
"kyphosidae",498
"centrarchidae",486
"sparidae",484
"chaenopsidae",483
"salmonidae",463
"batrachoididae",461
"hemiramphidae",460
"stichaeidae",455
"agonidae",442
"scopelarchidae",440
"carcharhinidae",438
"atherinidae",435
"sphyraenidae",426
"oneirodidae",424
"stromateidae",422
"tripterygiidae",417
"bothidae",408
"scaridae",394
"balistidae",376
"nototheniidae",358
"chiasmodontidae",343
"merlucciidae",343
"serrivomeridae",339
"liparidae",334
"ariidae",331
"belonidae",329
"scomberesocidae",320
"triglidae",320
"pomacanthidae",319
"bythitidae",315
"heptapteridae",303
"mullidae",298
"scyliorhinidae",274
"rajidae",261
"dactyloscopidae",238
"neoscopelidae",236
"pimelodidae",232
"pholidae",218
"ictaluridae",215
"triakidae",206
"trichiuridae",202
"apteronotidae",201
"eleotridae",200
"cirrhitidae",192
"opisthoproctidae",192
"priacanthidae",189
"monacanthidae",188
"fundulidae",184
"gadidae",183
"istiophoridae",180
"trachipteridae",180
"moridae",177
"melanocetidae",175
"ceratiidae",170
"polynemidae",167
"urolophidae",166
"gempylidae",160
"achiridae",158
"diodontidae",156
"microstomatidae",154
"antennariidae",152
"osmeridae",151
"chlopsidae",150
"ostraciidae",143
"bathydraconidae",139
"channichthyidae",139
"notosudidae",139
"curimatidae",136
"dasyatidae",133
"rhinobatidae",132
"auchenipteridae",125
"bregmacerotidae",122
"epigonidae",122
"fistulariidae",121
"siganidae",120
"trichomycteridae",120
"anostomidae",119
"pristigasteridae",119
"sternopygidae",117
"anoplogastridae",115
"leiognathidae",110
"callionymidae",108
"centropomidae",105
"argentinidae",104
"percidae",103
"gobioidei",101
"pinguipedidae",100
"harpagiferidae",99
"lamnidae",99
"sphyrnidae",98
"bathymasteridae",96
"ephippidae",96
"malacanthidae",96
"cyprinodontidae",95
"nomeidae",94
"centrolophidae",93
"heterodontidae",93
"carapidae",92
"echeneidae",92
"myliobatidae",91
"serrasalmidae",90
"albulidae",87
"coryphaenidae",86
"aplocheilidae",84
"pseudochromidae",84
"melanostomiidae",81
"ogcocephalidae",81
"lepisosteidae",80
"petromyzontidae",80
"microdesmidae",79
"cyematidae",78
"branchiostomidae",77
"moringuidae",77
"nettastomatidae",76
"cetomimidae",75
"linophrynidae",74
"bramidae",73
"gigantactinidae",73
"callichthyidae",72
"synaphobranchidae",69
"gymnotidae",68
"squalidae",68
"erythrinidae",67
"soleidae",67
"chimaeridae",66
"lethrinidae",66
"acropomatidae",64
"opistognathidae",62
"cyclopteridae",61
"narcinidae",61
"uranoscopidae",60
"gymnuridae",57
"hexanchidae",57
"psychrolutidae",55
"melanonidae",54
"myxinidae",54
"platycephalidae",54
"evermannellidae",52
"terapontidae",52
"muraenolepididae",51
"alopiidae",49
"symphysanodontidae",48
"xiphiidae",48
"astronesthidae",47
"derichthyidae",47
"howellidae",47
"nemipteridae",47
"kuhliidae",46
"eurypharyngidae",45
"synbranchidae",45
"hemitripteridae",44
"lebiasinidae",44
"notothenioidei",44
"plesiopidae",44
"aspredinidae",42
"schindleriidae",42
"caesionidae",41
"stylephoridae",41
"cetopsidae",39
"etmopteridae",39
"aulostomidae",38
"doradidae",38
"drepaneidae",38
"acipenseridae",37
"anoplopomatidae",37
"gasteropelecidae",37
"ammodytidae",36
"lophiidae",36
"pseudopimelodidae",36
"centriscidae",35
"zanclidae",34
"arhynchobatidae",33
"chlorophthalmidae",32
"cynodontidae",32
"tetragonuridae",32
"anguillidae",31
"alepisauridae",30
"dactylopteridae",30
"halosauridae",29
"latidae",29
"lobotidae",29
"plotosidae",29
"squatinidae",29
"aulorhynchidae",28
"chirocentridae",28
"grammatidae",28
"ceratioidei",27
"molidae",27
"rhinopteridae",27
"sillaginidae",27
"synodontoidei",27
"giganturidae",26
"trachichthyidae",26
"champsodontidae",25
"channidae",25
"dalatiidae",25
"moronidae",25
"normanichthyidae",25
"notopteridae",25
"xenocongridae",25
"chanidae",24
"elopidae",24
"lactariidae",24
"oreosomatidae",24
"pristidae",24
"torpedinidae",24
"icosteidae",23
"zeniontidae",23
"odontaspididae",22
"pempheridae",22
"muraenesocidae",21
"saccopharyngidae",21
"brotulidae",20
"caproidae",20
"ginglymostomatidae",20
"chauliodontidae",19
"hemiodontidae",19
"himantolophidae",19
"hypopomidae",19
"mormyridae",19
"nematistiidae",19
"polyprionidae",19
"scombrolabracidae",19
"ambassidae",18
"esocidae",18
"percophidae",18
"bovichthyidae",17
"caristiidae",17
"elassomatidae",17
"hypophthalmidae",17
"idiacanthidae",17
"potamotrygonidae",17
"rondeletiidae",17
"hemigaleidae",16
"stromateoidei",16
"anarhichadidae",15
"caulophrynidae",15
"ipnopidae",15
"notorynchidae",15
"profundulidae",15
"rhamphichthyidae",15
"scatophagidae",15
"triacanthidae",15
"amiidae",14
"callanthiidae",14
"chaunacidae",13
"diceratiidae",13
"mastacembelidae",13
"psettodidae",13
"rachycentridae",13
"scombroidei",13
"acestrorhynchidae",12
"astroblepidae",12
"bagridae",12
"clariidae",12
"cobitidae",12
"congiopodidae",12
"galaxiidae",12
"hemiscylliidae",12
"nandidae",12
"zenionidae",12
"aphredoderidae",11
"ariommatidae",11
"aulopidae",11
"cepolidae",11
"luvaridae",11
"melanotaeniidae",11
"mobulidae",11
"pegasidae",11
"polymixiidae",11
"argentinoidei",10
"cheilodactylidae",10
"echinorhinidae",10
"photichthyidae",10
"pomatomidae",10
"somniosidae",10
"trichodontidae",10
"anablepidae",9
"blennioidei",9
"creediidae",9
"diretmidae",9
"hiodontidae",9
"malacosteidae",9
"oplegnathidae",9
"stegostomatidae",9
"synanceiidae",9
"berycidae",8
"cetorhinidae",8
"macroramphosidae",8
"menidae",8
"regalecidae",8
"sisoridae",8
"caracanthidae",7
"centrogeniidae",7
"centrophrynidae",7
"ctenoluciidae",7
"goodeidae",7
"hoplichthyidae",7
"kurtidae",7
"percichthyidae",7
"poecilopsettidae",7
"rhinochimaeridae",7
"siluridae",7
"barbourisiidae",6
"dinopercidae",6
"notacanthidae",6
"orectolobidae",6
"osteoglossidae",6
"rhombosoleidae",6
"zeidae",6
"ateleopodidae",5
"centrophoridae",5
"lateolabracidae",5
"monocentridae",5
"monodactylidae",5
"rhinidae",5
"salangidae",5
"anomalopidae",4
"colocongridae",4
"cryptacanthodidae",4
"cyttidae",4
"diplomystidae",4
"grammicolepididae",4
"lamprididae",4
"lophotidae",4
"megalopidae",4
"osphronemidae",4
"percopsidae",4
"rhamphocottidae",4
"scophthalmidae",4
"stephanoberycidae",4
"trachinidae",4
"bathylaconidae",3
"bathysauridae",3
"brachaeluridae",3
"ceratioidea",3
"citharidae",3
"lotidae",3
"odacidae",3
"pantodontidae",3
"pentacerotidae",3
"phycidae",3
"pseudomugilidae",3
"samaridae",3
"scytalinidae",3
"tetrarogidae",3
"thaumatichthyidae",3
"zaproridae",3
"aploactinidae",2
"arripidae",2
"balitoridae",2
"bathyclupeidae",2
"callorhinchidae",2
"chlamydoselachidae",2
"coelacanthidae",2
"electrophoridae",2
"emmelichthyidae",2
"euclichthyidae",2
"gobionellidae",2
"gyrinocheilidae",2
"leptochariidae",2
"megalomycteridae",2
"mirapinnidae",2
"mochokidae",2
"neoceratiidae",2
"notocheiridae",2
"ostracoberycidae",2
"polycentridae",2
"polyodontidae",2
"pristiophoridae",2
"pseudocarchariidae",2
"rajiformes",2
"schilbeidae",2
"trachinoidei",2
"triacanthodidae",2
"trichonotidae",2
"umbridae",2
"vorhisiidae",2
"acanthuroidei",1
"adrianichthyidae",1
"alestidae",1
"alestiidae",1
"amarsipidae",1
"amblyopsidae",1
"anabantidae",1
"artedidraconidae",1
"atherionidae",1
"brachionichthyidae",1
"branchiostomatidae",1
"ceratodontidae",1
"chandidae",1
"cheimarrhichthyidae",1
"chimaeroidei",1
"chironemidae",1
"gonorynchidae",1
"grammistidae",1
"harpadontidae",1
"heterenchelyidae",1
"heteropneustidae",1
"lepidosirenidae",1
"megachasmidae",1
"mitsukurinidae",1
"mugiloididae",1
"narkidae",1
"omosudidae",1
"parabrotulidae",1
"phallostethidae",1
"pholididae",1
"polypteridae",1
"prochilodontidae",1
"ptilichthyidae",1
"retropinnidae",1
"rhincodontidae",1
"scoloplacidae",1
"scopelosauridae",1
"toxotidae",1
"veliferidae",1
