"Family","Count"
"cyprinidae",42063
"percidae",19261
"centrarchidae",13819
"catostomidae",8764
"ictaluridae",4015
"fundulidae",1602
"clupeidae",1458
"cottidae",1230
"petromyzontidae",1089
"atherinopsidae",920
"esocidae",783
"moronidae",746
"salmonidae",544
"sciaenidae",543
"percopsidae",409
"poeciliidae",356
"gasterosteidae",302
"umbridae",260
"lepisosteidae",226
"hiodontidae",180
"acipenseridae",111
"lotidae",108
"aphredoderidae",106
"pleuronectidae",93
"anguillidae",91
"osmeridae",91
"gobiidae",90
"amiidae",85
"stromateidae",64
"scophthalmidae",58
"triglidae",57
"pomatomidae",55
"achiridae",40
"mugilidae",38
"paralichthyidae",36
"cichlidae",32
"goodeidae",31
"elassomatidae",29
"sparidae",27
"labridae",25
"gadidae",24
"characidae",23
"carangidae",20
"polyodontidae",17
"syngnathidae",14
"cyprinodontidae",13
"phycidae",13
"scombridae",10
"pholidae",9
"engraulidae",8
"batrachoididae",6
"amblyopsidae",5
"ammodytidae",5
"belonidae",5
"carcharhinidae",5
"embiotocidae",5
"blenniidae",4
"clariidae",4
"lutjanidae",4
"monodactylidae",4
"pimelodidae",4
"stichaeidae",4
"zoarcidae",4
"ariidae",3
"atherinidae",3
"cyclopteridae",3
"gerreidae",3
"haemulidae",3
"heptapteridae",3
"mastacembelidae",3
"serranidae",3
"sphyraenidae",3
"tetraodontidae",3
"toxotidae",3
"arapaimidae",2
"channidae",2
"cobitidae",2
"eleotridae",2
"lophiidae",2
"ophichthidae",2
"osphronemidae",2
"polypteridae",2
"rajidae",2
"scorpaenidae",2
"synodontidae",2
"triakidae",2
"acanthuridae",1
"anablepidae",1
"aulorhynchidae",1
"centropomidae",1
"chimaeridae",1
"dactylopteridae",1
"datnioididae",1
"diodontidae",1
"elopidae",1
"ginglymostomatidae",1
"latidae",1
"malapteruridae",1
"megalopidae",1
"merlucciidae",1
"mochokidae",1
"myxinidae",1
"notopteridae",1
"osteoglossidae",1
"ostraciidae",1
"pomacentridae",1
"pristidae",1
"retropinnidae",1
"schilbeidae",1
"sebastidae",1
"serrasalmidae",1
"squalidae",1
"synbranchidae",1
"urolophidae",1
