"Family","Count"
"mustelidae",564
"cricetidae",495
"canidae",331
"delphinidae",196
"anatidae",191
"cottidae",185
"fringillidae",144
"otariidae",133
"emberizidae",125
"scolopacidae",119
"parulidae",112
"sebastidae",111
"accipitridae",99
"embiotocidae",92
"gobiidae",79
"soricidae",78
"laridae",76
"turdidae",75
"trochilidae",72
"alcidae",69
"vespertilionidae",69
"phocidae",66
"sciuridae",63
"felidae",62
"leporidae",61
"icteridae",60
"strigidae",60
"pleuronectidae",59
"picidae",57
"paralichthyidae",56
"procellariidae",56
"falconidae",54
"cervidae",51
"corvidae",51
"clinidae",48
"procyonidae",46
"phalacrocoracidae",45
"podicipedidae",44
"syngnathidae",44
"ardeidae",42
"myctophidae",40
"agonidae",39
"geomyidae",39
"columbidae",38
"bovidae",37
"mephitidae",37
"troglodytidae",37
"sciaenidae",35
"zoarcidae",35
"gaviidae",34
"hirundinidae",33
"centrarchidae",32
"gobiesocidae",32
"odontophoridae",31
"scyliorhinidae",31
"stichaeidae",31
"atherinopsidae",29
"hexagrammidae",29
"heteromyidae",28
"phocoenidae",27
"talpidae",27
"didelphidae",25
"blenniidae",24
"cyprinidae",24
"salmonidae",24
"muridae",23
"sternoptychidae",23
"tytonidae",23
"castoridae",22
"emydidae",22
"liparidae",22
"testudinidae",22
"batrachoididae",21
"cardinalidae",21
"suidae",21
"kyphosidae",20
"ophidiidae",20
"stomiidae",20
"triakidae",20
"cheloniidae",19
"macrouridae",19
"rallidae",19
"ursidae",19
"bombycillidae",18
"cathartidae",18
"phasianidae",18
"scorpaenidae",18
"serranidae",18
"tyrannidae",18
"regulidae",17
"sylviidae",17
"eschrichtiidae",16
"molossidae",16
"pelecanidae",16
"rhinobatidae",16
"cynoglossidae",15
"fundulidae",15
"pholidae",15
"scombridae",15
"thraupidae",15
"clupeidae",14
"caprimulgidae",13
"gasterosteidae",13
"labridae",13
"mimidae",13
"psittacidae",13
"rajidae",13
"chaenopsidae",12
"charadriidae",12
"iguanidae",12
"colubridae",11
"equidae",11
"gonostomatidae",11
"labrisomidae",11
"recurvirostridae",11
"balaenopteridae",10
"bathylagidae",10
"engraulidae",10
"heterodontidae",10
"myxinidae",10
"paridae",10
"pomacentridae",10
"ranidae",10
"sulidae",10
"urolophidae",10
"chimaeridae",9
"dermochelyidae",9
"macropodidae",9
"squalidae",9
"sturnidae",9
"alepocephalidae",8
"anarhichadidae",8
"atelidae",8
"haemulidae",8
"kogiidae",8
"laniidae",8
"malacanthidae",8
"pandionidae",8
"poeciliidae",8
"argentinidae",7
"chelydridae",7
"lamnidae",7
"passeridae",7
"pycnonotidae",7
"stromateidae",7
"synodontidae",7
"aegithalidae",6
"alaudidae",6
"callitrichidae",6
"carcharhinidae",6
"cuculidae",6
"erethizontidae",6
"hyperoodontidae",6
"ostraciidae",6
"phrynosomatidae",6
"ramphastidae",6
"trichiuridae",6
"balaenidae",5
"caviidae",5
"cetorhinidae",5
"diomedeidae",5
"exocoetidae",5
"hominidae",5
"ictaluridae",5
"moridae",5
"mugilidae",5
"priacanthidae",5
"sittidae",5
"sphyraenidae",5
"vireonidae",5
"anguidae",4
"aulorhynchidae",4
"balistidae",4
"belonidae",4
"bythitidae",4
"cercopithecidae",4
"echeneidae",4
"ochotonidae",4
"odobenidae",4
"osmeridae",4
"physeteridae",4
"torpedinidae",4
"trachipteridae",4
"triglidae",4
"varanidae",4
"acipenseridae",3
"carangidae",3
"cyclopteridae",3
"dasypodidae",3
"fregatidae",3
"hydrobatidae",3
"hylobatidae",3
"melamphaidae",3
"merlucciidae",3
"muraenidae",3
"myliobatidae",3
"nemichthyidae",3
"petromyzontidae",3
"phoenicopteridae",3
"phyllostomidae",3
"rhamphocottidae",3
"squatinidae",3
"albulidae",2
"alcedinidae",2
"alepisauridae",2
"alligatoridae",2
"ammodytidae",2
"anoplopomatidae",2
"antilocapridae",2
"aotidae",2
"apodidae",2
"bathymasteridae",2
