"Family","Count"
"cyprinidae",12285
"centrarchidae",10011
"poeciliidae",6320
"percidae",2912
"ictaluridae",2231
"fundulidae",2212
"cichlidae",2187
"characidae",1563
"sciaenidae",1345
"clupeidae",1301
"atherinopsidae",1162
"catostomidae",1075
"cyprinodontidae",826
"carangidae",713
"gobiidae",572
"mugilidae",547
"paralichthyidae",491
"engraulidae",473
"syngnathidae",369
"sparidae",326
"gerreidae",324
"eleotridae",317
"lepisosteidae",314
"serranidae",304
"aphredoderidae",275
"triglidae",249
"loricariidae",241
"tetraodontidae",218
"lutjanidae",210
"haemulidae",201
"esocidae",184
"achiridae",176
"batrachoididae",170
"synodontidae",164
"heptapteridae",159
"polynemidae",154
"blenniidae",139
"labrisomidae",135
"belonidae",126
"elassomatidae",125
"cynoglossidae",123
"ariidae",114
"elopidae",112
"ophidiidae",107
"mochokidae",103
"mormyridae",102
"stromateidae",102
"ophichthidae",101
"monacanthidae",98
"scorpaenidae",98
"ogcocephalidae",89
"erythrinidae",83
"pomacentridae",81
"callichthyidae",80
"moronidae",78
"centropomidae",77
"ephippidae",76
"curimatidae",75
"petromyzontidae",69
"uranoscopidae",68
"sphyraenidae",65
"antennariidae",64
"trichiuridae",63
"salmonidae",53
"gadidae",52
"aplocheilidae",51
"labridae",51
"mullidae",51
"diodontidae",50
"lebiasinidae",50
"muraenidae",46
"clariidae",45
"clinidae",45
"gymnotidae",44
"bothidae",42
"dasyatidae",42
"scombridae",42
"synbranchidae",42
"hemiramphidae",41
"alestiidae",40
"serrasalmidae",40
"anabantidae",39
"atherinidae",39
"rajidae",38
"sternopygidae",37
"balistidae",36
"gobiesocidae",36
"auchenipteridae",35
"echeneidae",35
"anguillidae",34
"exocoetidae",34
"hypopomidae",30
"narcinidae",30
"trichomycteridae",30
"aspredinidae",29
"carcharhinidae",28
"pseudopimelodidae",28
"schilbeidae",28
"anostomidae",27
"congridae",26
"macrouridae",26
"nettastomatidae",26
"pimelodidae",26
"amiidae",25
"chaetodontidae",25
"ostraciidae",25
"citharinidae",24
"pomatomidae",23
"pomacanthidae",22
"scaridae",22
"mastacembelidae",19
"lobotidae",18
"apogonidae",17
"apteronotidae",17
"gasteropelecidae",17
"sphyrnidae",17
"priacanthidae",16
"alestidae",15
"rachycentridae",15
"doradidae",14
"cottidae",13
"malacanthidae",13
"percophidae",13
"bagridae",11
"hepsetidae",11
"megalopidae",11
"acestrorhynchidae",10
"etmopteridae",10
"gasterosteidae",10
"rhinobatidae",10
"chaenopsidae",9
"chlorophthalmidae",9
"coryphaenidae",9
"gymnuridae",9
"triakidae",9
"anablepidae",8
"dactylopteridae",8
"gonostomatidae",8
"goodeidae",8
"hiodontidae",8
"stomiidae",8
"holocentridae",7
"kyphosidae",7
"moringuidae",7
"albulidae",6
"merlucciidae",6
"poecilopsettidae",6
"rhinopteridae",6
"synaphobranchidae",6
"fistulariidae",5
"opistognathidae",5
"polymixiidae",5
"rhamphichthyidae",5
"sternoptychidae",5
"acropomatidae",4
"amblyopsidae",4
"amphiliidae",4
"ipnopidae",4
"lophiidae",4
"moridae",4
"nomeidae",4
"scyliorhinidae",4
"umbridae",4
"zeidae",4
"acanthuridae",3
"argentinidae",3
"bregmacerotidae",3
"bythitidae",3
"callionymidae",3
"cheimarrhichthyidae",3
"chimaeridae",3
"cobitidae",3
"cynodontidae",3
"dactyloscopidae",3
"epigonidae",3
"latidae",3
"myliobatidae",3
"neoscopelidae",3
"osteoglossidae",3
"phosichthyidae",3
"pleuronectidae",3
"polypteridae",3
"squalidae",3
"torpedinidae",3
"alepocephalidae",2
"bathyclupeidae",2
"caproidae",2
"centrolophidae",2
"cetopsidae",2
"chlopsidae",2
"dalatiidae",2
"electrophoridae",2
"galaxiidae",2
"gempylidae",2
"halosauridae",2
"hemiodontidae",2
"hexanchidae",2
"lacantuniidae",2
"lepidosirenidae",2
"myctophidae",2
"myxinidae",2
"notopteridae",2
"osphronemidae",2
"potamotrygonidae",2
"siluridae",2
"squatinidae",2
"trachichthyidae",2
"tripterygiidae",2
"acipenseridae",1
"adrianichthyidae",1
"anacanthobatidae",1
"anarhichadidae",1
"anoplopomatidae",1
"ateleopodidae",1
"bathymasteridae",1
"centriscidae",1
"centrophoridae",1
"chanidae",1
"chaunacidae",1
"colocongridae",1
"ctenoluciidae",1
"ginglymostomatidae",1
"grammicolepididae",1
"helostomatidae",1
"melamphaidae",1
"melanonidae",1
"microdesmidae",1
"molidae",1
"nandidae",1
"nemichthyidae",1
"osmeridae",1
"pangasiidae",1
"paralepididae",1
"parazenidae",1
"parodontidae",1
"pempheridae",1
"polycentridae",1
"polyodontidae",1
"pristidae",1
"pristigasteridae",1
"profundulidae",1
"retropinnidae",1
"sebastidae",1
"stichaeidae",1
"triacanthodidae",1
"urolophidae",1
