"Family","Count"
"cyprinidae",966
"salmonidae",355
"centrarchidae",189
"catostomidae",158
"percidae",120
"fundulidae",115
"characidae",100
"cichlidae",73
"ictaluridae",67
"bagridae",55
"channidae",46
"cottidae",37
"nandidae",34
"atherinopsidae",25
"clariidae",24
"clupeidae",23
"gasterosteidae",23
"poeciliidae",21
"siluridae",20
"gobiidae",19
"scorpaenidae",19
"anostomidae",18
"esocidae",16
"blenniidae",14
"sciaenidae",14
"belonidae",13
"lepososteidae",11
"syngnathidae",11
"umbridae",11
"acipenseridae",10
"amiidae",10
"curimatidae",10
"labridae",10
"petromyzontidae",10
"chaetodontidae",9
"agonidae",8
"cyprinodontidae",8
"lebiasinidae",8
"pleuronectidae",8
"synbranchidae",8
"ariidae",7
"erythrinidae",7
"mormyridae",7
"pholidae",7
"acestrorhynchidae",6
"aspredinidae",6
"stichaeidae",6
"tetraodontidae",6
"anablepidae",5
"callichthyidae",5
"cyclopteridae",5
"haemulidae",5
"holocentridae",5
"mugilidae",5
"pomacanthidae",5
"serranidae",5
"anguillidae",4
"engraulidae",4
"hemiodontidae",4
"hemiramphidae",4
"mochokidae",4
"polypteridae",4
"pristidae",4
"schilbeidae",4
"squalidae",4
"sternopygidae",4
"acanthuridae",3
"centropomidae",3
"embiotocidae",3
"gadidae",3
"percopsidae",3
"potamotrygonidae",3
"scaridae",3
"scombridae",3
"sparidae",3
"trichiuridae",3
"zoarcidae",3
"achiridae",2
"adrianichthyidae",2
"alestidae",2
"ammodytidae",2
"apogonidae",2
"apteronotidae",2
"atherinidae",2
"auchenipteridae",2
"balistidae",2
"batrachoididae",2
"carangidae",2
"chiasmodontidae",2
"chimaeridae",2
"cirrhitidae",2
"clinidae",2
"dactylopteridae",2
"dasyatidae",2
"elassomatidae",2
"ephippidae",2
"etmopteridae",2
"fistulariidae",2
"gasteropelecidae",2
"gymnotidae",2
"gymnuridae",2
"hemitripteridae",2
"heptapteridae",2
"hypopomidae",2
"loricariidae",2
"lotidae",2
"mastacembelidae",2
"menidae",2
"muraenidae",2
"ophidiidae",2
"ostraciidae",2
"pinguipedidae",2
"polycentridae",2
"pomacentridae",2
"pristigasteridae",2
"psychrolutidae",2
"rajidae",2
"rhamphichthyidae",2
"scrophulariaceae",2
"sphyrnidae",2
"tripterygiidae",2
"amblyopsidae",1
"aphredoderidae",1
"asterolepidae",1
"bathymasteridae",1
"carcharhinidae",1
"chaenopsidae",1
"dalatiidae",1
"dunkleosteidae",1
"hypophthalmidae",1
"monacanthidae",1
"myxinidae",1
"ophichthidae",1
"osmeridae",1
"osphronemidae",1
"pantodontidae",1
"percichthyidae",1
"pimelodidae",1
"protopteridae",1
"psettodidae",1
"rhinobatidae",1
"scyliorhinidae",1
"sternoptychidae",1
"stomiidae",1
"synodontidae",1
"torpedinidae",1
"triakidae",1
