institutioncode,collectioncode,recordset,freq
tcwc,ichthyology,79dfdec6-3e24-489c-a7ce-85dcc52bc3f9,3124
mcz,ich,271a9ce9-c6d3-4b63-a722-cb0adc48863f,1976
lacm,fish,2d853a6d-50ec-4931-8e91-48fc2491fdee,486
ucmp,v,5ab348ab-439a-4697-925c-d6abe0c09b92,66
nrm,nrm-fish,021e2617-7532-4cef-806c-690bed32ab84,64
fsucml,zoological collection,fa83c2bd-926c-42f1-8cd4-d57c5fd21f33,62
csuc,fish,8660ce9a-31c9-48ee-b5bc-9e6ba248ec0f,45
sbmnh,fh,9d8ced48-62c5-4ce0-99e7-a03550c674c0,29
clo,ml,da67ebd9-52de-444d-b114-e23c03111ac6,15
bpbm,i,a6e02b78-6fc6-4cb6-bb87-8d5a443f2c2a,3
sbmnh,os,9d8ced48-62c5-4ce0-99e7-a03550c674c0,3
