"dwc.preparations","freq"
"1 alc; 0 sk; 0 c&s",61887
"2 alc; 0 sk; 0 c&s",21313
"3 alc; 0 sk; 0 c&s",11121
"4 alc; 0 sk; 0 c&s",7328
"5 alc; 0 sk; 0 c&s",5384
"6 alc; 0 sk; 0 c&s",3985
"7 alc; 0 sk; 0 c&s",2992
"8 alc; 0 sk; 0 c&s",2493
"10 alc; 0 sk; 0 c&s",2163
"9 alc; 0 sk; 0 c&s",2025
"0 alc; 0 sk; 0 c&s",1688
"0 alc; 1 sk; 0 c&s",1522
"11 alc; 0 sk; 0 c&s",1479
"12 alc; 0 sk; 0 c&s",1301
"13 alc; 0 sk; 0 c&s",1101
"14 alc; 0 sk; 0 c&s",1007
"15 alc; 0 sk; 0 c&s",974
"0 alc; 0 sk; 1 c&s",953
"16 alc; 0 sk; 0 c&s",736
"17 alc; 0 sk; 0 c&s",717
"18 alc; 0 sk; 0 c&s",624
"20 alc; 0 sk; 0 c&s",598
"19 alc; 0 sk; 0 c&s",563
"21 alc; 0 sk; 0 c&s",473
"22 alc; 0 sk; 0 c&s",445
"25 alc; 0 sk; 0 c&s",412
"23 alc; 0 sk; 0 c&s",403
"100 alc; 0 sk; 0 c&s",386
"24 alc; 0 sk; 0 c&s",386
"50 alc; 0 sk; 0 c&s",356
"30 alc; 0 sk; 0 c&s",313
"26 alc; 0 sk; 0 c&s",310
"27 alc; 0 sk; 0 c&s",296
"28 alc; 0 sk; 0 c&s",279
"29 alc; 0 sk; 0 c&s",243
"32 alc; 0 sk; 0 c&s",224
"31 alc; 0 sk; 0 c&s",220
"35 alc; 0 sk; 0 c&s",209
"33 alc; 0 sk; 0 c&s",199
"34 alc; 0 sk; 0 c&s",198
"0 alc; 0 sk; 2 c&s",192
"36 alc; 0 sk; 0 c&s",186
"37 alc; 0 sk; 0 c&s",172
"38 alc; 0 sk; 0 c&s",161
"40 alc; 0 sk; 0 c&s",160
"39 alc; 0 sk; 0 c&s",152
"42 alc; 0 sk; 0 c&s",139
"41 alc; 0 sk; 0 c&s",137
"45 alc; 0 sk; 0 c&s",122
"43 alc; 0 sk; 0 c&s",121
"46 alc; 0 sk; 0 c&s",121
"44 alc; 0 sk; 0 c&s",120
"47 alc; 0 sk; 0 c&s",101
"48 alc; 0 sk; 0 c&s",101
"52 alc; 0 sk; 0 c&s",101
"55 alc; 0 sk; 0 c&s",96
"53 alc; 0 sk; 0 c&s",94
"51 alc; 0 sk; 0 c&s",93
"49 alc; 0 sk; 0 c&s",90
"1 alc; 0 sk; 1 c&s",83
"2 alc; 0 sk; 1 c&s",82
"0 alc; 0 sk; 3 c&s",78
"0 alc; 2 sk; 0 c&s",77
"54 alc; 0 sk; 0 c&s",77
"56 alc; 0 sk; 0 c&s",75
"60 alc; 0 sk; 0 c&s",74
"57 alc; 0 sk; 0 c&s",72
"70 alc; 0 sk; 0 c&s",71
"61 alc; 0 sk; 0 c&s",66
"58 alc; 0 sk; 0 c&s",65
"69 alc; 0 sk; 0 c&s",56
"62 alc; 0 sk; 0 c&s",54
"66 alc; 0 sk; 0 c&s",53
"3 alc; 0 sk; 1 c&s",50
"64 alc; 0 sk; 0 c&s",50
"59 alc; 0 sk; 0 c&s",49
"77 alc; 0 sk; 0 c&s",48
"63 alc; 0 sk; 0 c&s",47
"65 alc; 0 sk; 0 c&s",46
"71 alc; 0 sk; 0 c&s",46
"76 alc; 0 sk; 0 c&s",44
