"Family","Count"
"cyprinidae",14498
"characidae",7938
"centrarchidae",6051
"gobiidae",4627
"labridae",4170
"carangidae",3883
"muraenidae",3793
"percidae",3371
"pomacentridae",3364
"loricariidae",3248
"cichlidae",2951
"serranidae",2882
"fundulidae",2259
"catostomidae",2191
"apogonidae",2183
"ictaluridae",2153
"sciaenidae",2071
"clupeidae",1968
"tetraodontidae",1968
"poeciliidae",1924
"ophichthidae",1800
"labrisomidae",1777
"congridae",1669
"blenniidae",1548
"scaridae",1503
"doradidae",1386
"syngnathidae",1372
"engraulidae",1292
"pimelodidae",1280
"holocentridae",1266
"acanthuridae",1207
"atherinopsidae",1148
"monacanthidae",1087
"heptapteridae",1061
"haemulidae",1060
"apteronotidae",1032
"chaetodontidae",1002
"lutjanidae",960
"curimatidae",863
"mugilidae",841
"anostomidae",831
"gerreidae",781
"serrasalmidae",780
"scorpaenidae",779
"anguillidae",708
"balistidae",694
"sparidae",694
"synodontidae",667
"paralichthyidae",665
"moronidae",652
"crenuchidae",639
"sternopygidae",639
"auchenipteridae",638
"esocidae",627
"triglidae",624
"belonidae",617
"mullidae",614
"cottidae",610
"chaenopsidae",533
"trichomycteridae",532
"moringuidae",528
"lebiasinidae",527
"ophidiidae",509
"achiridae",506
"chlopsidae",497
"gobiesocidae",475
"erythrinidae",471
"salmonidae",464
"ostraciidae",447
"eleotridae",446
"pomacanthidae",439
"nettastomatidae",432
"bothidae",428
"hemiodontidae",426
"callichthyidae",411
"diodontidae",404
"bythitidae",400
"iguanodectidae",383
"dactyloscopidae",359
"tripterygiidae",355
"cyprinodontidae",351
"opistognathidae",336
"gasterosteidae",333
"rhamphichthyidae",328
"hypopomidae",308
"atherinidae",299
"pleuronectidae",299
"hemiramphidae",298
"acestrorhynchidae",291
"serrivomeridae",290
"triportheidae",289
"batrachoididae",285
"cobitidae",279
"aphredoderidae",278
"sphyraenidae",273
"nemichthyidae",268
"scombridae",268
"elassomatidae",266
"lepisosteidae",266
"grammatidae",260
"ariidae",248
"cynoglossidae",236
"cirrhitidae",233
"phycidae",233
"rivulidae",233
"antennariidae",228
"lethrinidae",226
"bryconidae",223
"synaphobranchidae",219
"stromateidae",215
"priacanthidae",209
"siganidae",209
"exocoetidae",197
"polynemidae",195
"prochilodontidae",194
"gasteropelecidae",189
"aspredinidae",188
"callionymidae",187
"leiognathidae",186
"bagridae",179
"plesiopidae",167
"echeneidae",166
"pseudopimelodidae",166
"scophthalmidae",160
"nemacheilidae",156
"ambassidae",154
"pomatomidae",154
"umbridae",154
"carcharhinidae",147
"synbranchidae",147
"cetopsidae",146
"callorhinchidae",142
"chilodontidae",140
"nemipteridae",140
"gymnotidae",137
"petromyzontidae",133
"rajidae",133
"ephippidae",131
"gadidae",129
"kyphosidae",129
"clariidae",126
"pseudochromidae",124
"cynodontidae",123
"albulidae",120
"elopidae",117
"pempheridae",117
"soleidae",116
"kuhliidae",115
"liparidae",113
"ogcocephalidae",113
"aulostomidae",110
"embiotocidae",108
"pinguipedidae",105
"terapontidae",105
"fistulariidae",102
"osphronemidae",102
"siluridae",102
"microdesmidae",101
"triakidae",100
"uranoscopidae",100
"chanidae",99
"ctenoluciidae",98
"caesionidae",97
"parodontidae",96
"sebastidae",96
"platycephalidae",95
"pristigasteridae",92
"astroblepidae",91
"clinidae",90
"carapidae",88
"merlucciidae",88
"malacanthidae",85
"myctophidae",85
"potamotrygonidae",84
"dasyatidae",81
"trichiuridae",81
"alestidae",80
"pholidae",80
"acipenseridae",78
"balitoridae",78
"nothobranchiidae",78
"centropomidae",77
"",75
"triacanthodidae",75
"ammodytidae",73
"dactylopteridae",73
"stichaeidae",73
"triacanthidae",73
"curculionidae",72
"muraenesocidae",71
"amiidae",69
"mormyridae",69
"zanclidae",69
"anabantidae",68
"sillaginidae",68
"sisoridae",67
"megalopidae",65
"chimaeridae",62
"chaunacidae",60
"mastacembelidae",60
"pleuronectiform families",60
"hemiscylliidae",59
"plotosidae",57
"macrouridae",55
"nomeidae",53
"scatophagidae",51
"mochokidae",49
"aplocheilidae",48
"coryphaenidae",48
"claroteidae",47
"peristediidae",47
"scyliorhinidae",45
"colocongridae",44
"osmeridae",44
"zoarcidae",44
"cyclopteridae",42
"derichthyidae",42
"synanceiidae",41
"anablepidae",39
"amblyopsidae",38
"creediidae",38
"drepaneidae",38
"hiodontidae",38
"lophiidae",38
"pangasiidae",38
"balitoridae: nemacheilinae",37
"squalidae",37
"zenarchopteridae",37
"schilbeidae",36
"sphyrnidae",36
"rhinobatidae",35
"centriscidae",34
"cepolidae",34
"distichodontidae",34
"hexagrammidae",33
"dussumieriidae",32
"istiophoridae",32
"pristolepididae",31
"myliobatidae",30
"lottiidae",28
"centrolophidae",27
"urolophidae",27
"osteoglossidae",26
"psettodidae",26
"hemitripteridae",25
"monodactylidae",25
"notopteridae",25
"agonidae",24
"channidae",24
"cyclopterinidae",23
"pristidae",23
"stomiidae",23
"caproidae",22
"rachycentridae",22
"zeidae",22
"gempylidae",21
"latiidae",21
"moridae",21
"sternoptychidae",21
"toxotidae",21
"trachichthyidae",21
"galaxiidae",20
"torpedinidae",20
"aracanidae",19
"paralepididae",19
"tetrarogidae",19
"melanotaeniidae",18
"akysidae",17
"branchiostomatidae",17
"citharidae",17
"samaridae",17
"cheilodactylidae",16
"eucnemidae",16
"melolonthidae",16
"percichthyidae",16
"polyodontidae",16
"anomalopidae",15
"argentinidae",15
"bregmacerotidae",15
"cyematidae",15
"narcinidae",15
"polypteridae",15
"chirocentridae",14
"chlorophthalmidae",14
"emmelichthyidae",14
"gymnuridae",14
"nototheniidae",14
"percopsidae",14
"scomberesocidae",14
"ginglymostomatidae",13
"polycentridae",13
"polymixiidae",13
"eurypharyngidae",12
"heteropneustidae",12
"lactariidae",12
"xenisthmidae",12
"amblycipitidae",11
"lamnidae",11
"menidae",11
"molidae",11
"nileidae",11
"profundulidae",11
"rhinochimaeridae",11
"scoloplacidae",11
"bramidae",10
"goodeidae",10
"lobotidae",10
"plecoglossidae",10
"trachinidae",10
"adrianichthyidae",9
"bathylagidae",9
"datnioididae",9
"gonostomatidae",9
"heterodontidae",9
"kraemeriidae",9
"lotidae",9
"macroramphosidae",9
"myxinidae",9
"notacanthidae",9
"odontobutidae",9
"salangidae",9
"acropomatidae",8
"diplomystidae",8
"etmopteridae",8
"gyrinocheilidae",8
"melamphaidae",8
"melastomataceae",8
"odontaspididae",8
"pegasidae",8
"polyprionidae",8
"xiphiidae",8
"anarhichadidae",7
"aulopidae",7
"congiopodidae",7
"hapalogenyidae",7
"phosichthyidae",7
"setarchidae",7
"squatinidae",7
"unknown",7
"ariommatidae",6
"arripidae",6
"badidae",6
"citharinidae",6
"giganturidae",6
"halosauridae",6
"heterenchelyidae",6
"nandidae",6
"narkidae",6
"perciliidae",6
"percophidae",6
"phractolaemidae",6
"amphiliidae",5
"belontiidae",5
"chironemidae",5
"cryptacanthodidae",5
"gyracanthidae",5
"hepsetidae",5
"hexanchidae",5
"mordaciidae",5
"nematistiidae",5
"nematogenyidae",5
"odacidae",5
"oplegnathidae",5
"scombropidae",5
"alepocephalidae",4
"callanthiidae",4
"dalatiidae",4
"enoplosidae",4
"gonorynchidae",4
"gyalectaceae",4
"hoplichthyidae",4
"isonidae",4
"kneriidae",4
"lacantuniidae",4
