"dwc.scientificName","freq"
"Notropis hudsonius",917
"Etheostoma olmstedi",908
"Lepomis macrochirus",887
"Lepomis auritus",681
"Fundulus diaphanus",673
"Notemigonus crysoleucas",663
"Rhinichthys atratulus",654
"Anguilla rostrata",615
"Semotilus atromaculatus",602
"Catostomus commersoni",571
"Luxilus cornutus",567
"Cyprinella spiloptera",556
"Lepomis gibbosus",546
"Pimephales notatus",541
"Micropterus salmoides",535
"Gambusia affinis",510
"Syngnathus fuscus",476
"Morone americana",428
"Campostoma anomalum",386
"Ictalurus punctatus",381
"Ameiurus nebulosus",371
"Semotilus corporalis",368
"Hybognathus nuchalis",361
"Etheostoma zonale",349
"Fundulus heteroclitus",345
"Lepomis gulosus",341
"Anchoa mitchilli",335
"Cyprinella analostana",329
"Trinectes maculatus",327
"Hyphessobrycon",322
"Lepomis megalotis",318
"Micropterus dolomieu",307
"Moringua edwardsi",307
"Gymnothorax moringa",304
"Menidia menidia",304
"Pomoxis nigromaculatus",304
"Perca flavescens",297
"Ameiurus natalis",293
"Notropis procne",293
"Astyanax",292
"Thalassoma bifasciatum",292
"Rhinichthys cataractae",286
"Leiostomus xanthurus",282
"Aphredoderus sayanus",277
"Labidesthes sicculus",270
"Menidia beryllina",267
"Dorosoma cepedianum",262
"Hoplias malabaricus",262
"Etheostoma nigrum",253
"Notropis rubellus",253
"Hypentelium nigricans",252
"Esox niger",251
"Ambloplites rupestris",248
"Erimyzon oblongus",245
"Lepomis cyanellus",245
"Apogon maculatus",232
"Esox americanus",231
"Gobiosoma bosc",230
"Myrophis punctatus",226
"Exoglossum maxillingua",225
"Pimelodella",223
"Noturus insignis",221
"Rhynchoconger flavus",220
"Enneacanthus gloriosus",219
"Gambusia holbrooki",219
"Halichoeres bivittatus",219
"Abudefduf saxatilis",216
"Lepomis punctatus",212
"Alosa aestivalis",210
"Gymnothorax",208
"Brevoortia tyrannus",203
"Strongylura marina",203
"Fundulus majalis",202
"Mugil curema",200
"Cyprinella lutrensis",199
"Acanthurus bahianus",198
"Cyprinodon variegatus",195
"Ariosoma balearicum",192
"Characidium",191
"Notropis petersoni",188
