"Continent","Count"
"usa",53710
"bhs",10952
"ven",9760
"bra",7743
"per",4806
"col",3364
"guy",2934
"tha",2925
"mex",2492
"aus",2326
"pan",1804
"bmu",1638
"phl",1335
"hti",1238
"zaf",1230
"ind",1096
"chn",1026
"cri",825
"ecu",824
"pry",820
"idn",760
"cym",713
"lka",662
"sur",553
"jpn",500
"can",451
"fji",450
"ita",447
"nzl",426
"mtq",323
"mng",321
"grd",308
"jam",275
"slb",270
"dom",269
"cub",265
"hnd",260
"moz",250
"wsm",238
"aia",233
"mdg",231
"bol",195
"arg",186
"chl",173
"dma",166
"lbn",160
"ken",152
"nic",142
"brb",132
"pak",128
"ury",128
"guf",127
"gtm",124
"twn",117
"gum",112
"uga",111
"asm",107
"tza",101
"som",99
"sgp",93
"cok",84
"rou",84
"ago",82
"cmr",80
"isr",75
"ton",75
"zmb",75
"mhl",68
"syc",66
"bwa",54
"irl",54
"prt",53
"bhr",52
"mus",52
"irn",50
"mys",50
"com",45
"gab",45
"npl",41
"fra",40
"sle",39
"lbr",37
"cog",35
"aut",34
"nga",32
"mwi",31
"swe",31
"eth",27
"slv",26
"tun",26
"che",25
"gbr",25
"deu",22
"syr",22
"fin",21
"grl",21
"sdn",20
"tur",20
"egy",19
"png",19
"blz",18
"gin",18
"nfk",18
"ata",17
"omn",15
"gha",14
"ncl",13
"nor",13
"sen",13
"zwe",11
"esp",9
"kor",9
"tto",9
"kwt",8
"grc",7
"plw",7
"sau",7
"dza",6
"hkg",6
"hun",5
"mli",5
"glp",4
"irq",3
"nld",3
"tcd",3
"cxr",2
"mar",2
"msr",2
"niu",2
"qat",2
"bgd",1
"bgr",1
"cod",1
"cyp",1
"gnq",1
"hrv",1
"khm",1
"mdv",1
"mmr",1
"nam",1
"pol",1
"prk",1
"pyf",1
"stp",1
"svn",1
"vnm",1
