"Family","Count"
"Cyprinidae",1858
"Centrarchidae",1298
"Percidae",1030
"Fundulidae",303
"Ictaluridae",286
"Catostomidae",258
"Atherinopsidae",250
"Cottidae",103
"Poeciliidae",69
"Clupeidae",37
"Petromyzontidae",27
"Moronidae",22
"Lepisosteidae",19
"Salmonidae",14
"Esocidae",13
"Amblyopsidae",12
"Syngnathidae",10
"Sciaenidae",8
"Aphredoderidae",7
"Cyprinodontidae",7
"Labridae",7
"Acanthuridae",6
"Pomacentridae",6
"Amiidae",5
"Chaetodontidae",5
"Diodontidae",5
"Elassomatidae",5
"Achiridae",4
"Anguillidae",4
"Acipenseridae",3
"Carangidae",3
"Cirrhitidae",3
"Gasterosteidae",3
"Ogcocephalidae",3
"Ostraciidae",3
"Polyodontidae",3
"Batrachoididae",2
"Chimaeridae",2
"Embiotocidae",2
"Ephippidae",2
"Gobiidae",2
"Holocentridae",2
"Muraenidae",2
"Pleuronectidae",2
"Pomatomidae",2
"Pristidae",2
"Scombridae",2
"Sebastidae",2
"Sparidae",2
"Synodontidae",2
"Tetraodontidae",2
"Umbridae",2
"Aulostomidae",1
"Belonidae",1
"Chacidae",1
"Characidae",1
"Cichlidae",1
"Cynoglossidae",1
"Dasyatidae",1
"Echeneidae",1
"Elopidae",1
"Etmopteridae",1
"Gadidae",1
"Gerreidae",1
"Haemulidae",1
"Hexagrammidae",1
"Hiodontidae",1
"Loricariidae",1
"Lutjanidae",1
"Merlucciidae",1
"Monacanthidae",1
"Myxinidae",1
"Ophidiidae",1
"Osmeridae",1
"Paralichthyidae",1
"Plotosidae",1
"Polycentridae",1
"Polynemidae",1
"Polypteridae",1
"Pomacanthidae",1
"Scorpaenidae",1
"Sphyraenidae",1
"Sphyrnidae",1
"Spongiidae",1
"Stromateidae",1
"Trichiuridae",1
"Triglidae",1
"Uranoscopidae",1
"Xiphiidae",1
"Zanclidae",1
