"dwc.scientificName","freq"
"Lepomis megalotis",287
"Labidesthes sicculus",244
"Campostoma anomalum",220
"Lepomis cyanellus",215
"Notropis boops",210
"Pimephales notatus",205
"Fundulus olivaceus",190
"Lepomis macrochirus",186
"Etheostoma spectabile",180
"Etheostoma blennioides",149
"Micropterus dolomieu",137
"Notropis nubilus",134
"Noturus exilis",124
"Micropterus salmoides",112
"Percina caprodes",103
"Etheostoma zonale",101
"Hypentelium nigricans",98
"Fundulus catenatus",95
"Etheostoma caeruleum",93
"Semotilus atromaculatus",93
"Cottus carolinae",92
"Luxilus pilsbryi",82
"Notropis rubellus",82
"",76
"Micropterus punctulatus",76
"Etheostoma flabellare",74
"Lepomis gulosus",73
"Luxilus chrysocephalus",73
"Cyprinella whipplei",71
"Gambusia affinis",62
"Etheostoma juliae",58
"Etheostoma punctulatum",58
"Moxostoma duquesnei",57
"Ameiurus natalis",53
"Notropis telescopus",53
"Hybopsis amblops",52
"Notemigonus crysoleucas",47
"Luxilus pilsbryi/zonatus",45
"Campostoma oligolepis",44
"Pomoxis annularis",43
"Nocomis biguttatus",42
"Etheostoma whipplei",41
"Lepomis microlophus",39
"Cyprinella galactura",38
"Phoxinus erythrogaster",38
"Etheostoma radiosum",36
"Ambloplites constellatus",35
"Percina copelandi",32
"Pomoxis nigromaculatus",31
"Noturus albater",28
"Moxostoma erythrurum",25
"Erimystax dissimilis",23
"Etheostoma stigmaeum",21
"Lythrurus umbratilis",21
"Etheostoma euzonum",20
"Dorosoma cepedianum",19
"Erimyzon oblongus",19
"Nocomis asper/biguttatus",19
"Notropis greenei",18
"Ictalurus punctatus",16
"Luxilus cardinalis",16
"Luxilus chrysocephalus/cornutus",16
"Notropis ozarcanus",16
"Noturus flavater",16
"Notropis atherinoides",15
"Lepisosteus osseus",12
"Nocomis asper",12
"Pimephales promelas",12
"Ambloplites ariommus",11
"Notropis ariommus",11
"Ameiurus melas",10
"Dorosoma petenense",10
"Esox americanus",10
"Lepomis humilis",10
"Noturus nocturnus",10
"Percina evides",10
"Catostomus commersoni",9
"Ichthyomyzon castaneus",9
"Notropis volucellus",9
"Pylodictis olivaris",9
"Ichthyomyzon",8
"Ichthyomyzon gagei",8
"Minytrema melanops",8
"Morone saxatilis",8
"Aphredoderus sayanus",7
"Carpiodes carpio",7
"Lepomis",7
"Lepomis punctatus",7
"Morone chrysops",7
"Opsopoeodus emiliae",7
"Cyprinella lutrensis",6
"Cyprinidae",6
"Etheostoma collettei",6
"Fundulus notatus",6
"Hybognathus nuchalis",6
"Notropis blennius",6
"Noturus gyrinus",6
"Amblyopsis spelaea",5
"Amia calva",5
"Aplodinotus grunniens",5
"Carpiodes cyprinus",5
"Erimyzon sucetta",5
"Etheostoma chlorosomum",5
"Fundulus chrysotus",5
"Morone mississippiensis",5
"Notropis buccatus",5
"Notropis ortenburgeri",5
"Notropis texanus",5
"Oncorhynchus mykiss",5
"Ambloplites rupestris",4
"Anguilla rostrata",4
"Carassius auratus",4
"Cyprinus carpio",4
"Elassoma zonatum",4
"Erimystax x-punctatus",4
"Etheostoma microperca",4
"Etheostoma proeliare",4
"Forbesichthys agassizii",4
"Gila elegans",4
"Lepomis auritus",4
