"preps","institutioncode","collectioncode","catalognumber","Stand.Prep","Stand.Prep.2","Stand.Prep.3","Tissue","Photo","X","freq"
"alcoholic","uafmc","fish","0068-0832-1265","EtOH","","",NA,NA,NA,1928
"alcoholic","uafmc","fish","0068-0832-0052","EtOH","","",NA,NA,NA,1928
"alcoholic","uafmc","fish","0068-0832-1709","EtOH","","",NA,NA,NA,1928
"alcoholic","uafmc","fish","2000-0017-0735","EtOH","","",NA,NA,NA,1928
"alcoholic","uafmc","fish","0068-0832-0939","EtOH","","",NA,NA,NA,1928
"alcoholic","uafmc","fish","0093-0055-0305","EtOH","","",NA,NA,NA,1928
"alcoholic","uafmc","fish","0068-0832-0807","EtOH","","",NA,NA,NA,1928
"alcoholic","uafmc","fish","2000-0017-0402","EtOH","","",NA,NA,NA,1928
"alcoholic","uafmc","fish","0068-0832-0256","EtOH","","",NA,NA,NA,1928
"alcoholic","uafmc","fish","0095-0028-0060","EtOH","","",NA,NA,NA,1928
"alcoholic","uafmc","fish","2000-0017-0002","EtOH","","",NA,NA,NA,1928
"alcoholic","uafmc","fish","0068-0832-1827","EtOH","","",NA,NA,NA,1928
"alcoholic","uafmc","fish","0068-0832-2089","EtOH","","",NA,NA,NA,1928
"alcoholic","uafmc","fish","0068-0832-2534","EtOH","","",NA,NA,NA,1928
"alcoholic","uafmc","fish","2000-0017-1168","EtOH","","",NA,NA,NA,1928
"alcoholic","uafmc","fish","0068-0832-0147","EtOH","","",NA,NA,NA,1928
"alcoholic","uafmc","fish","0068-0832-2063","EtOH","","",NA,NA,NA,1928
"alcoholic","uafmc","fish","0068-0832-0518","EtOH","","",NA,NA,NA,1928
"alcoholic","uafmc","fish","0068-0832-2552","EtOH","","",NA,NA,NA,1928
"alcoholic","uafmc","fish","2000-0017-0906","EtOH","","",NA,NA,NA,1928
"alcoholic","uafmc","fish","0095-0028-0106","EtOH","","",NA,NA,NA,1928
"alcoholic","uafmc","fish","0068-0832-2450","EtOH","","",NA,NA,NA,1928
"alcoholic","uafmc","fish","2000-0017-1367","EtOH","","",NA,NA,NA,1928
"alcoholic","uafmc","fish","0068-0832-1970","EtOH","","",NA,NA,NA,1928
"alcoholic","uafmc","fish","0068-0832-1989","EtOH","","",NA,NA,NA,1928
"alcoholic","uafmc","fish","0068-0832-0102","EtOH","","",NA,NA,NA,1928
"alcoholic","uafmc","fish","0068-0832-1693","EtOH","","",NA,NA,NA,1928
"alcoholic","uafmc","fish","0068-0832-1899","EtOH","","",NA,NA,NA,1928
"alcoholic","uafmc","fish","2000-0017-0787","EtOH","","",NA,NA,NA,1928
"alcoholic","uafmc","fish","0068-0832-2273","EtOH","","",NA,NA,NA,1928
"alcoholic","uafmc","fish","2000-0017-1655","EtOH","","",NA,NA,NA,1928
"alcoholic","uafmc","fish","0068-0832-2446","EtOH","","",NA,NA,NA,1928
"alcoholic","uafmc","fish","0068-0832-2892","EtOH","","",NA,NA,NA,1928
"alcoholic","uafmc","fish","2000-0017-0983","EtOH","","",NA,NA,NA,1928
"alcoholic","uafmc","fish","0068-0832-2788","EtOH","","",NA,NA,NA,1928
"alcoholic","uafmc","fish","0068-0832-2115","EtOH","","",NA,NA,NA,1928
"alcoholic","uafmc","fish","0093-0055-0104","EtOH","","",NA,NA,NA,1928
"alcoholic","uafmc","fish","0068-0832-2259","EtOH","","",NA,NA,NA,1928
"alcoholic","uafmc","fish","0068-0832-0075","EtOH","","",NA,NA,NA,1928
"alcoholic","uafmc","fish","2000-0017-1595x","EtOH","","",NA,NA,NA,1928
"alcoholic","uafmc","fish","2000-0017-0942","EtOH","","",NA,NA,NA,1928
"alcoholic","uafmc","fish","0068-0832-0806","EtOH","","",NA,NA,NA,1928
"alcoholic","uafmc","fish","2000-0017-1561","EtOH","","",NA,NA,NA,1928
"alcoholic","uafmc","fish","2000-0017-0217","EtOH","","",NA,NA,NA,1928
"alcoholic","uafmc","fish","0068-0832-2733","EtOH","","",NA,NA,NA,1928
"alcoholic","uafmc","fish","0092-0038-0039","EtOH","","",NA,NA,NA,1928
"alcoholic","uafmc","fish","0068-0832-0279","EtOH","","",NA,NA,NA,1928
"alcoholic","uafmc","fish","2000-0017-0857","EtOH","","",NA,NA,NA,1928
"alcoholic","uafmc","fish","0068-0832-2501","EtOH","","",NA,NA,NA,1928
"alcoholic","uafmc","fish","0092-0038-0321nf","EtOH","","",NA,NA,NA,1928
"alcoholic","uafmc","fish","0068-0832-1143","EtOH","","",NA,NA,NA,1928
"alcoholic","uafmc","fish","0077-0144-0001","EtOH","","",NA,NA,NA,1928
"alcoholic","uafmc","fish","0068-0832-0544","EtOH","","",NA,NA,NA,1928
"alcoholic","uafmc","fish","0068-0832-2197","EtOH","","",NA,NA,NA,1928
"alcoholic","uafmc","fish","0092-0038-0058","EtOH","","",NA,NA,NA,1928
"alcoholic","uafmc","fish","0068-0832-0689","EtOH","","",NA,NA,NA,1928
"alcoholic","uafmc","fish","0068-0832-1652","EtOH","","",NA,NA,NA,1928
"alcoholic","uafmc","fish","0068-0832-0407","EtOH","","",NA,NA,NA,1928
"alcoholic","uafmc","fish","2000-0017-0214","EtOH","","",NA,NA,NA,1928
"alcoholic","uafmc","fish","0068-0832-1186","EtOH","","",NA,NA,NA,1928
"alcoholic","uafmc","fish","0068-0832-2370","EtOH","","",NA,NA,NA,1928
"alcoholic","uafmc","fish","0068-0832-1647","EtOH","","",NA,NA,NA,1928
"alcoholic","uafmc","fish","0095-0028-0095","EtOH","","",NA,NA,NA,1928
"alcoholic","uafmc","fish","2000-0017-1600","EtOH","","",NA,NA,NA,1928
"alcoholic","uafmc","fish","0093-0055-0088","EtOH","","",NA,NA,NA,1928
"alcoholic","uafmc","fish","0093-0055-0009","EtOH","","",NA,NA,NA,1928
"alcoholic","uafmc","fish","0068-0832-2192","EtOH","","",NA,NA,NA,1928
"alcoholic","uafmc","fish","0068-0832-0267","EtOH","","",NA,NA,NA,1928
"alcoholic","uafmc","fish","0095-0028-0179","EtOH","","",NA,NA,NA,1928
"alcoholic","uafmc","fish","0093-0055-0276","EtOH","","",NA,NA,NA,1928
"alcoholic","uafmc","fish","0068-0832-0776","EtOH","","",NA,NA,NA,1928
"alcoholic","uafmc","fish","0068-0832-1744","EtOH","","",NA,NA,NA,1928
"alcoholic","uafmc","fish","2000-0017-1262","EtOH","","",NA,NA,NA,1928
"alcoholic","uafmc","fish","0092-0038-0040","EtOH","","",NA,NA,NA,1928
"alcoholic","uafmc","fish","0068-0832-2841","EtOH","","",NA,NA,NA,1928
"alcoholic","uafmc","fish","0068-0832-1642","EtOH","","",NA,NA,NA,1928
"alcoholic","uafmc","fish","0093-0055-0069","EtOH","","",NA,NA,NA,1928
"alcoholic","uafmc","fish","0068-0832-1329","EtOH","","",NA,NA,NA,1928
"alcoholic","uafmc","fish","0099-0011-0018","EtOH","","",NA,NA,NA,1928
"alcoholic","uafmc","fish","0068-0832-0998","EtOH","","",NA,NA,NA,1928
"alcoholic","uafmc","fish","0068-0832-0907","EtOH","","",NA,NA,NA,1928
"alcoholic","uafmc","fish","0068-0832-1489","EtOH","","",NA,NA,NA,1928
"alcoholic","uafmc","fish","0068-0832-1931","EtOH","","",NA,NA,NA,1928
"alcoholic","uafmc","fish","2000-0017-0970","EtOH","","",NA,NA,NA,1928
"alcoholic","uafmc","fish","0092-0038-0030","EtOH","","",NA,NA,NA,1928
"alcoholic","uafmc","fish","0068-0832-2297","EtOH","","",NA,NA,NA,1928
"alcoholic","uafmc","fish","0068-0832-0167","EtOH","","",NA,NA,NA,1928
"alcoholic","uafmc","fish","2000-0017-0321","EtOH","","",NA,NA,NA,1928
"alcoholic","uafmc","fish","0068-0832-1035","EtOH","","",NA,NA,NA,1928
"alcoholic","uafmc","fish","0068-0832-1132","EtOH","","",NA,NA,NA,1928
"alcoholic","uafmc","fish","0068-0832-1853","EtOH","","",NA,NA,NA,1928
"alcoholic","uafmc","fish","0092-0038-0044","EtOH","","",NA,NA,NA,1928
"alcoholic","uafmc","fish","2000-0017-0183","EtOH","","",NA,NA,NA,1928
"alcoholic","uafmc","fish","0092-0038-0250","EtOH","","",NA,NA,NA,1928
"alcoholic","uafmc","fish","0068-0832-2815","EtOH","","",NA,NA,NA,1928
"alcoholic","uafmc","fish","0068-0832-0076","EtOH","","",NA,NA,NA,1928
"alcoholic","uafmc","fish","0068-0832-1583","EtOH","","",NA,NA,NA,1928
"alcoholic","uafmc","fish","2000-0017-0623","EtOH","","",NA,NA,NA,1928
"alcoholic","uafmc","fish","0095-0028-0049","EtOH","","",NA,NA,NA,1928
"alcoholic","uafmc","fish","2000-0017-0398","EtOH","","",NA,NA,NA,1928
"alcoholic","uafmc","fish","2000-0017-0167","EtOH","","",NA,NA,NA,1928
"alcoholic","uafmc","fish","0068-0832-1385","EtOH","","",NA,NA,NA,1928
"alcoholic","uafmc","fish","2000-0017-1063","EtOH","","",NA,NA,NA,1928
"alcoholic","uafmc","fish","2000-0017-1316","EtOH","","",NA,NA,NA,1928
"alcoholic","uafmc","fish","2000-0017-1365","EtOH","","",NA,NA,NA,1928
"alcoholic","uafmc","fish","0092-0038-0226","EtOH","","",NA,NA,NA,1928
"alcoholic","uafmc","fish","0068-0832-2710","EtOH","","",NA,NA,NA,1928
"alcoholic","uafmc","fish","2000-0017-1756","EtOH","","",NA,NA,NA,1928
"alcoholic","uafmc","fish","0068-0832-2769","EtOH","","",NA,NA,NA,1928
"alcoholic","uafmc","fish","0068-0832-1676","EtOH","","",NA,NA,NA,1928
"alcoholic","uafmc","fish","0068-0832-1149","EtOH","","",NA,NA,NA,1928
"alcoholic","uafmc","fish","0068-0832-1700","EtOH","","",NA,NA,NA,1928
"alcoholic","uafmc","fish","0000-0007-0026","EtOH","","",NA,NA,NA,1928
"alcoholic","uafmc","fish","0068-0832-2595","EtOH","","",NA,NA,NA,1928
"alcoholic","uafmc","fish","2000-0017-1019","EtOH","","",NA,NA,NA,1928
"alcoholic","uafmc","fish","2000-0017-1002","EtOH","","",NA,NA,NA,1928
"alcoholic","uafmc","fish","2000-0017-1642","EtOH","","",NA,NA,NA,1928
"alcoholic","uafmc","fish","0068-0832-2724","EtOH","","",NA,NA,NA,1928
"alcoholic","uafmc","fish","0068-0832-2252","EtOH","","",NA,NA,NA,1928
"alcoholic","uafmc","fish","0068-0832-2072","EtOH","","",NA,NA,NA,1928
"alcoholic","uafmc","fish","0068-0832-2147","EtOH","","",NA,NA,NA,1928
"alcoholic","uafmc","fish","0093-0055-0058","EtOH","","",NA,NA,NA,1928
"alcoholic","uafmc","fish","0068-0832-0276","EtOH","","",NA,NA,NA,1928
"alcoholic","uafmc","fish","0095-0028-0037","EtOH","","",NA,NA,NA,1928
"alcoholic","uafmc","fish","0068-0832-0910","EtOH","","",NA,NA,NA,1928
"alcoholic","uafmc","fish","2000-0017-1684","EtOH","","",NA,NA,NA,1928
"alcoholic","uafmc","fish","0068-0832-0392","EtOH","","",NA,NA,NA,1928
"alcoholic","uafmc","fish","2000-0017-1285","EtOH","","",NA,NA,NA,1928
"alcoholic","uafmc","fish","2000-0017-0707","EtOH","","",NA,NA,NA,1928
"alcoholic","uafmc","fish","2000-0017-1753","EtOH","","",NA,NA,NA,1928
"alcoholic","uafmc","fish","0095-0028-0057","EtOH","","",NA,NA,NA,1928
"alcoholic","uafmc","fish","2000-0017-0739","EtOH","","",NA,NA,NA,1928
"alcoholic","uafmc","fish","0068-0832-0159","EtOH","","",NA,NA,NA,1928
"alcoholic","uafmc","fish","0092-0038-0219","EtOH","","",NA,NA,NA,1928
"alcoholic","uafmc","fish","0068-0832-0862","EtOH","","",NA,NA,NA,1928
"alcoholic","uafmc","fish","0093-0055-0031","EtOH","","",NA,NA,NA,1928
"alcoholic","uafmc","fish","2000-0017-0137","EtOH","","",NA,NA,NA,1928
"alcoholic","uafmc","fish","0068-0832-2225","EtOH","","",NA,NA,NA,1928
"alcoholic","uafmc","fish","2000-0017-1670","EtOH","","",NA,NA,NA,1928
"alcoholic","uafmc","fish","0093-0055-0267","EtOH","","",NA,NA,NA,1928
"alcoholic","uafmc","fish","0068-0832-0640","EtOH","","",NA,NA,NA,1928
"alcoholic","uafmc","fish","2000-0017-1289","EtOH","","",NA,NA,NA,1928
"alcoholic","uafmc","fish","2000-0017-0108","EtOH","","",NA,NA,NA,1928
"alcoholic","uafmc","fish","0068-0832-2677","EtOH","","",NA,NA,NA,1928
"alcoholic","uafmc","fish","0095-0028-0075","EtOH","","",NA,NA,NA,1928
"alcoholic","uafmc","fish","0068-0832-1628","EtOH","","",NA,NA,NA,1928
"alcoholic","uafmc","fish","2000-0017-0757x","EtOH","","",NA,NA,NA,1928
"alcoholic","uafmc","fish","0068-0832-0312","EtOH","","",NA,NA,NA,1928
"alcoholic","uafmc","fish","0092-0038-0029","EtOH","","",NA,NA,NA,1928
"alcoholic","uafmc","fish","0092-0036-0025","EtOH","","",NA,NA,NA,1928
"alcoholic","uafmc","fish","2000-0017-1923x","EtOH","","",NA,NA,NA,1928
"alcoholic","uafmc","fish","2000-0017-1479","EtOH","","",NA,NA,NA,1928
"alcoholic","uafmc","fish","2000-0017-0046","EtOH","","",NA,NA,NA,1928
"alcoholic","uafmc","fish","0068-0832-1434","EtOH","","",NA,NA,NA,1928
"alcoholic","uafmc","fish","0068-0832-2485","EtOH","","",NA,NA,NA,1928
"alcoholic","uafmc","fish","2000-0017-1355","EtOH","","",NA,NA,NA,1928
"alcoholic","uafmc","fish","0068-0832-1569","EtOH","","",NA,NA,NA,1928
"alcoholic","uafmc","fish","0068-0832-2325","EtOH","","",NA,NA,NA,1928
"alcoholic","uafmc","fish","2000-0017-1816","EtOH","","",NA,NA,NA,1928
"alcoholic","uafmc","fish","0095-0028-0048","EtOH","","",NA,NA,NA,1928
"alcoholic","uafmc","fish","0068-0832-2175","EtOH","","",NA,NA,NA,1928
"alcoholic","uafmc","fish","2000-0017-0331","EtOH","","",NA,NA,NA,1928
"alcoholic","uafmc","fish","0092-0036-0046","EtOH","","",NA,NA,NA,1928
