"dwc.preparations","freq"
"1 in 70% EtOH",22060
"2 in 70% EtOH",9696
"3 in 70% EtOH",5810
"4 in 70% EtOH",3962
"5 in 70% EtOH",3118
"6 in 70% EtOH",2334
"7 in 70% EtOH",1830
"8 in 70% EtOH",1470
"9 in 70% EtOH",1286
"10 in 70% EtOH",1175
"11 in 70% EtOH",917
"12 in 70% EtOH",887
"13 in 70% EtOH",733
"14 in 70% EtOH",620
"15 in 70% EtOH",612
"16 in 70% EtOH",496
"17 in 70% EtOH",465
"18 in 70% EtOH",433
"20 in 70% EtOH",387
"0 in 70% EtOH",383
"19 in 70% EtOH",363
"21 in 70% EtOH",327
"22 in 70% EtOH",293
"23 in 70% EtOH",289
"25 in 70% EtOH",277
"24 in 70% EtOH",256
"26 in 70% EtOH",224
"28 in 70% EtOH",215
"30 in 70% EtOH",213
"27 in 70% EtOH",201
"29 in 70% EtOH",192
"32 in 70% EtOH",161
"31 in 70% EtOH",155
"35 in 70% EtOH",151
"34 in 70% EtOH",135
"33 in 70% EtOH",127
"38 in 70% EtOH",125
"40 in 70% EtOH",125
"37 in 70% EtOH",112
"36 in 70% EtOH",108
"46 in 70% EtOH",98
"39 in 70% EtOH",94
"44 in 70% EtOH",94
"41 in 70% EtOH",92
"50 in 70% EtOH",86
"42 in 70% EtOH",82
"47 in 70% EtOH",80
"43 in 70% EtOH",74
"49 in 70% EtOH",73
"45 in 70% EtOH",70
"60 in 70% EtOH",64
"53 in 70% EtOH",63
"54 in 70% EtOH",63
"56 in 70% EtOH",61
"48 in 70% EtOH",60
"51 in 70% EtOH",60
"52 in 70% EtOH",58
"55 in 70% EtOH",54
"57 in 70% EtOH",51
"1 in 95% EtOH",49
"62 in 70% EtOH",46
"64 in 70% EtOH",45
"1 in skeleton",44
"61 in 70% EtOH",44
"68 in 70% EtOH",44
"59 in 70% EtOH",43
"65 in 70% EtOH",43
"66 in 70% EtOH",43
"58 in 70% EtOH",41
"67 in 70% EtOH",39
"76 in 70% EtOH",37
"74 in 70% EtOH",33
"63 in 70% EtOH",32
"69 in 70% EtOH",32
"83 in 70% EtOH",32
"85 in 70% EtOH",32
"70 in 70% EtOH",30
"72 in 70% EtOH",30
"77 in 70% EtOH",30
"80 in 70% EtOH",30
"86 in 70% EtOH",29
"93 in 70% EtOH",29
"100 in 70% EtOH",28
"71 in 70% EtOH",26
"79 in 70% EtOH",26
"89 in 70% EtOH",26
"73 in 70% EtOH",25
"90 in 70% EtOH",25
"81 in 70% EtOH",24
"75 in 70% EtOH",23
"78 in 70% EtOH",22
"82 in 70% EtOH",22
"in 70% EtOH",22
"2 in 70% EtOH; 1 in C&S",21
"96 in 70% EtOH",21
"102 in 70% EtOH",19
"3 in 70% EtOH; 1 in C&S",19
"97 in 70% EtOH",19
"119 in 70% EtOH",18
