"Family","Count"
"Cyprinidae",18058
"Centrarchidae",9618
"Percidae",7171
"Characidae",4989
"Catostomidae",3246
"Ictaluridae",2424
"Loricariidae",1944
"Fundulidae",1627
"Cichlidae",1547
"Poeciliidae",1370
"Cottidae",832
"Esocidae",679
"Clupeidae",614
"Atherinopsidae",601
"Heptapteridae",598
"Anostomidae",523
"Curimatidae",473
"Sciaenidae",459
"Aphredoderidae",432
"Doradidae",332
"Trichomycteridae",320
"Petromyzontidae",315
"Elassomatidae",298
"Engraulidae",294
"Pimelodidae",287
"Auchenipteridae",283
"Hemiodontidae",272
"Lebiasinidae",235
"Gobiidae",234
"Ariidae",209
"Erythrinidae",195
"Sternopygidae",177
"Carangidae",160
"Paralichthyidae",155
"Achiridae",146
"Belonidae",145
"Callichthyidae",134
"Moronidae",132
"Acestrorhynchidae",130
"Sparidae",129
"Mugilidae",127
"Serranidae",126
"Lepisosteidae",123
"Serrasalmidae",120
"Eleotridae",119
"Rhamphichthyidae",116
"Salmonidae",110
"Triglidae",107
"Bagridae",104
"Tetraodontidae",95
"Apteronotidae",93
"Anguillidae",92
"Hypopomidae",87
"Cyprinodontidae",86
"Syngnathidae",86
"Cetopsidae",84
"Mochokidae",83
"Synodontidae",83
"Amphiliidae",82
"Pseudopimelodidae",82
"Clariidae",77
"Gerreidae",75
"Alestiidae",73
"Cynodontidae",72
"Cobitidae",71
"Amblyopsidae",67
"Aplocheilidae",66
"Mormyridae",66
"Ophidiidae",62
"Citharinidae",60
"Aspredinidae",58
"Ctenoluciidae",57
"Gasteropelecidae",57
"Lutjanidae",56
"Cynoglossidae",52
"Mastacembelidae",52
"Synbranchidae",52
"Haemulidae",51
"Batrachoididae",50
"Schilbeidae",49
"Blenniidae",47
"Macrouridae",47
"Amiidae",45
"Alestidae",42
"Stromateidae",41
"Ogcocephalidae",40
"Osphronemidae",40
"Monacanthidae",38
"Potamotrygonidae",38
"Scorpaenidae",38
"Ambassidae",35
"Astroblepidae",35
"Hiodontidae",34
"Pomacentridae",33
"Trichiuridae",32
"Chandidae",31
"Ephippidae",30
"Ophichthidae",30
"Umbridae",29
"Gasterosteidae",28
"Hemiramphidae",28
"Gadidae",25
"Balitoridae",24
"Polynemidae",24
"Melanotaeniidae",23
