"dwc.scientificName","freq"
"Lepomis macrochirus",1662
"Percina nigrofasciata",1350
"Cyprinella venusta",1204
"Lepomis megalotis",1172
"Campostoma oligolepis",1016
"Gambusia affinis",962
"Lepomis auritus",954
"Lepomis cyanellus",942
"Fundulus olivaceus",876
"Semotilus atromaculatus",862
"Luxilus chrysocephalus",824
"Micropterus salmoides",780
"Hypentelium etowanum",738
"Notropis texanus",688
"Lepomis gulosus",606
"Nocomis leptocephalus",606
"Cottus carolinae",578
"Micropterus punctulatus",554
"Noturus leptacanthus",519
"Etheostoma stigmaeum",495
"Cyprinella callistia",479
"Notemigonus crysoleucas",474
"Micropterus coosae",469
"Lythrurus bellus",461
"Aphredoderus sayanus",432
"Esox americanus",432
"Notropis baileyi",430
"Ameiurus natalis",402
"Notropis buccatus",387
"Notropis stilbius",370
"Labidesthes sicculus",361
"Notropis longirostris",349
"Campostoma pauciradii",342
"Moxostoma duquesnii",331
"Pimephales notatus",322
"Notropis volucellus",314
"Lepomis microlophus",306
"Etheostoma jordani",293
"Hypentelium nigricans",292
"Ictalurus punctatus",291
"Pimephales vigilax",285
"Minytrema melanops",284
"Cyprinella trichroistia",268
"Notropis ammophilus",266
"Percina palmaris",263
"Luxilus zonistius",254
"Ameiurus brunneus",245
"Esox niger",239
"Campostoma anomalum",232
"Lepomis miniatus",226
"Moxostoma erythrurum",215
"Ichthyomyzon gagei",213
"Etheostoma swaini",210
"Moxostoma poecilurum",210
"Percina kathae",210
"Elassoma zonatum",206
"Rhinichthys atratulus",206
"Pomoxis nigromaculatus",200
"Erimyzon claviformis",193
"Ambloplites rupestris",190
"Etheostoma caeruleum",189
"Opsopoeodus emiliae",185
"Notropis atherinoides",184
"Etheostoma coosae",182
"Etheostoma rufilineatum",181
"Semotilus thoreauianus",179
"Notropis xaenocephalus",178
"Ambloplites ariommus",176
"Notropis amplamala",173
"Lythrurus fasciolaris",172
"Hybopsis sp. cf. winchelli",169
"Dorosoma cepedianum",164
"Etheostoma blennioides",159
"Dorosoma petenense",158
"Centrarchus macropterus",157
"Etheostoma nigrum",157
"Moxostoma lachneri",156
"Etheostoma rupestre",151
"Lythrurus atrapiculus",150
"Percina smithvanizi",150
"Etheostoma flabellare",149
"Etheostoma simoterum",149
"Fundulus catenatus",146
"Cyprinella gibbsi",145
"Gambusia holbrooki",144
"Phenacobius catostomus",144
"Micropterus henshalli",143
"Notropis lutipinnis",140
"Cyprinella spiloptera",138
"Cyprinella galactura",136
"Noturus gyrinus",132
"Notropis petersoni",131
"Erimyzon sucetta",130
"Hybopsis winchelli",130
"Luxilus coccogenis",129
"Percina caprodes",128
"Lepomis marginatus",126
"Notropis telescopus",125
"Notropis uranoscopus",123
"Lepomis punctatus X miniatus",121
"Notropis hudsonius",120
"Ameiurus nebulosus",117
"Clinostomus funduloides",117
"Nocomis micropogon",116
"Notropis hypsilepis",116
"Notropis leuciodus",116
"Etheostoma artesiae",115
"Hybopsis lineapunctata",115
"Macrhybopsis storeriana",115
"Aphyocharax alburnus",114
"Etheostoma tallapoosae",114
"Etheostoma fusiforme",113
"Notropis asperifrons",112
"Hoplias malabaricus",110
"Micropterus dolomieu",106
"Catostomus commersoni",105
"Hybopsis sp.",105
"Labidesthes vanhyningi",105
"Etheostoma duryi",100
"Lepomis punctatus",100
"Noturus funebris",98
"Carpiodes velifer",97
"Cottus bairdii",97
"Hybopsis amblops",97
"Pylodictis olivaris",97
"Micropterus cataractae",96
"Cyprinella lutrensis",95
"Cyphocharax spilurus",94
"Microschemobrycon casiquiare",94
"Ancistrus sp.",93
"Etheostoma whipplei",93
"Hemigrammus geisleri",92
"Etheostoma edwini",89
"Fundulus stellifer",89
"Menidia beryllina",88
"Noturus nocturnus",87
"Etheostoma olmstedi",85
"Crenicichla sp.",83
"Percina sciera",83
"Pimelodella sp.",83
"Anguilla rostrata",82
"Jupiaba polylepis",82
"Moenkhausia copei",82
"Leiostomus xanthurus",81
"Strongylura marina",79
"Hybognathus nuchalis",78
"Rineloricaria sp.",78
"Trinectes maculatus",78
"Anchoa mitchilli",77
"Lagodon rhomboides",77
"Notropis chrosomus",77
"Fundulus lineolatus",76
"Notropis cummingsae",76
"Ameiurus melas",74
"Etheostoma zonale",74
"Cyphocharax festivus",73
"Macrhybopsis aestivalis",73
"Moenkhausia schultzi",73
"Lythrurus lirus",72
"Notropis maculatus",71
"Bryconamericus sp.",70
"Elassoma evergladei",69
"Acestrorhynchus microlepis",68
"Perca flavescens",68
"Percina maculata",68
"Mugil cephalus",67
"Characidium zebra",66
"Cyprinella whipplei",66
"Melanocharacidium dispilomma",66
"Moxostoma sp.",66
"Cyprinella callitaenia",65
"Notropis boops",65
"Cyprinella leedsi",61
"Hypostomus squalinus",60
"Pimephales promelas",60
"Pomoxis annularis",59
"Crenicichla wallacii",58
"Etheostoma spectabile",58
"Caenotropus labyrinthicus",56
"Etheostoma zonifer",56
"Lepisosteus osseus",56
"Pimelodus albofasciatus",56
"Lepomis miniatus x punctatus",55
"Odontostilbe gracilis",55
"Noturus insignis",54
"Etheostoma chuckwachatte",53
"Moenkhausia collettii",53
"Poecilia latipinna",53
"Pteronotropis euryzonus",53
"Typhlichthys subterraneus",53
"Aplodinotus grunniens",52
"Hybopsis rubrifrons",52
"Notropis edwardraneyi",52
"Phoxinus erythrogaster",52
"Rhinichthys cataractae",52
"Tetragonopterus chalceus",52
"Etheostoma ramseyi",51
"Moenkhausia dichroura",51
"Moenkhausia oligolepis",51
"Morone saxatilis",51
"Alosa chrysochloris",50
"Cyprinodon variegatus",50
"Eigenmannia virescens",50
"Morone chrysops",50
"Notropis rubellus",49
"Noturus exilis",49
"Astyanax sp.",48
"Bryconops affinis",48
"Cyprinella nivea",48
"Gymnorhamphichthys rosamariae",48
"Limatulichthys griseus",48
"Notropis spectrunculus",48
"Pteronotropis grandipinnis",48
"Bivibranchia fowleri",47
"Hemigrammus bellottii",47
"Hemitremia flammea",47
"Moxostoma rupiscartes",47
"Synodus foetens",47
"Etheostoma ditrema",46
"Hemigrammus rodwayi",46
"Hemigrammus sp.",46
"Lampetra aepyptera",46
"Notropis harperi",46
"Amia calva",45
"Enneacanthus gloriosus",45
"Lepisosteus oculatus",45
"Moenkhausia chrysargyrea",45
"Rhamdia sp.",45
"Synbranchus marmoratus",45
"Anchoa hepsetus",44
"Crenicichla alta",44
"Eucinostomus argenteus",44
"Moenkhausia grandisquamis",44
"Pimelodella cristata",44
"Ameiurus platycephalus",43
"Apistogramma sp.",43
"Etheostoma parvipinne",43
"Etheostoma squamiceps",43
"Loricaria sp.",43
"Parotocinclus britskii",43
"Pteronotropis hypselopterus",43
"Bryconamericus orinocoense",42
"Enneacanthus obesus",42
"Hemigrammus analis",42
"Astyanax bimaculatus",41
"Brycon pesu",41
"Bryconamericus cinarucoense",41
"Hemiodus argenteus",41
"Leporinus agassizii",41
"Phenacogaster microstictus",41
"Serrasalmus rhombeus",41
"Brevoortia patronus",40
"Bryconops caudomaculatus",40
"Ctenobrycon spilurus",40
"Heterandria formosa",40
"Lepomis gibbosus",40
"Mesonauta guyanae",40
"Moenkhausia lepidura “2”",40
"Notropis chalybaeus",40
"Percina shumardi",40
"Poptella compressa",40
"Triportheus brachipomus",40
"Ariopsis felis",39
"Cottus tallapoosae",39
"Etheostoma inscriptum",39
"Fundulus chrysotus",39
"Lucania parva",39
"Micropogonias undulatus",39
"Myleus sp.",39
"Percina evides",39
"Trichomycterus sp.",39
"Carpiodes cyprinus",38
"Cyprinella caerulea",38
"Exodon paradoxus",38
"Fundulus nottii",38
"Luxilus cornutus",38
"Lythrurus umbratilis",38
"Notropis candidus",38
"Bairdiella chrysoura",37
"Eigenmannia sp.",37
"Hemiodus unimaculatus",37
"Hyphessobrycon bentosi",37
"Hypoptopoma guianense",37
"Percina vigil",37
"Trachelyopterus galeatus",37
"Ammocrypta beanii",36
"Apistogramma rupununi",36
"Fundulus notatus",36
"Hemiancistrus guahiborum",36
"Hybognathus regius",36
"Knodus sp.",36
"Moenkhausia browni",36
"Tilapia sp.",36
"Aequidens sp.",35
