"Continent","Count"
"usa",50520
"guy",5404
"ven",5201
"per",1017
"bgd",550
"gin",484
"bol",435
"bra",432
"tha",421
"pan",375
"col",259
"cod",249
"png",238
"ecu",180
"cmr",179
"ury",164
"sur",148
"uga",96
"gtm",78
"vir",70
"idn",52
"phl",47
"ner",45
"mex",41
"npl",37
"cri",32
"lbr",20
"dom",17
"hnd",14
"irq",14
"mli",14
"bfa",13
"caf",11
"twn",11
"gum",10
"can",9
"vnm",9
"blz",8
"nic",8
"pri",6
"ken",5
"jam",4
"arg",3
"ata",3
"kwt",3
"mar",3
"nor",2
"tza",2
"civ",1
"grd",1
"hti",1
"tun",1
"zaf",1
"zmb",1
