"Collector","Count"
"1",159
"2",122
"3",78
"4",58
"5",51
"6",31
"7",47
"8",119
"9",65
"10",28
"11",74
"12",55
"13",22
"14",25
"15",59
"16",35
"17",50
"18",52
"19",66
"20",95
"21",25
"22",20
"23",53
"24",58
"25",43
"26",43
"27",48
"28",35
"29",44
"30",188
"31",170
"32",161
"33",178
"34",41
"35",259
"36",216
"37",37
"38",24
"39",18
"40",460
"41",17
"42",22
"43",108
"44",52
"45",55
"46",63
"47",152
"48",23
"49",16
"50",42
"51",24
"52",60
"53",74
"54",243
"55",53
"56",31
"57",61
"58",20
"59",65
"60",22
"61",127
"62",34
"63",15
"64",21
"65",7
"66",52
"67",82
"68",26
"69",25
"70",14
"71",12
"72",16
"73",43
"74",14
"75",20
"76",35
"77",40
"78",12
"79",21
"80",38
"81",28
"82",40
"83",8
"84",4
"85",14
"86",12
"87",28
"88",14
"89",21
"90",11
"91",6
"92",14
"94",2
"95",8
"96",4
"97",1
"98",18
"99",7
"100",8
"101",3
"102",2
"103",6
"104",9
"105",15
"106",8
"107",6
"108",6
"109",10
"110",6
"111",9
"112",9
"113",12
"114",6
"115",8
"116",3
"117",35
"118",6
"119",6
"120",20
"121",5
"122",8
"123",1
"124",4
"125",2
"126",4
"127",3
"128",5
"129",5
"131",2
"133",3
"136",1
"137",1
"138",3
"141",1
"143",1
"144",4
"145",1
"146",3
"150",1
"151",1
"154",8
"158",3
"159",1
"160",5
"162",1
"165",2
"167",1
"168",2
"170",1
"173",2
"174",1
"176",1
"177",1
"178",3
"179",1
"180",1
"183",1
"190",1
"191",6
"207",1
"208",1
"210",1
"214",1
"218",4
"223",2
"229",1
"245",2
"246",1
"250",1
"251",2
"252",1
"253",2
"264",1
"295",1
"308",3
"311",1
"444",1
"445",1
"459",2
"714",3
"718",1
"719",1
"720",11
"729",1
"730",3
"731",4
"734",1
"739",1
"744",1
"749",2
"752",1
"755",2
"763",1
"764",4
"766",4
"771",3
"778",10
"782",1
"789",7
"869",1
"1955",1
"5414",2
"8404",1
"8704",2
"8805",21
"9006",3
"9307",4
"60447",1
"j.e",20650
"randall",20601
"and",14791
"r",4272
"v",4077
"cruise",3244
"a",2793
"station",2711
"allen",2005
"seale",1965
"cromwell",1916
"townsend",1907
"g.r",1859
"d.b",1611
"cannoy",1577
"earle",1503
"j.l",1480
"al",1457
"et",1444
"m",1380
"aboard",1209
"smith",1117
"pyle",1010
"r.l",967
"p",952
"h",940
"d.s",885
"jordan",866
"j.o",825
"snyder",825
"j",770
"g.w",735
"tribble",732
"via",731
"j.w",721
"r.c",720
"r.h",705
"thompson",705
"hugh",684
"d",653
"haywood",647
"local",606
"w.a",605
"r.m",603
"p.j",584
"j.r",541
"snider",540
"charles",522
"expedition",517
"r.p.h",517
"rutherford",517
"s",513
"f",502
"gilbert",493
"l",479
"helfrich",478
"mcnair",469
"m.l",465
"fisherman",460
"b",459
"bryant",440
"j.d",440
"kulbicki",422
"k",407
"o",400
"e.s",397
"l.j",379
"m.j",379
"w",379
"gosline",377
"t",371
"johnson",365
"of",357
"f.g",355
"gawel",354
"wörner",354
"h.a",340
"banner",330
"a.r",325
"emery",325
"christian",317
"greene",316
"john",316
"m.s",311
"tanager",310
"s.r",306
"p.l",305
"colin",304
"helfman",304
"david",302
"b.a",296
"k.e",295
"n",291
"carpenter",289
"tarr",281
"a.b",280
"e",280
"u.s",278
"anderson",276
"doherty",276
"ball",271
"goldman",269
"c",268
"gon",267
"b.d",258
"joseph",256
"dituri",254
"a.h",245
"s.c",242
"r.r",241
"adam",238
"fish",236
"pence",235
"vaniz",231
"w.f",231
"d.w",230
"struhsaker",223
"d.m",222
"r.s",217
"w.j",216
"g",211
"g.s",207
"hashimoto",207
"h.g",205
"hornbostel",205
"stanaland",205
"b.e",204
"steene",202
"commission",199
"costello",196
"crew",196
"bell",194
"brock",194
"clark",191
"fishermen",191
"carlson",190
"whippoorwill",188
"mccarthy",187
"wass",181
"robertson",176
"l.a",175
"m.m",168
"okamoto",167
"v.e",166
"young",166
"rao",164
"sinoto",163
"kuiter",162
"ida",158
"hewett",157
"a.y",156
"j.p",156
"suzumoto",156
"v.g",156
"j.j",155
"russell",155
"clarke",154
"d.n",154
"r.k",154
"ross",154
"springer",154
"t.a",153
"b.c",149
"devaney",149
"e.h",149
"pelicier",149
"baldwin",148
"d.j",148
"fisheries",148
"h.t",147
"kami",146
"van",146
"p.s",143
"jones",142
"lobel",140
"magnuson",139
"lubbock",138
"a.j",137
"rama",136
"strasburg",133
"g.b",132
"mainland",131
"ii",130
"l.g",130
"r.d",128
"c.k",127
"foster",127
"mcvey",125
"mcleish",124
"chave",122
"l.c",121
"j.h",120
"greenfield",119
"ian",119
"manning",118
"reynolds",118
"bryan",117
"hoover",117
"wrobel",117
"athline",116
"louise",116
"starck",115
"baker",113
"c.m",113
"eldredge",111
"p.m",111
"class",110
"walters",110
"bureau",108
"choat",108
"jr",108
"kosaki",108
"j.k.l",107
