"Family","Count"
"labridae",4373
"gobiidae",3817
"pomacentridae",2889
"serranidae",2247
"apogonidae",1928
"blenniidae",1697
"muraenidae",1369
"scorpaenidae",1261
"pisces",1230
"holocentridae",993
"chaetodontidae",976
"acanthuridae",968
"scaridae",732
"pomacanthidae",668
"mullidae",619
"carangidae",561
"tetraodontidae",522
"synodontidae",495
"lutjanidae",489
"pseudochromidae",484
"ophichthidae",432
"tripterygiidae",415
"syngnathidae",407
"cirrhitidae",399
"balistidae",373
"bothidae",340
"myctophidae",332
"congridae",324
"caesionidae",320
"ostraciidae",315
"monacanthidae",299
"callionymidae",289
"pinguipedidae",281
"mugilidae",276
"clupeidae",239
"nemipteridae",234
"lethrinidae",228
"ptereleotridae",228
"antennariidae",226
"exocoetidae",207
"haemulidae",196
"hemiramphidae",185
"siganidae",172
"bythitidae",168
"platycephalidae",163
"soleidae",159
"kuhliidae",142
"priacanthidae",138
"pempheridae",123
"plesiopidae",122
"trichonotidae",120
"kyphosidae",119
"ophidiidae",113
"atherinidae",110
"moringuidae",110
"chlopsidae",109
"eleotridae",105
"carcharhinidae",103
"belonidae",95
"diodontidae",95
"sphyraenidae",93
"leiognathidae",89
"sparidae",88
"gerreidae",85
"engraulidae",83
"carapidae",79
"branchiostegidae",77
"scombridae",77
"dalatiidae",72
"gobiesocidae",72
"polynemidae",70
"fistulariidae",68
"caracanthidae",66
"macrouridae",66
"sciaenidae",66
"zanclidae",66
"gempylidae",61
"melanostomiidae",60
"gonostomatidae",56
"moridae",56
"ogcocephalidae",55
"opistognathidae",55
"poeciliidae",51
"aulopidae",48
"dasyatidae",48
"nomeidae",48
"dactylopteridae",47
"coryphaenidae",46
"peristediidae",46
"ephippidae",44
"sternoptychidae",44
"terapontidae",43
"cheilodactylidae",42
"microdesmidae",41
"aulostomidae",40
"cynoglossidae",40
"bramidae",38
"echeneidae",38
"albulidae",37
"plotosidae",37
"sillaginidae",37
"caproidae",36
"emmelichthyidae",36
"samaridae",35
"stomiidae",35
"bregmacerotidae",34
"symphysanodontidae",34
"trachichthyidae",33
"polymixiidae",32
"pegasidae",31
"pleuronectidae",31
"nettastomatidae",30
"melamphaidae",29
"percophidae",29
"ammodytidae",27
"phosichthyidae",26
"ambassidae",25
"anguillidae",23
"centriscidae",22
"chauliodontidae",22
"nemichthyidae",22
"xenisthmidae",22
"ariommatidae",21
"astronesthidae",21
"chaunacidae",21
"hoplichthyidae",21
"rhinobatidae",21
"ariidae",20
"trichiuridae",19
"solenostomidae",18
"uranoscopidae",18
"zeidae",18
"acropomatidae",17
"pentacerotidae",17
"epigonidae",16
"gonorynchidae",16
"paralepididae",16
"scomberesocidae",16
