"preps","institutioncode","collectioncode","catalognumber","Stand.Prep","Stand.Prep.2","Stand.Prep.3","Tissue","Photo","X","freq"
NA,"bpbm","i","7096","","","",NA,NA,NA,12688
NA,"bpbm","i","20316","","","",NA,NA,NA,12688
NA,"bpbm","i","28337","","","",NA,NA,NA,12688
NA,"bpbm","i","39321","","","",NA,NA,NA,12688
NA,"bpbm","i","17932","","","",NA,NA,NA,12688
NA,"bpbm","i","38752","","","",NA,NA,NA,12688
NA,"bpbm","i","29186","","","",NA,NA,NA,12688
NA,"bpbm","i","36502","","","",NA,NA,NA,12688
NA,"bpbm","i","23036","","","",NA,NA,NA,12688
NA,"bpbm","i","33157","","","",NA,NA,NA,12688
NA,"bpbm","i","2924","","","",NA,NA,NA,12688
NA,"bpbm","i","26953","","","",NA,NA,NA,12688
NA,"bpbm","i","28196","","","",NA,NA,NA,12688
NA,"bpbm","i","26965","","","",NA,NA,NA,12688
NA,"bpbm","i","1491","","","",NA,NA,NA,12688
NA,"bpbm","i","25608","","","",NA,NA,NA,12688
NA,"bpbm","i","40635","","","",NA,NA,NA,12688
NA,"bpbm","i","8999","","","",NA,NA,NA,12688
NA,"bpbm","i","12300","","","",NA,NA,NA,12688
NA,"bpbm","i","38202","","","",NA,NA,NA,12688
NA,"bpbm","i","14031","","","",NA,NA,NA,12688
NA,"bpbm","i","24352","","","",NA,NA,NA,12688
NA,"bpbm","i","6906","","","",NA,NA,NA,12688
NA,"bpbm","i","40630","","","",NA,NA,NA,12688
NA,"bpbm","i","31401","","","",NA,NA,NA,12688
NA,"bpbm","i","34832","","","",NA,NA,NA,12688
NA,"bpbm","i","32334","","","",NA,NA,NA,12688
NA,"bpbm","i","29868","","","",NA,NA,NA,12688
NA,"bpbm","i","37639","","","",NA,NA,NA,12688
NA,"bpbm","i","813","","","",NA,NA,NA,12688
NA,"bpbm","i","10493","","","",NA,NA,NA,12688
NA,"bpbm","i","14068","","","",NA,NA,NA,12688
NA,"bpbm","i","7695","","","",NA,NA,NA,12688
NA,"bpbm","i","29942","","","",NA,NA,NA,12688
NA,"bpbm","i","39049","","","",NA,NA,NA,12688
NA,"bpbm","i","29781","","","",NA,NA,NA,12688
NA,"bpbm","i","33581","","","",NA,NA,NA,12688
NA,"bpbm","i","38252","","","",NA,NA,NA,12688
NA,"bpbm","i","37137","","","",NA,NA,NA,12688
NA,"bpbm","i","35147","","","",NA,NA,NA,12688
NA,"bpbm","i","17281","","","",NA,NA,NA,12688
NA,"bpbm","i","6183","","","",NA,NA,NA,12688
NA,"bpbm","i","11704","","","",NA,NA,NA,12688
NA,"bpbm","i","26425","","","",NA,NA,NA,12688
NA,"bpbm","i","4615","","","",NA,NA,NA,12688
NA,"bpbm","i","4091","","","",NA,NA,NA,12688
NA,"bpbm","i","31161","","","",NA,NA,NA,12688
NA,"bpbm","i","6187","","","",NA,NA,NA,12688
NA,"bpbm","i","26154","","","",NA,NA,NA,12688
NA,"bpbm","i","31520","","","",NA,NA,NA,12688
NA,"bpbm","i","36735","","","",NA,NA,NA,12688
NA,"bpbm","i","90","","","",NA,NA,NA,12688
NA,"bpbm","i","16957","","","",NA,NA,NA,12688
NA,"bpbm","i","22946","","","",NA,NA,NA,12688
NA,"bpbm","i","27769","","","",NA,NA,NA,12688
NA,"bpbm","i","17225","","","",NA,NA,NA,12688
NA,"bpbm","i","15561","","","",NA,NA,NA,12688
NA,"bpbm","i","5471","","","",NA,NA,NA,12688
NA,"bpbm","i","28525","","","",NA,NA,NA,12688
NA,"bpbm","i","34165","","","",NA,NA,NA,12688
NA,"bpbm","i","15799","","","",NA,NA,NA,12688
NA,"bpbm","i","1183","","","",NA,NA,NA,12688
NA,"bpbm","i","18995","","","",NA,NA,NA,12688
NA,"bpbm","i","40232","","","",NA,NA,NA,12688
NA,"bpbm","i","12610","","","",NA,NA,NA,12688
NA,"bpbm","i","16312","","","",NA,NA,NA,12688
NA,"bpbm","i","2319","","","",NA,NA,NA,12688
NA,"bpbm","i","23244","","","",NA,NA,NA,12688
NA,"bpbm","i","8146","","","",NA,NA,NA,12688
NA,"bpbm","i","23185","","","",NA,NA,NA,12688
NA,"bpbm","i","3945","","","",NA,NA,NA,12688
NA,"bpbm","i","12321","","","",NA,NA,NA,12688
NA,"bpbm","i","19351","","","",NA,NA,NA,12688
NA,"bpbm","i","32003","","","",NA,NA,NA,12688
NA,"bpbm","i","24224","","","",NA,NA,NA,12688
NA,"bpbm","i","33376","","","",NA,NA,NA,12688
NA,"bpbm","i","29170","","","",NA,NA,NA,12688
NA,"bpbm","i","15513","","","",NA,NA,NA,12688
NA,"bpbm","i","29903","","","",NA,NA,NA,12688
NA,"bpbm","i","7671","","","",NA,NA,NA,12688
NA,"bpbm","i","16881","","","",NA,NA,NA,12688
NA,"bpbm","i","10969","","","",NA,NA,NA,12688
NA,"bpbm","i","38495","","","",NA,NA,NA,12688
NA,"bpbm","i","21418","","","",NA,NA,NA,12688
NA,"bpbm","i","35244","","","",NA,NA,NA,12688
NA,"bpbm","i","12399","","","",NA,NA,NA,12688
NA,"bpbm","i","26360","","","",NA,NA,NA,12688
NA,"bpbm","i","10222","","","",NA,NA,NA,12688
NA,"bpbm","i","37907","","","",NA,NA,NA,12688
NA,"bpbm","i","24147","","","",NA,NA,NA,12688
NA,"bpbm","i","38822","","","",NA,NA,NA,12688
NA,"bpbm","i","4416","","","",NA,NA,NA,12688
NA,"bpbm","i","20000","","","",NA,NA,NA,12688
NA,"bpbm","i","40551","","","",NA,NA,NA,12688
NA,"bpbm","i","11436","","","",NA,NA,NA,12688
NA,"bpbm","i","11391","","","",NA,NA,NA,12688
NA,"bpbm","i","17397","","","",NA,NA,NA,12688
NA,"bpbm","i","19137","","","",NA,NA,NA,12688
NA,"bpbm","i","32137","","","",NA,NA,NA,12688
NA,"bpbm","i","8731","","","",NA,NA,NA,12688
NA,"bpbm","i","28284","","","",NA,NA,NA,12688
NA,"bpbm","i","30182","","","",NA,NA,NA,12688
NA,"bpbm","i","3653","","","",NA,NA,NA,12688
NA,"bpbm","i","26200","","","",NA,NA,NA,12688
NA,"bpbm","i","24358","","","",NA,NA,NA,12688
NA,"bpbm","i","31315","","","",NA,NA,NA,12688
