"Family","Count"
"Labridae",4373
"Gobiidae",3817
"Pomacentridae",2889
"Serranidae",2247
"Apogonidae",1928
"Blenniidae",1697
"Muraenidae",1369
"Scorpaenidae",1261
"Pisces",1230
"Holocentridae",993
"Chaetodontidae",976
"Acanthuridae",968
"Scaridae",732
"Pomacanthidae",668
"Mullidae",619
"Carangidae",561
"Tetraodontidae",522
"Synodontidae",495
"Lutjanidae",489
"Pseudochromidae",484
"Ophichthidae",432
"Tripterygiidae",415
"Syngnathidae",407
"Cirrhitidae",399
"Balistidae",373
"Bothidae",340
"Myctophidae",332
"Congridae",324
"Caesionidae",320
"Ostraciidae",315
"Monacanthidae",299
"Callionymidae",289
"Pinguipedidae",281
"Mugilidae",276
"Clupeidae",239
"Nemipteridae",234
"Lethrinidae",228
"Ptereleotridae",228
"Antennariidae",226
"Exocoetidae",207
"Haemulidae",196
"Hemiramphidae",185
"Siganidae",172
"Bythitidae",168
"Platycephalidae",163
"Soleidae",159
"Kuhliidae",142
"Priacanthidae",138
"Pempheridae",123
"Plesiopidae",122
"Trichonotidae",120
"Kyphosidae",119
"Ophidiidae",113
"Atherinidae",110
"Moringuidae",110
"Chlopsidae",109
"Eleotridae",105
"Carcharhinidae",103
"Belonidae",95
"Diodontidae",95
"Sphyraenidae",93
"Leiognathidae",89
"Sparidae",88
"Gerreidae",85
"Engraulidae",83
"Carapidae",79
"Branchiostegidae",77
"Scombridae",77
"Dalatiidae",72
"Gobiesocidae",72
"Polynemidae",70
"Fistulariidae",68
"Caracanthidae",66
"Macrouridae",66
"Sciaenidae",66
"Zanclidae",66
"Gempylidae",61
"Melanostomiidae",60
"Gonostomatidae",56
"Moridae",56
"Ogcocephalidae",55
"Opistognathidae",55
"Poeciliidae",51
"Aulopidae",48
"Dasyatidae",48
"Nomeidae",48
"Dactylopteridae",47
"Coryphaenidae",46
"Peristediidae",46
"Ephippidae",44
"Sternoptychidae",44
"Terapontidae",43
"Cheilodactylidae",42
"Microdesmidae",41
"Aulostomidae",40
"Cynoglossidae",40
"Bramidae",38
"Echeneidae",38
"Albulidae",37
"Plotosidae",37
"Sillaginidae",37
"Caproidae",36
"Emmelichthyidae",36
"Samaridae",35
"Stomiidae",35
"Bregmacerotidae",34
"Symphysanodontidae",34
"Trachichthyidae",33
"Polymixiidae",32
"Pegasidae",31
"Pleuronectidae",31
"Nettastomatidae",30
"Melamphaidae",29
"Percophidae",29
"Ammodytidae",27
"Phosichthyidae",26
"Ambassidae",25
"Anguillidae",23
"Centriscidae",22
"Chauliodontidae",22
"Nemichthyidae",22
"Xenisthmidae",22
"Ariommatidae",21
"Astronesthidae",21
"Chaunacidae",21
