"dwc.scientificName","freq"
"Trimma",184
"Myctophidae",135
"Gymnothorax",132
"Eviota",114
"Apogon",110
"Pomacentridae",110
"Scarus",105
"Dinematichthys",104
"Gnatholepis anjerensis",103
"Acanthurus triostegus",99
"Synodus variegatus",85
"Cirrhilabrus",84
"Halichoeres",84
"Sargocentron punctatissimum",84
"Gobiidae",82
"Istiblennius edentulus",82
"Tripterygiidae",81
"Labridae",78
"Thalassoma lutescens",78
"Blenniidae",77
"Pseudogramma polyacanthum polyacanthum",76
"Bothus pantherinus",74
"Thalassoma purpureum",74
"Abudefduf sordidus",73
"Chaetodon lunula",73
"Exocoetidae",73
"Gomphosus varius",72
"Scorpaenodes guamensis",72
"Moringua",71
"Parupeneus multifasciatus",67
"Chromis",66
"Labroides dimidiatus",64
"Pristiapogon kallopterus",63
"Bathygobius cocosensis",62
"Brotula multibarbata",61
"Pseudochromis",61
"Stethojulis bandanensis",61
"Zanclus cornutus",61
"Acanthuridae",59
"Lactoria diaphana",59
"Stegastes fasciolatus",59
"Epinephelus merra",58
"Kaupichthys",58
"Synodus dermatogenys",58
"Balistidae",57
"Gobiodon",57
"Neoniphon sammara",57
"Paracirrhites forsteri",57
"Centropyge flavissima",56
"Ostorhinchus nigrofasciatus",56
"Salarias periophthalmus",56
"Saurida gracilis",55
"Gymnothorax eurostus",54
"Thalassoma trilobatum",54
"Thalassoma duperrey",53
"Gymnothorax buroensis",52
"Mulloidichthys flavolineatus",52
"Lactoria fornasini",51
"Pseudanthias",51
"Chromis xanthura",50
"Dascyllus aruanus",50
"Pomacentrus",50
"Pseudocheilinus octotaenia",50
"Ctenochaetus striatus",49
"Halichoeres trimaculatus",49
"Oxycheilinus bimaculatus",49
"Pseudoplesiops",49
"Sargocentron spiniferum",49
"Mullidae",48
"Neomyxus leuciscus",48
"Pseudocheilinus evanidus",48
"Pseudocheilinus hexataenia",48
"Chaetodon",46
"Epinephelus tauvina",46
"Holocentridae",46
"Mugil cephalus",46
"Pterois antennata",46
"Awaous stamineus",45
"Chaetodon auriga",45
"Lentipes concolor",45
"Muraenidae",45
"Asterropteryx semipunctata",44
"Chlorurus sordidus",44
"Epibulus insidiator",44
"Gymnothorax undulatus",44
"Myripristis murdjan",44
"Paracirrhites arcatus",44
"Parapercis schauinslandii",44
"Fowleria",43
"Muraenichthys",43
"Sargocentron diadema",43
"Sargocentron microstoma",43
"Caranx sexfasciatus",42
"Cephalopholis spiloparaea",42
"Gymnothorax melatremus",42
"Iniistius pavo",42
"Lutjanus fulvus",42
"Eviota epiphanes",41
"Hime japonica",41
