"Collector","Count"
"0",1
"1",27
"2",203
"3",6
"4",7
"5",18
"6",4
"7",10
"8",1
"9",1
"12",3
"14",1
"15",3
"16",5
"18",1
"21",2
"23",1
"26",1
"27",2
"28",1
"29",2
"30",1
"32",6
"35",28
"37",1
"40",1
"41",1
"43",8
"44",1
"60",1
"61",3
"62",5
"63",3
"64",2
"65",11
"66",8
"99",2
"120",1
"133",1
"138",17
"166",9
"200",1
"231",18
"312",1
"330",1
"333",10
"384",9
"431",32
"441",5
"443",1
"456",2
"1021",10
"1898",2
"1908",2
"1924",1
"1931",10
"1932",11
"1933",2
"1934",29
"1959",2
"1967",1
"1969",8
"1971",1
"1972",1
"1985",1
"2001",1
"2011",2
"2012",1
"3818",1
"5507",1
"al",23831
"et",23814
"r",15476
"w",13018
"harry",11138
"rofen",10670
"fehlmann",10166
"j",9056
"david",8963
"k",8759
"h",8387
"greenfield",7586
"sumang",7201
"d",6667
"e",6513
"robert",6292
"longenecker",6077
"a",5923
"john",5462
"b",4964
"commission",4542
"l",4500
"carl",4405
"g",4386
"fisheries",4167
"s",3965
"iwamoto",3918
"c",3877
"fish",3610
"cole",3481
"international",3434
"roberts",3405
"william",3390
"tyson",3246
"u.s",3191
"catania",3087
"bolin",2888
"atta",2822
"tomio",2807
"langston",2744
"clark",2705
"fishermen",2560
"mccosker",2485
"service",2356
"m",2314
"f",2307
"bronson",2293
"of",2210
"williams",2198
"dewitt",2151
"rolf",2063
"ternetz",1998
"gaines",1976
"van",1971
"h.a",1936
"wildlife",1914
"steiner",1907
"eigenmann",1891
"t",1886
"franz",1856
"scott",1843
"walton",1830
"r.r",1798
"randall",1789
"beebe",1752
"i",1742
"bayer",1740
"tee",1712
"adair",1702
"pakal",1676
"bapilung",1668
"thai",1657
"lanier",1646
"meterewe",1615
"pairojana",1584
"manggur",1578
"sengich",1542
"song",1467
"follett",1441
"allen",1425
"party",1406
"rikrik",1369
"mcdaniel",1338
"brittan",1274
"tewid",1256
"n",1211
"walker",1211
"exped",1164
"jones",1133
"norton",1119
"albert",1118
"herre",1112
"y",1054
"wilbur",1040
"p",1038
"hubbs",1033
"crew",1026
"nolan",1000
"tachim",986
"herald",920
"dumale",895
"j.e",895
"damian",886
"poss",876
"bingham",847
"neely",836
"simpson",830
"matsui",803
"carpenter",801
"expedition",755
"boyd",744
"rocha",735
"crocker",728
"yachad",728
"hanna",725
"local",712
"miller",711
"george",696
"empeso",681
"co",677
"a.w",671
"and",671
"hand",663
"josef",659
"jordan",639
"v",637
"templeton",633
"cas",632
"lea",632
"ellsworth",625
"kindaro",625
"r.a",619
"o",603
"point",601
"evelyn",595
"shrimp",589
"bradbury",588
"eschmeyer",586
"hunters",578
"innes",577
"dibattista",573
"california",559
"betancur",551
"taylor",550
"marine",546
"margaret",541
"taiga",537
"dept",536
"dallas",528
"eyre",522
"academy",519
"cockrell",516
"sciences",516
"mecklenburg",510
"ron",504
"anderson",499
"newhouse",497
"wilson",494
"suman",491
"dimoet",489
"greenbaum",489
"natl",485
"fernandez",481
"game",480
"calif",469
"r.l",468
"l.a",466
"evermann",461
"pearson",459
"pitassy",455
"nathan",454
"flechsig",445
"parenti",445
"eric",441
"r.s",440
"jr",431
"earl",417
"berry",411
"holladay",410
"e.s",408
"da",398
"fred",395
"joseph",391
"knapp",391
"deurumol",389
"daniel",387
"b.w",383
"chan",375
"ho",374
"smith",370
"chen",365
"terry",365
"w.i",364
"d.w",363
"anisits",360
"ratikan",359
"woerjoatmodjo",358
"berumen",357
"bowen",355
"henn",353
"hopkirk",353
"sinclair",353
"bfar",352
"manalisay",352
"seale",352
"barton",348
"bond",348
"natives",341
"springer",337
"brock",336
"yani",336
"alvin",335
"lagios",332
"amaral",329
"stuart",329
"arthur",328
"leslie",327
"love",325
"do",324
"victor",323
"m.r",316
"bio",314
"sako",310
"charles",308
"martin",307
"gustave",303
"c.h",299
"l.r",298
"yarof",298
"evans",294
"franklyn",294
"johnson",293
"poly",293
"prachuob",291
"needham",284
"priest",284
"nangauta",281
"koich",270
"gonzales",269
"collette",268
"univ",268
"frey",267
"manuel",267
"tran",267
"ferraris",257
"c.l",248
"di",248
"brown",245
"haseman",245
"atto",242
"j.d",242
"china",237
"intl",237
"ocean",235
"gawera",234
"r.j",234
"indian",230
"m.d",230
"koro",228
"state",228
"hugh",227
"welson",226
"serene",225
"botek",224
"marshall",223
"behre",221
"chapman",221
"brinton",220
"jenkins",219
"battista",218
"akim",217
"barlow",215
"bondaik",215
"kendy",215
"tane",211
"g.r",209
"snyder",208
"taphorn",205
"newhouser",203
"ross",203
"grogan",201
"marbou",201
"richard",201
"brooks",200
"inst",199
"lab",197
"quang",197
"viet",197
"commercial",196
"owen",195
"native",194
"terazaki",194
"lane",192
"bruce",191
"c.j",188
"luom",186
"schneebeli",183
"swenson",183
"conners",182
"meek",182
"chambers",180
"christensen",180
"oceanography",178
"anthony",177
"diener",177
"hayes",177
"stearns",177
"aron",175
"frely",174
"baldwin",173
"g.d",173
"ommanney",173
"lam",172
"james",171
"maciolek",170
"scripps",170
"chin",169
"class",169
"donald",169
"uruwhet",169
"baird",167
"research",167
"walter",165
"knudsen",164
"mizeu",164
"oregon",164
"bureau",163
"gawere",163
"luiz",163
"murray",162
"antipas",160
"danielsson",160
"deturo",160
"cohen",159
"vessel",159
"limbaugh",158
"t.a",157
"h.c",156
"adrien",155
"koenig",155
"grant",154
"mikel",154
"gaither",153
"michelle",153
"robertson",153
"ngrmekur",152
"persson",152
"talbot",152
"laura",151
"seth",151
"f.m",150
"h.w",150
"ismail",150
"u",150
"p.r",149
"behnke",148
"for",147
"dempster",145
"hans",145
"gunther",144
"lundberg",143
"schultz",143
"peterson",141
"swarng",141
"moriguchi",140
"prasert",140
"schwartz",140
"mirefel",139
"tretnoff",139
"rosenblatt",138
"silva",138
"zakaria",138
"paul",137
"rao",137
"heemstra",136
"kosol",136
"willows",136
"from",135
"hancock",135
"iria",135
"prommanonda",135
"shapovalov",135
"supati",135
"w.c",135
"jonathan",134
"m.e",134
"myers",134
"rama",134
"unknown",134
"m.s",133
"leighton",132
"newman",132
"freihofer",131
"kirschbaum",131
"newton",131
"arofoman",130
"weitzman",130
"oetzel",127
"xiao",127
"yong",127
"edelbrock",126
"j.a",125
"von",125
"frank",124
"x",123
"deacon",121
"pilippoff",121
"cook",120
"hildebrand",120
"morris",120
"survey",120
"r.c",119
"daly",118
"project",118
"likit",117
"seid",117
"croker",116
"j.n",116
"honolulu",115
"pierce",115
"tewash",115
"yoich",115
"andrew",114
"gosline",114
"jack",113
"dane",112
"pe",112
"chernova",111
"deacan",111
"kaza",111
"museum",110
"tubb",110
"halstead",109
"a.o",107
"daniels",107
"piotrowski",107
"riddle",107
"vaniz",107
"dc",106
"silapi",106
"vernon",106
"wagner",106
"warner",106
"alcala",105
"burton",105
"elinor",105
"trubschenck",104
"villaret",104
"w.n",104
"cross",103
"devogelaere",103
"erica",103
"fehlman",103
"fisherman",103
"kevin",103
"ihering",102
"boys",101
"t.r",101
"greig",100
"mcconnoughey",100
"myint",100
"australian",99
"chumnit",99
"kaisa",99
"tobi",99
"johanas",98
"kadeb",98
"murphy",98
"samuel",97
"w.j",97
"l.c",95
"pan",95
"banarescu",94
"fisher",94
"ii",94
