"Country","Count"
"united states",29714
"palau",10497
"micronesia",9880
"philippines",7947
"thailand",7499
"fiji",7123
"mexico",6964
"brazil",3190
"ecuador",3173
"french polynesia",2129
"china",1964
"society islands",1958
"peru",1914
"papua new guinea",1521
"indonesia",1495
"bermuda",1414
"colombia",1414
"panama",1259
"venezuela",1189
"guam",1161
"marshall islands",1116
"guyana",1058
"myanmar",1000
"costa rica",968
"japan",968
"australia",942
"vietnam",941
"angola",896
"taiwan",857
"india",782
"comoros",762
"saudi arabia",743
"solomon islands",627
"american samoa",542
"chile",446
"bolivia",435
"sri lanka",435
"laos",422
"sao tome and principe",417
"northern mariana islands",397
"canada",365
"malaysia",354
"puerto rico",351
"u.s. minor outlying islands",336
"cambodia",331
"new caledonia",328
"paraguay",318
"maldives",315
"kiribati",299
"cuba",279
"seychelles",277
"nepal",273
"cook islands",236
"nicaragua",205
"bangladesh",197
"guatemala",187
"ghana",184
"russia",183
"honduras",177
"vanuatu",175
"oman",174
"pakistan",164
"italy",139
"french guiana",126
"trinidad and tobago",124
"senegal",120
"new zealand",112
"singapore",109
"guinea",108
"guinea-bissau",105
"romania",105
"bahamas",103
"suriname",102
"israel",98
"yemen",94
"argentina",93
"france",91
"madagascar",84
"curacao",83
"mozambique",83
"barbados",79
"cameroon",71
"djibouti",69
"kenya",69
"south africa",69
"united kingdom",69
"congo, the democratic republic of the",62
"samoa",58
"egypt",54
"south korea",52
"somalia",50
"el salvador",49
"gabon",48
"tanzania",44
"tonga",39
"greece",38
"nigeria",36
"saint lucia",32
"mauritania",30
"norway",30
"jamaica",29
"belize",27
"central african republic",25
"mauritius",24
"sierra leone",24
"pitcairn",21
"botswana",18
"sweden",18
"morocco",17
"lebanon",14
"british virgin islands",13
"dominica",13
"iran",13
"antigua and barbuda",12
"eritrea",12
"liberia",12
"brunei",11
"dominican republic",11
"spain",11
"croatia",9
"gambia",8
"malawi",8
"mongolia",8
"niue",8
"saint kitts and nevis",8
"bahrain",7
"cayman islands",7
"uganda",7
"wallis and futuna",7
"british indian ocean territory",6
"cote d'ivoire",6
"guadeloupe",6
"saint vincent and the grenadines",6
"sudan",6
"burundi",5
"equatorial guinea",5
"germany",5
"uruguay",5
"zambia",5
"denmark",4
"haiti",4
"iceland",4
"netherlands antilles",4
"slovenia",4
"south georgia and the south sandwich islands",4
"french southern and antarctic territories",3
"grenada",3
"macedonia",3
"saint helena",3
"bhutan",2
"bulgaria",2
"namibia",2
"north korea",2
"timor-leste",2
"afghanistan",1
"algeria",1
"antarctica",1
"aruba",1
"cabo verde",1
"cocos islands",1
"czech republic",1
"falkland islands",1
"greenland",1
"jordan",1
"mali",1
"malta",1
"martinique",1
"montenegro",1
"portugal",1
"svalbard and jan mayen islands",1
"tokelau",1
"turkey",1
"turks and caicos islands",1
"tuvalu",1
"ukraine",1
"united arab emirates",1
"yugoslavia",1
"zimbabwe",1
