"Family","Count"
"gobiidae",8632
"cyprinidae",6167
"labridae",6089
"pomacentridae",6022
"apogonidae",5765
"myctophidae",5151
"cottidae",3465
"serranidae",3365
"scorpaenidae",3152
"carangidae",2818
"blenniidae",2750
"chaetodontidae",2570
"characidae",2425
"muraenidae",2412
"holocentridae",2319
"acanthuridae",2226
"cichlidae",1635
"sebastidae",1607
"syngnathidae",1548
"macrouridae",1488
"tetraodontidae",1478
"salmonidae",1400
"pleuronectidae",1291
"osmeridae",1191
"mullidae",1046
"ophichthidae",1037
"scaridae",1037
"lutjanidae",951
"embiotocidae",930
"synodontidae",916
"catostomidae",885
"stomiidae",883
"clupeidae",876
"engraulidae",860
"cirrhitidae",848
"mugilidae",808
"exocoetidae",803
"sciaenidae",787
"balistidae",773
"loricariidae",769
"pomacanthidae",767
"zoarcidae",697
"ogcocephalidae",695
"paralichthyidae",688
"stichaeidae",685
"gonostomatidae",679
"atherinopsidae",644
"nemipteridae",644
"eleotridae",640
"pseudochromidae",616
"gerreidae",609
"poeciliidae",606
"liparidae",598
"haemulidae",587
"siganidae",561
"hexagrammidae",540
"callionymidae",517
"hemiramphidae",505
"monacanthidae",503
"bathylagidae",500
"ophidiidae",500
"centrarchidae",499
"clinidae",481
"pholidae",476
"atherinidae",470
"cynoglossidae",463
"gobiesocidae",460
"bothidae",435
"bythitidae",424
"labrisomidae",418
"agonidae",409
"batrachoididae",396
"tripterygiidae",392
"anostomidae",386
"bagridae",380
"gasterosteidae",370
"serrasalmidae",367
"lethrinidae",366
"rajidae",363
"sisoridae",355
"cobitidae",353
"cyprinodontidae",349
"belonidae",344
"congridae",341
"curimatidae",326
"heptapteridae",325
"triglidae",322
"ictaluridae",311
"soleidae",310
"goodeidae",308
"trichomycteridae",308
"pimelodidae",300
"leiognathidae",297
"ambassidae",293
"kyphosidae",277
"antennariidae",273
"petromyzontidae",272
"synanceiidae",269
"pinguipedidae",263
"gadidae",259
"ariidae",252
"percidae",248
"scombridae",243
"kuhliidae",235
"nemacheilidae",235
"ostraciidae",235
"caesionidae",229
"platycephalidae",229
"plesiopidae",227
"priacanthidae",226
"sternoptychidae",222
"sparidae",213
"osphronemidae",208
"polynemidae",197
"terapontidae",195
"bryconidae",193
"moronidae",193
"callichthyidae",191
"mastacembelidae",188
"paralepididae",187
"lebiasinidae",182
"fistulariidae",178
"erythrinidae",174
"dasyatidae",171
"achiridae",170
"alepocephalidae",166
"auchenipteridae",164
"doradidae",163
"moridae",163
"sphyraenidae",161
"fundulidae",156
"siluridae",155
"microdesmidae",154
"carcharhinidae",152
"diodontidae",151
"triakidae",150
"channidae",149
"pentanchidae",149
"dactylopteridae",147
"tetrarogidae",146
"chlorophthalmidae",145
"astroblepidae",139
"peristediidae",139
"moringuidae",134
"triportheidae",134
"chlopsidae",133
"plotosidae",132
