"Waterbody","Count"
"7",1
"gulf of thailand",5380
"san francisco bay",2639
"gulf of california",1451
"r. amazonas basin",1341
"mekong basin",993
"kaneohe bay",900
"south china sea",799
"iwayama bay",744
"san joaquin r.",589
"walker creek",417
"r. tocantins basin",367
"monterey bay",350
"bering sea",338
"papetoai bay",321
"drainage: sacramento",310
"orinoco r. basin",307
"gulf of alaska",300
"ayeyarwaddy (=irrawaddy) r.",299
"academy bay",292
"tomales bay",281
"lake tahoe",266
"gardner bay",255
"formosa strait",250
"manila bay",250
"sulu sea",244
"essequibo r. basin",242
"kapuas r. basin",234
"sacramento r.",214
"bismarck sea",196
"bay of nhatrang",186
"batangas bay",185
"arabian sea",170
"celebes sea",151
"irrawaddy drainage",150
"agana bay",148
"nhatrang bay",143
"balayan bay",136
"clear lake",136
"taiwan strait",135
"java sea",134
"toguan bay",129
"east china sea",128
"caribbean sea",125
"mekong r. basin",125
"puget sound",124
"timor sea",124
"james bay",121
"chao phraya basin",120
"mahakam basin",116
"r. atrato basin",109
"r. magdalena basin",106
"drainage: rio parana",105
"andaman sea",104
"ban aangtong bay",103
"ne chukchi sea",102
"binhchang bay (n. shore)",101
"salween basin",100
"ngermiich bay",98
"orinoco r. basin; r. orinoco",98
"drainage: rio orinoco",96
"drainage: salween",96
"se bering sea",96
"san lorenzo r.",91
"golfo de nicoya",89
"ganges basin",88
"drainage: sacramento river",85
"conway bay",80
"braxilito bay",78
"demerara r. basin",78
"palikulo bay",78
"yellow sea",76
"cook inlet",74
"drainage: mississippi",74
"bristol bay",73
"braithwaite bay",71
"eastern bering sea",71
"salween r. basin",70
"salween drainage",69
"essequibo r. basin; essequibo r.",68
"magdalena bay",68
"tapi basin",68
"gulf of nicoya",66
"mekong basin; mekong r.",66
"naraini r.",66
"santa barbara channel",66
"molawin creek",65
"r. amazonas basin; lago grande",64
"drainage: sacramento r.",63
"gulf of panama",62
"mentaya basin",62
"ne bering sea",62
"tenasserim basin",62
"iriru pass",60
"gulf of the farallones",59
"mekong basin; mekon r.",59
"prasae bay",59
"ragay gulf",59
"r. parana basin",58
"drainage: irrawaddy",57
"post office bay",57
"drainage: nujiang",54
"chatham bay",53
"cormorant bay",53
"sulphur bay",52
"acapulco bay",51
"drainage: irrawaddy (longchuanjiang)",51
"russian r.",51
"iwayama bay (arumizu bay)",50
"r. amazonas basin; quebrada mariposa",50
"russian river",50
"agus r. drainage",49
"bay of bengal",49
"drainage: rio patia",49
"gulf of aqaba",49
"banda sea",48
"beaufort sea",48
"half moon bay",48
"krishna r. basin; tungabahdra r.",48
"r. amazonas basin; r. madre de dios",48
"drainage: columbia",47
"gongolungel strait",47
"carmel bay",46
"drainage: rio san juan",46
"laulau bahia",46
"drainage: colorado r.",45
"mission bay",45
"red sea",45
"sw chukchi sea",44
"cauvery r. basin",43
"nanpil r.",43
"nanpil-kiepw r.",43
"r. pedregal",43
"gulf of mexico",42
"golfo de california",41
"malampaya sound",40
"orinoco r. basin; r. guarico",40
"rayong r.",40
"ross sea",40
"sungai golok basin",40
"r. atrato basin; r. truando",39
"east siberian sea",38
"korolevu bay",38
"parana/de la plata basin; r. paraguay",38
"r. amazonas basin; r. amazonas",38
"bodega bay",37
"morro bay",37
"san joaquin r. basin; san joaquin r.",37
"tasman sea",37
"orinoco r. basin; r. maria",35
"sacramento r. system; pit r.",35
"indus r. basin; indus r.",34
"barents sea",33
"formosa banks (taiwan strait)",33
"gulf of guinea",33
"mahanadi r. basin",33
"demerara r. basin; demerara r.",32
"drainage: mahakam",32
"rapti r. basin",32
"stanley bay",32
"sundi r.",32
"alameda creek",31
"bangpakong basin",31
"ganges r.",31
"menari r.",31
"newport bay",31
"r. amazonas basin; l. rogoagua",31
"r. amazonas basin; lago cashiboya",31
"ramu r. drainage",31
"reu r.",31
"sacramento r. drainage",31
"san diego bay",31
"se chukchi sea",31
"drainage: san joaquin river",30
"essequibo r. basin; potaro r.",30
"r. amazonas basin; santarem r.",30
"sacramento river",30
"drainage: klamath river",29
"drainage: r. orinoco",29
"drainage: truckee riv./pyramid lak",29
"essequibo r. basin; r. essequibo",29
"irrawaddy r. basin",29
"r. amazonas basin; r. negro",29
"ramu r. basin",29
"tagus cove",29
"albay gulf",28
"biges r. drainage",28
"florida straits",28
"gihmel r.",28
"kapuas r. basin; kapuas r. mainstream",28
"mahanadi basin",28
"meklong basin",28
"nasugbu bay",28
"r. ribiera basin",28
"amekaud r.",27
"aoa bay",27
"barents sea.",27
"r. parana basin ; r. paraguay",27
"san bernardino strait",27
"tennessee river",27
