"Collector","Count"
"1",6
"2",7
"3",6
"4",1
"8",1
"14",1
"20",1
"36",2
"37",14
"41",24
"58",1
"116",1
"125",1
"207",1
"1889",1
"1896",1
"1929",1
"1930",1
"1933",2
"1934",1
"1936",12
"1937",2
"1938",1
"1940",24
"1950",1
"1951",1
"1957",1
"21053",1
"w",13118
"herre",11619
"albert",11539
"al",10035
"et",10035
"john",9022
"william",8726
"beebe",6984
"van",6825
"tee",6805
"s",5308
"fish",4307
"u.s",4251
"david",4016
"jordan",3934
"commission",3682
"carl",3587
"h",3001
"ternetz",2965
"a",2861
"l",2762
"r",2536
"j",2415
"g",2272
"c",2243
"i",2107
"o",1995
"snyder",1932
"roberts",1902
"e",1755
"gilbert",1565
"tyson",1565
"scherer",1537
"good",1531
"charles",1415
"m",1388
"bolin",1374
"f",1234
"myers",1153
"george",1119
"d",1093
"bohlke",1055
"starks",1045
"rolf",1044
"edwin",1024
"v",1018
"cohen",931
"p",791
"carvalho",778
"james",751
"lindbergh",749
"white",717
"hubbs",682
"thomas",616
"b",561
"vernon",541
"bond",535
"franklyn",529
"follett",504
"wilbur",500
"wildlife",492
"service",485
"richard",477
"evermann",473
"wilimovsky",473
"t",468
"robert",456
"barton",453
"mcgregor",444
"kellogg",426
"daniel",425
"meek",419
"of",390
"seth",388
"seale",385
"harry",373
"cliff",370
"alvin",369
"n",367
"mead",355
"jenkins",328
"storey",323
"museum",319
"eigenmann",318
"k",316
"fisheries",313
"savage",310
"heller",300
"miller",297
"oliver",288
"ford",281
"party",278
"briggs",275
"snodgrass",271
"berla",270
"gosline",268
"g.w",263
"edmund",257
"lung",249
"otaki",245
"scofield",238
"r.l",228
"jr",223
"rutter",220
"brock",214
"thoburn",214
"keinosuke",213
"rofen",211
"dept",204
"margaret",204
"n.w",203
"t.d",203
"baughman",202
"dearborn",197
"fehlmann",196
"fry",196
"leviton",189
"from",188
"henshall",187
"kirsch",187
"allen",181
"clark",178
"philip",177
"rocha",176
"hanna",172
"kauanui",171
"rego",168
"g.s",165
"zool",165
"sefton",164
"australian",163
"owston",162
"alan",161
"culver",161
"figg",160
"hoblyn",160
"thompson",159
"n.y",156
"soc",155
"stead",155
"j.c",154
"a.w",151
"d.h",145
"sindo",144
"smith",144
"bromhall",142
"joseph",141
"daugherty",138
"gressitt",138
"jewett",135
"michitaro",134
"masamitsu",132
"oshima",132
"fisher",131
"woolman",131
"cook",128
"exped",128
"swain",127
"wood",127
"pierson",126
"fowler",124
"littlepage",124
"c.h",122
"n.j",119
"brittan",118
"and",115
"calif",113
"walter",112
"dickinson",110
"rosa",107
"dewitt",106
"zoological",105
"class",102
"tweedie",102
"calhoun",101
"commercial",101
"game",101
"j.m",101
"j.d",100
"henry",99
"walker",98
"r.f",97
"d.m",95
"fishermen",95
"rausch",95
"sumang",95
"giles",94
"moraes",94
"rao",94
"martin",93
"yoakum",93
"bishop",92
"douglas",92
"reynolds",92
"survey",92
"meggitt",91
"ogilby",91
"bureau",90
"tada",90
"wohlschlag",90
"dr",88
"beardslee",87
"c.j",87
"greeley",87
"kuhne",87
"wiggins",87
"lin",86
"mayfield",86
"niska",85
"by",84
"taft",84
"expedition",83
"w.a",82
"fielde",80
"mcvey",80
"r.r",80
"shu",80
"station",80
"yen",80
"aoki",78
"kahn",78
"b.w",77
"babbitt",77
"sauter",76
"a.m",75
"lewis",75
"via",75
"arthur",74
"cloudsley",74
"freihofer",74
"india",74
"abbott",73
"coman",73
"marine",73
"monson",73
"murphy",73
"h.a",72
"hans",72
"madras",72
"srinivasa",72
"ball",71
"perry",71
"simons",69
"firschein",68
"l.a",68
"h.w",67
"hartt",67
"j.o",67
"schwartz",67
"annereaux",66
"ichthyology",66
"villadolid",66
"brown",65
"eric",65
"kumakichi",65
