"Country","Count"
"united states",14333
"philippines",6261
"mexico",5278
"bermuda",5093
"brazil",4976
"japan",2855
"china",2196
"peru",1883
"venezuela",1857
"india",1723
"cameroon",1488
"malaysia",1446
"panama",1196
"ghana",1092
"ecuador",1041
"indonesia",903
"colombia",763
"singapore",750
"costa rica",735
"australia",617
"congo, the democratic republic of the",554
"taiwan",539
"cuba",395
"palau",375
"myanmar",374
"guyana",321
"samoa",319
"italy",310
"solomon islands",283
"canada",280
"jamaica",271
"south africa",238
"thailand",212
"sri lanka",205
"russia",199
"argentina",198
"uganda",194
"french polynesia",187
"vanuatu",173
"fiji",172
"micronesia",145
"papua new guinea",133
"puerto rico",133
"suriname",131
"nicaragua",129
"spain",118
"south korea",114
"american samoa",108
"antarctica",92
"chile",88
"barbados",83
"nepal",81
"northern mariana islands",69
"france",66
"society islands",63
"new zealand",58
"guatemala",52
"antigua and barbuda",48
"germany",47
"haiti",46
"romania",45
"el salvador",40
"greenland",40
"kenya",34
"north korea",32
"bahamas",25
"uruguay",25
"mozambique",24
"saint lucia",24
"egypt",22
"portugal",22
"u.s. minor outlying islands",22
"liberia",21
"french guiana",20
"trinidad and tobago",20
"tanzania",19
"equatorial guinea",18
"nigeria",18
"new caledonia",17
"curacao",15
"united kingdom",15
"vietnam",15
"senegal",14
"sweden",14
"norway",12
"cook islands",11
"marshall islands",11
"guam",10
"zimbabwe",10
"israel",9
"kiribati",9
"bahrain",8
"gabon",8
"saudi arabia",8
"turkey",8
"brunei",7
"dominican republic",7
"angola",6
"honduras",6
"pakistan",6
"paraguay",6
"bangladesh",5
"bolivia",5
"sudan",5
"maldives",4
"mali",4
"seychelles",4
"cocos islands",3
"monaco",3
"netherlands antilles",3
"cayman islands",2
"guinea",2
"sierra leone",2
"svalbard-jan mayen islands",2
"syria",2
"tuvalu",2
"british virgin islands",1
"central african republic",1
"cote d'ivoire",1
"croatia",1
"czech republic",1
"dominica",1
"ethiopia",1
"gibraltar",1
"mauritius",1
"montserrat",1
"netherlands",1
"saint kitts and nevis",1
"sint maarten",1
"slovakia",1
"tonga",1
