"Family","Count"
"cyprinidae",4947
"gobiidae",2581
"characidae",2303
"cottidae",1576
"myctophidae",1567
"carangidae",1453
"pomacentridae",1311
"cichlidae",1299
"labridae",1267
"serranidae",1202
"salmonidae",1150
"sternoptychidae",1065
"stomiidae",1060
"sciaenidae",997
"clupeidae",946
"melamphaidae",935
"blenniidae",922
"tetraodontidae",773
"haemulidae",768
"lutjanidae",761
"mugilidae",688
"apogonidae",670
"catostomidae",654
"syngnathidae",635
"acanthuridae",556
"engraulidae",552
"gerreidae",546
"poeciliidae",536
"muraenidae",532
"paralichthyidae",529
"sebastidae",529
"labrisomidae",522
"percidae",522
"holocentridae",519
"gobiesocidae",513
"eleotridae",500
"pleuronectidae",460
"loricariidae",436
"scorpaenidae",424
"scaridae",408
"centrarchidae",407
"chaetodontidae",393
"curimatidae",368
"mullidae",366
"hemiramphidae",363
"sparidae",357
"alestidae",350
"synodontidae",347
"mormyridae",340
"atherinopsidae",335
"embiotocidae",335
"ariidae",328
"nototheniidae",308
"exocoetidae",294
"lebiasinidae",292
"balistidae",286
"cynoglossidae",283
"monacanthidae",281
"gasterosteidae",279
"agonidae",278
"stichaeidae",276
"belonidae",274
"scombridae",274
"heptapteridae",266
"ophichthidae",263
"phosichthyidae",263
"triglidae",262
"liparidae",256
"paralepididae",246
"macrouridae",243
"serrasalmidae",236
"callichthyidae",234
"kyphosidae",232
"batrachoididae",228
"fundulidae",227
"ictaluridae",222
"nemipteridae",222
"leiognathidae",218
"bathylagidae",212
"distichodontidae",207
"pimelodidae",206
"channidae",202
"clariidae",201
"bagridae",199
"zoarcidae",198
"atherinidae",189
"chaenopsidae",188
"clinidae",188
"bothidae",187
"platycephalidae",187
"sphyraenidae",186
"gonostomatidae",183
"osphronemidae",182
"polynemidae",178
"mochokidae",175
"anostomidae",173
"pomacanthidae",173
"echeneidae",171
"nothobranchiidae",171
"antennariidae",170
"carcharhinidae",169
"hexagrammidae",165
"callionymidae",164
"ambassidae",162
"lethrinidae",162
"gempylidae",157
"doradidae",153
"anguillidae",152
"cobitidae",152
"ostraciidae",152
"erythrinidae",147
"tripterygiidae",146
"omosudidae",145
"terapontidae",141
"rivulidae",137
"congridae",135
"zenarchopteridae",131
"albulidae",130
"iguanodectidae",130
"auchenipteridae",128
"sternopygidae",128
"ophidiidae",126
"pholidae",125
"soleidae",123
"mastacembelidae",122
"rajidae",121
"claroteidae",120
"ogcocephalidae",119
"anabantidae",118
"nemacheilidae",116
"bryconidae",115
"cyprinodontidae",115
"ceratiidae",114
"oneirodidae",107
"acestrorhynchidae",106
"osmeridae",106
"diodontidae",102
"siganidae",102
"pristigasteridae",101
"sillaginidae",100
"ephippidae",97
"priacanthidae",97
"petromyzontidae",96
"centropomidae",94
"trichomycteridae",92
"achiridae",91
"triakidae",91
"kuhliidae",90
"siluridae",89
"stromateidae",88
"triportheidae",86
"gadidae",83
"gasteropelecidae",83
"bythitidae",82
"fistulariidae",82
"dussumieriidae",81
"synanceiidae",81
"esocidae",80
"schilbeidae",80
"pseudochromidae",79
"trichiuridae",79
"dactyloscopidae",77
"crenuchidae",76
"grammicolepididae",74
"synbranchidae",73
"chilodontidae",69
"prochilodontidae",69
"rhinobatidae",69
"alepisauridae",65
"goodeidae",65
"malacanthidae",65
"uranoscopidae",65
"caesionidae",64
"cirrhitidae",64
"dasyatidae",63
"pinguipedidae",62
"centriscidae",61
"plotosidae",60
"aplocheilidae",55
"balitoridae",55
"hemiodontidae",55
"moridae",55
"nomeidae",55
"triacanthidae",55
"bregmacerotidae",54
"elopidae",53
"psychrolutidae",53
"epigonidae",52
"moringuidae",52
"tetrarogidae",52
"linophrynidae",50
"megalopidae",47
"phallostethidae",47
"argentinidae",46
"myliobatidae",46
"scatophagidae",46
"melanonidae",45
"alepocephalidae",44
"plesiopidae",44
"sphyrnidae",44
"ammodytidae",43
"coryphaenidae",43
"adrianichthyidae",42
"amphiliidae",42
"evermannellidae",42
"scomberesocidae",41
"scyliorhinidae",41
"hypopomidae",39
"merlucciidae",39
"acipenseridae",37
"branchiostomatidae",37
"dactylopteridae",37
"gymnotidae",37
"carapidae",36
"chiasmodontidae",36
"hemitripteridae",36
"monodactylidae",35
"pomatomidae",35
"caproidae",34
"muraenesocidae",34
"narcinidae",34
"notopteridae",34
"aspredinidae",33
"cheilodactylidae",32
"drepaneidae",32
"pempheridae",32
"percichthyidae",32
"phycidae",32
"pseudopimelodidae",32
"anoplogastridae",31
"bramidae",31
"sisoridae",31
"umbridae",31
"zanclidae",31
"cepolidae",30
"chanidae",30
"lotidae",30
"pentanchidae",30
"percopsidae",30
"peristediidae",30
"chaunacidae",29
"microdesmidae",29
"trachipteridae",29
"urotrygonidae",29
"zeidae",29
"centrolophidae",28
"chimaeridae",28
"cyclopteridae",28
"gymnuridae",28
"latidae",28
"bathymasteridae",27
"galaxiidae",27
"hepsetidae",27
"lophiidae",27
"neoscopelidae",27
"toxotidae",27
