"preps","institutioncode","collectioncode","catalognumber","Stand.Prep","Stand.Prep.2","Stand.Prep.3","Tissue","Photo","X","freq"
"Alcohol","cas","su (ich)","36412","EtOH","","",NA,NA,NA,437
"Alcohol","cas","su (ich)","26824","EtOH","","",NA,NA,NA,437
"Alcohol","cas","su (ich)","62161","EtOH","","",NA,NA,NA,437
"Alcohol","cas","su (ich)","27970","EtOH","","",NA,NA,NA,437
"Alcohol","cas","su (ich)","3355","EtOH","","",NA,NA,NA,437
"Alcohol","cas","su (ich)","46356","EtOH","","",NA,NA,NA,437
"Alcohol","cas","su (ich)","42","EtOH","","",NA,NA,NA,437
"Alcohol","cas","su (ich)","4456","EtOH","","",NA,NA,NA,437
"Alcohol","cas","su (ich)","57905","EtOH","","",NA,NA,NA,437
"Alcohol","cas","su (ich)","51098","EtOH","","",NA,NA,NA,437
"Alcohol","cas","su (ich)","57183","EtOH","","",NA,NA,NA,437
"Alcohol","cas","su (ich)","51015","EtOH","","",NA,NA,NA,437
"Alcohol","cas","su (ich)","62605","EtOH","","",NA,NA,NA,437
"Alcohol","cas","su (ich)","54018","EtOH","","",NA,NA,NA,437
"Alcohol","cas","su (ich)","62209","EtOH","","",NA,NA,NA,437
"Alcohol","cas","su (ich)","55308","EtOH","","",NA,NA,NA,437
"Alcohol","cas","su (ich)","20480","EtOH","","",NA,NA,NA,437
"Alcohol","cas","su (ich)","60204","EtOH","","",NA,NA,NA,437
"Alcohol","cas","su (ich)","47574","EtOH","","",NA,NA,NA,437
"Alcohol","cas","su (ich)","28365","EtOH","","",NA,NA,NA,437
"Alcohol","cas","su (ich)","2355","EtOH","","",NA,NA,NA,437
"Alcohol","cas","su (ich)","65520","EtOH","","",NA,NA,NA,437
"Alcohol","cas","su (ich)","42482","EtOH","","",NA,NA,NA,437
"Alcohol","cas","su (ich)","3542","EtOH","","",NA,NA,NA,437
"Alcohol","cas","su (ich)","12597","EtOH","","",NA,NA,NA,437
"Alcohol","cas","su (ich)","49559","EtOH","","",NA,NA,NA,437
"Alcohol","cas","su (ich)","32528","EtOH","","",NA,NA,NA,437
"Alcohol","cas","su (ich)","26812","EtOH","","",NA,NA,NA,437
"Alcohol","cas","su (ich)","120","EtOH","","",NA,NA,NA,437
"Alcohol","cas","su (ich)","58431","EtOH","","",NA,NA,NA,437
"Alcohol","cas","su (ich)","31177","EtOH","","",NA,NA,NA,437
"Alcohol","cas","su (ich)","51856","EtOH","","",NA,NA,NA,437
"Alcohol","cas","su (ich)","29390","EtOH","","",NA,NA,NA,437
"Alcohol","cas","su (ich)","59024","EtOH","","",NA,NA,NA,437
"Alcohol","cas","su (ich)","7585","EtOH","","",NA,NA,NA,437
"Alcohol","cas","su (ich)","6747","EtOH","","",NA,NA,NA,437
"Alcohol","cas","su (ich)","22674","EtOH","","",NA,NA,NA,437
"Alcohol","cas","su (ich)","5215","EtOH","","",NA,NA,NA,437
"Alcohol","cas","su (ich)","60008","EtOH","","",NA,NA,NA,437
"Alcohol","cas","su (ich)","16386","EtOH","","",NA,NA,NA,437
"Alcohol","cas","su (ich)","67217","EtOH","","",NA,NA,NA,437
"Alcohol","cas","su (ich)","15382","EtOH","","",NA,NA,NA,437
"Alcohol","cas","su (ich)","37402","EtOH","","",NA,NA,NA,437
"Alcohol","cas","su (ich)","68858","EtOH","","",NA,NA,NA,437
"Alcohol","cas","su (ich)","56010","EtOH","","",NA,NA,NA,437
"Alcohol","cas","su (ich)","26054","EtOH","","",NA,NA,NA,437
"Alcohol","cas","su (ich)","42157","EtOH","","",NA,NA,NA,437
"Alcohol","cas","su (ich)","2631","EtOH","","",NA,NA,NA,437
"Alcohol","cas","su (ich)","11335","EtOH","","",NA,NA,NA,437
"Alcohol","cas","su (ich)","39030","EtOH","","",NA,NA,NA,437
"Alcohol","cas","su (ich)","39420","EtOH","","",NA,NA,NA,437
"Alcohol","cas","su (ich)","1770","EtOH","","",NA,NA,NA,437
"Alcohol","cas","su (ich)","5398","EtOH","","",NA,NA,NA,437
"Alcohol","cas","su (ich)","65227","EtOH","","",NA,NA,NA,437
"Alcohol","cas","su (ich)","49252","EtOH","","",NA,NA,NA,437
"Alcohol","cas","su (ich)","1148","EtOH","","",NA,NA,NA,437
"Alcohol","cas","su (ich)","4164","EtOH","","",NA,NA,NA,437
"Alcohol","cas","su (ich)","36780","EtOH","","",NA,NA,NA,437
"Alcohol","cas","su (ich)","25358","EtOH","","",NA,NA,NA,437
"Alcohol","cas","su (ich)","6501","EtOH","","",NA,NA,NA,437
"Alcohol","cas","su (ich)","4170","EtOH","","",NA,NA,NA,437
"Alcohol","cas","su (ich)","61067","EtOH","","",NA,NA,NA,437
"Alcohol","cas","su (ich)","25329","EtOH","","",NA,NA,NA,437
"Alcohol","cas","su (ich)","67930","EtOH","","",NA,NA,NA,437
"Alcohol","cas","su (ich)","63856","EtOH","","",NA,NA,NA,437
"Alcohol","cas","su (ich)","24368","EtOH","","",NA,NA,NA,437
"Alcohol","cas","su (ich)","14240","EtOH","","",NA,NA,NA,437
"Alcohol","cas","su (ich)","66643","EtOH","","",NA,NA,NA,437
"Alcohol","cas","su (ich)","58503","EtOH","","",NA,NA,NA,437
"Alcohol","cas","su (ich)","9165","EtOH","","",NA,NA,NA,437
