"Waterbody","Count"
"gulf of california",2023
"r. amazonas basin",730
"orinoco r. basin",436
"r. ampiyacu",359
"monterey bay",308
"celebes sea",304
"cano del chancho",302
"sulu sea",279
"bering sea",275
"mcmurdo sound",266
"manila bay",251
"puget sound",248
"south china sea",221
"r. negro basin",219
"volta r.",202
"r. amazonas basin; lago grande",190
"sagami nada",177
"r. amazonas basin; r. negro",174
"tasman sea",148
"san francisco bay",142
"tokyo wan",137
"gulf of thailand",127
"kii suido",116
"yaguas yacu",107
"lembeh strait",100
"bay of bengal",99
"zaire (congo) r. basin; zaire (congo) r.",97
"coral sea",96
"san quintin bay",96
"quebrada yaguas yacu",95
"r. orinoco",93
"tuye cano",91
"durban bay",88
"bahia san lucas",87
"drainage: r. orinoco",86
"r. amazonas basin; r. ampiyacu",85
"igarape do mai joana",83
"drainage: columbia r.",82
"r. cassiquiare basin",79
"gulf of panama",75
"gulf of manaar",74
"bay of callao",73
"orinoco r. basin; r. apure",73
"ntem r. basin; ntem r.",70
"lake victoria",69
"volta r. basin; volta r.",67
"r. negro",66
"koro sea",65
"pajaro river",65
"bight of biafra",62
"orinoco r. basin; r. atabapo",62
"san diego bay",62
"zaire (congo) r. system",62
"tano r.",61
"tarpon bay",59
"r. magdalena basin",56
"r. tocantins basin",54
"san francisquito creek",54
"r. amazonas basin; cano del chancho",53
"tsien tang r.",53
"drainage: sevier r.",52
"santa barbara channel",51
"tagus cove",51
"new castle bay",50
"osaka wan",49
"golfo de california",48
"lake george",47
"sulu sea/ mindanao sea",47
"zaire (congo) r.",47
"biwa ko",46
"coyote creek",46
"adriatic sea",44
"gulf of nicoya",44
"tista r. basin",43
"caribbean sea",41
"drainage: r. orinoco; r. casiquiare",40
"moreton bay",40
"tano r. basin; tano r.",40
"tsugaru kaikyo",40
"lake tahoe",38
"balayan bay",37
"malebo (stanley) pool",37
"essequibo r. basin; essequibo r.",36
"pebas cano",36
"spring creek",36
"bushman's bay",35
"drainage: mississippi",35
"r. guaviare basin",35
"shasta/klamath riv. junction",35
"drainage: provo r.",34
"drainage: r. orinoco; lago francisquinha",34
"galveston bay",34
"philippine sea",34
"r. amazonas basin; r. orteguaza",34
"r. ampiyacu basin; cano del chancho",34
"sea of japan",34
"ganges delta",32
"mirs bay",32
"pine island sound",32
"cedar river",31
"sea of okhotsk",31
"white volta r.",31
"eel river",30
"half moon bay",30
"murcielagos bay",30
"ntem r. basin",30
"sagami bay",30
"bahia magdalena",29
"sepik r. basin; sepik r.",29
"cano de quiribana",28
"drainage: rio orinoco",28
"mutsu wan",28
"nyong r.",28
"pansipit r.",28
"r. orinoco/guaviare basin",28
"utah lake",28
"tano r. basin; ankasa r.",27
"bahia honda",26
"cypress creek",26
"drainage: truckee r.",26
"golfo de nicoya",26
"lake lanao",26
"magdalena bay",26
"pine i. sound",26
"zaire r. system; malebo pool",26
"congo r. system; lobo r.",25
"drainage: missouri r.",25
"suruga wan",25
"tidepools",25
"bismarck sea",24
"cartago bay",24
"columbia river",24
"drainage: r. orinoco-guaviare",24
"essequibo r. basin; potaro r.",24
"gatun lake",24
"lokunje r. system; lokunje r.",24
"mill creek",24
"nipa swamp",24
"volga r.",24
"volta river",24
"banderas bay",23
"clear creek",23
"drainage: bear r.; bear lake",23
"essequibo r. basin",23
"estero de la majagua",23
"inland sea",23
"kabili r.",23
"lake papary",23
"nyong r. system; nyong r.",23
"r. casiquiare",23
"r. orteguaza",23
"xijiang r. basin",23
"gulf of alaska",22
"laguna de bay",22
"naknek lake",22
"pajaro r.",22
"poteau river",22
"r. amazonas basin; l. maica",22
"tsuruga wan",22
"bwanjo r.",21
"cedar keys",21
"chignik r.",21
"elkhorn slough",21
"essequibo r. basin; r. essequibo",21
"klamath r.",21
"kribi r.",21
"strait of juan de fuca",21
"tolo channel",21
"turtle bay",21
"unvaiye lagoon",21
"brisbane r.",20
"columbia r.",20
"ganges r.",20
"ise wan",20
"ntem r. system; mboto r.",20
"r. amazonas basin; igarape do mai joana",20
"white river",20
"academy bay",19
"drainage: r. orinoco; laguna la teja",19
"lobi r. basin; lobi r.",19
"maumee riv., & tribs.",19
"r. amazonas basin; rio ampiyacu",19
"r. orinoco basin",19
"sheonath r.",19
"white marsh swamp",19
"ahiri r.",18
"chikugo r.",18
"congo r. system",18
"drainage: ntem river",18
"eel r.",18
"lake chin chin",18
"lake huron",18
"lema channel",18
"lokunje river system; lokunje river",18
"mad r.",18
"mfiande river",18
"pyramid lake",18
"r. amazonas basin; l. grande",18
"r. amazonas basin; upper r. orteguaza",18
"salt creek",18
"suriname r. basin",18
"bear creek",17
"clear lake",17
"drainage: mink lake channel; buffalo lake",17
"green river",17
"lake erie",17
"lake superior",17
"nile r. drainage; lake albert",17
"ntem r. system",17
"ntem r. system; menyoo r.",17
"ntem r. system; mfiande r.",17
"r. plus",17
"roanoke river",17
"vote cr.",17
"yukon r.",17
"bear lake",16
"bodega lagoon",16
"congo (zaire) r. basin; congo (zaire) r.",16
"drainage: bight of biafra",16
"drainage: sacramento; american river",16
"estero de san pedrito",16
"gulf of tartary",16
"gulf of tehuantepec",16
"hai r. drainage; pei-ho r.",16
"klamath lake",16
"little river",16
"lobi r. system; lobi r.",16
"maumee r. & tribs.",16
"north fork american r.",16
"ntem r. system; mvase r.",16
"ohio river",16
"r. frio",16
"sandakan bay drainage; segaliud r.",16
"spring cr.",16
"st. lawrence r. basin; lamoille r.",16
"volta drainage; black volta r.",16
"copper r. basin",15
"drainage: bear r.",15
"drainage: lake baykal",15
"eagle lake",15
"ebunja r.",15
"illinois river",15
"kagoshima wan (bay)",15
"logone r. system",15
"mfiande r.",15
"molawin creek",15
"mouths of the ganges",15
"ntem r. system; ntem r.",15
"orinoco-guaviare drainage; r. losada",15
"pailolo channel",15
"panama bay",15
"r. malacatoya",15
"ragay gulf",15
