"Family","Count"
"Gobiidae",11238
"Cyprinidae",11114
"Labridae",7358
"Pomacentridae",7335
"Myctophidae",6718
"Apogonidae",6437
"Cottidae",5041
"Characidae",4728
"Serranidae",4568
"Carangidae",4271
"Blenniidae",3674
"Scorpaenidae",3579
"Chaetodontidae",2961
"Muraenidae",2944
"Cichlidae",2934
"Holocentridae",2839
"Acanthuridae",2783
"Salmonidae",2550
"Tetraodontidae",2252
"Syngnathidae",2184
"Sebastidae",2137
"Stomiidae",1943
"Clupeidae",1822
"Sciaenidae",1784
"Pleuronectidae",1751
"Macrouridae",1731
"Lutjanidae",1712
"Catostomidae",1539
"Mugilidae",1496
"Scaridae",1446
"Engraulidae",1414
"Mullidae",1412
"Haemulidae",1355
"Ophichthidae",1304
"Osmeridae",1297
"Sternoptychidae",1287
"Embiotocidae",1265
"Synodontidae",1263
"Paralichthyidae",1217
"Loricariidae",1205
"Gerreidae",1155
"Poeciliidae",1142
"Eleotridae",1140
"Exocoetidae",1097
"Balistidae",1061
"Melamphaidae",1018
"Atherinopsidae",979
"Gobiesocidae",973
"Stichaeidae",961
"Pomacanthidae",941
"Labrisomidae",940
"Cirrhitidae",912
"Centrarchidae",906
"Zoarcidae",895
"Hemiramphidae",868
"Nemipteridae",866
"Gonostomatidae",862
"Liparidae",854
"Ogcocephalidae",814
"Monacanthidae",784
"Percidae",770
"Cynoglossidae",746
"Bathylagidae",712
"Hexagrammidae",705
"Pseudochromidae",695
"Curimatidae",694
"Agonidae",687
"Callionymidae",681
"Clinidae",669
"Siganidae",664
"Atherinidae",659
"Gasterosteidae",649
"Batrachoididae",624
"Ophidiidae",623
"Bothidae",622
"Belonidae",618
"Serrasalmidae",603
"Pholidae",601
"Heptapteridae",591
"Triglidae",588
"Ariidae",580
"Bagridae",579
"Sparidae",570
"Anostomidae",559
"Tripterygiidae",539
"Ictaluridae",533
"Lethrinidae",528
"Scombridae",517
"Leiognathidae",515
"Bythitidae",512
"Kyphosidae",510
"Pimelodidae",506
"Cobitidae",505
"Rajidae",484
"Congridae",476
"Lebiasinidae",474
"Cyprinodontidae",464
"Ambassidae",455
"Antennariidae",443
"Paralepididae",433
"Soleidae",433
"Callichthyidae",425
"Platycephalidae",416
"Trichomycteridae",400
"Nototheniidae",391
"Osphronemidae",390
"Ostraciidae",387
"Sisoridae",386
"Fundulidae",383
"Phosichthyidae",377
"Polynemidae",375
"Goodeidae",373
"Alestidae",370
"Petromyzontidae",368
"Channidae",351
"Nemacheilidae",350
"Synanceiidae",350
"Mormyridae",348
"Sphyraenidae",347
"Gadidae",342
"Terapontidae",336
"Kuhliidae",325
"Pinguipedidae",325
"Priacanthidae",323
"Carcharhinidae",321
"Erythrinidae",321
"Chaenopsidae",317
"Doradidae",316
"Mastacembelidae",310
"Bryconidae",308
"Caesionidae",293
"Auchenipteridae",292
"Anguillidae",274
"Plesiopidae",271
"Achiridae",261
"Clariidae",260
"Fistulariidae",260
"Echeneidae",256
"Diodontidae",253
"Sternopygidae",250
"Siluridae",244
"Triakidae",241
"Zenarchopteridae",237
"Dasyatidae",234
"Rivulidae",231
"Gempylidae",225
"Mochokidae",222
"Triportheidae",220
"Moridae",218
"Moronidae",218
"Distichodontidae",215
"Alepocephalidae",210
"Iguanodectidae",205
"Crenuchidae",200
"Tetrarogidae",198
"Sillaginidae",195
"Uranoscopidae",194
"Albulidae",193
"Acestrorhynchidae",192
"Plotosidae",192
"Moringuidae",185
"Rhinobatidae",185
"Dactylopteridae",184
"Dactyloscopidae",183
"Microdesmidae",183
"Nothobranchiidae",179
"Pentanchidae",179
"Gasteropelecidae",175
"Synbranchidae",175
"Trichiuridae",175
"Ephippidae",173
"Prochilodontidae",171
"Peristediidae",170
"Pristigasteridae",162
"Anabantidae",160
"Chlorophthalmidae",160
"Hemiodontidae",159
"Stromateidae",158
"Schilbeidae",157
"Psychrolutidae",154
"Omosudidae",153
"Centropomidae",152
"Astroblepidae",149
"Myliobatidae",144
"Balitoridae",142
"Chlopsidae",142
"Zanclidae",142
"Carapidae",140
"Chimaeridae",138
"Merlucciidae",137
"Myxinidae",137
"Centriscidae",133
"Ammodytidae",132
"Malacanthidae",131
"Arhynchobatidae",130
"Ceratiidae",129
"Claroteidae",129
"Nomeidae",128
"Dussumieriidae",119
"Acropomatidae",117
"Adrianichthyidae",117
"Oneirodidae",114
"Scatophagidae",113
"Cyclopteridae",110
"Esocidae",109
"Hemitripteridae",109
"Acipenseridae",108
"Galaxiidae",108
"Pempheridae",107
"Lophiidae",105
"Chanidae",101
"Setarchidae",101
"Bregmacerotidae",100
"Alepisauridae",99
"Epigonidae",98
"Apteronotidae",97
"Narcinidae",97
"Squalidae",97
"Torpedinidae",97
"Gymnotidae",95
"Pangasiidae",95
"Scyliorhinidae",95
"Opistognathidae",92
"Chilodontidae",91
"Phallostethidae",91
"Percophidae",90
"Bathymasteridae",89
"Aspredinidae",88
"Argentinidae",87
"Etmopteridae",86
"Grammicolepididae",85
"Aplocheilidae",83
"Scomberesocidae",83
"Champsodontidae",82
"Gymnuridae",82
"Notopteridae",81
"Umbridae",81
"Aphredoderidae",80
"Sphyrnidae",80
"Urotrygonidae",80
"Amphiliidae",78
"Triacanthidae",78
"Percichthyidae",77
"Aploactinidae",76
"Lamnidae",76
"Chaunacidae",75
"Hoplichthyidae",75
"Toxotidae",75
"Elopidae",73
"Hypopomidae",73
"Coryphaenidae",72
"Cynodontidae",72
"Caproidae",71
"Apistidae",70
"Aulostomidae",70
"Parodontidae",70
"Megalopidae",68
"Muraenesocidae",68
"Cepolidae",65
"Melanotaeniidae",65
"Monodactylidae",64
"Neoscopelidae",64
"Triacanthodidae",64
"Pseudopimelodidae",63
"Scopelarchidae",62
"Anarhichadidae",61
"Hexanchidae",61
"Nemichthyidae",61
"Diceratiidae",60
"Melanonidae",60
"Heterodontidae",59
"Trachichthyidae",59
"Oreosomatidae",58
"Percopsidae",58
"Pristolepididae",58
"Hemiscylliidae",57
"Pegasidae",57
"Centrolophidae",55
"Synaphobranchidae",55
"Bramidae",54
"Branchiostomatidae",53
"Centrophoridae",53
"Ctenoluciidae",53
"Ipnopidae",53
"Samaridae",53
"Trachipteridae",53
"Zeidae",53
"Anomalopidae",52
"Creediidae",52
"Linophrynidae",51
"Nettastomatidae",51
"Cetopsidae",50
"Chiasmodontidae",49
"Evermannellidae",49
"Istiophoridae",49
"Drepaneidae",48
"Urolophidae",48
"Rhamphichthyidae",46
"Serrivomeridae",46
"Anablepidae",44
"Anoplopomatidae",44
"Halosauridae",44
"Trichodontidae",44
"Badidae",43
"Pomatomidae",43
"Phycidae",42
"Zeniontidae",41
"Cheilodactylidae",40
"Polymixiidae",40
"Potamotrygonidae",40
"Lotidae",39
"Salangidae",39
"Platytroctidae",38
"Protopteridae",37
"Anoplogastridae",36
