"dwc.scientificName","freq"
"Stenobrachius leucopsarus",1721
"Halichoeres",703
"Bathygobius soporator",678
"Chauliodus macouni",665
"ACANTHURIDAE",641
"GOBIIDAE",628
"Spirinchus thaleichthys",493
"SCARIDAE",454
"Apogon kallopterus",434
"Cottus asper",426
"Moenkhausia",406
"Hypomesus olidus",405
"Astyanax",402
"Oncorhynchus mykiss gairdnerii",393
"Rhinichthys osculus",384
"Diogenichthys laternatus",366
"Muraenidae",314
"Protomyctophum thompsoni",306
"Ptychocheilus grandis",305
"Oncorhynchus tshawytscha",302
"Sternoptyx diaphana",300
"Pomacentrus",298
"Oligocottus snyderi",293
"Cheilodipterus quinquelineatus",291
"Curimata",291
"Balistapus undulatus",288
"CICHLIDAE",283
"Chaetodon trifasciatus",277
"Thalassoma",273
"POMACENTRIDAE",271
"Caranx sexfasciatus",269
"MUGILIDAE",264
"Epinephelus merra",263
"Acanthurus triostegus",261
"Scorpaenichthys marmoratus",261
"Engraulis mordax",258
"Porichthys notatus",255
"Myripristis",254
"Ctenochaetus striatus",252
"Argyropelecus",249
"Pseudocheilinus hexataenia",247
"Stenobrachius nannochir",247
"Lepidogobius lepidus",242
"Cyclothone microdon",240
"Epibulus insidiator",237
"Apogon nigrofasciatus",236
"Gasterosteus aculeatus",236
"Lampanyctus pusillus",236
"Parophrys vetulus",234
"Apogon exostigma",233
"Chaetodon auriga",233
"Citharichthys stigmaeus",233
"Hyphessobrycon",229
"Chauliodus sloanei",228
"Labroides dimidiatus",227
"Neoniphon sammara",227
"Crenichthys baileyi",226
"Callogobius",225
"Dascyllus aruanus",224
"Eucyclogobius newberryi",223
"Fowleria isostigma",223
"Hesperoleucus symmetricus",222
"Paracirrhites arcatus",219
"Cymatogaster aggregata",218
"Artedius lateralis",217
"Pseudogramma polyacantha",217
"Chauliodus danae",213
"Clinocottus analis",211
"Cyclothone signata",211
"Richardsonius egregius",210
"Selar crumenophthalmus",210
"Tarletonbeania crenulare",209
"Stegastes nigricans",208
"Hexagrammos decagrammus",207
"Abudefduf saxatilis",204
"CARANGIDAE",202
"Melamphaes microps",202
"Apogon erythrinus",200
"Oligocottus maculosus",200
"Gibbonsia metzi",198
"Halichoeres trimaculatus",197
"Stethojulis bandanensis",197
"Magnisudis atlantica",196
"Leuroglossus stilbius",195
"Saurida gracilis",195
"Ceratoscopelus warmingii",194
"Morone saxatilis",192
"Parupeneus multifasciatus",192
"Catostomus occidentalis",190
"Apogon",189
"Trematomus bernacchii",189
"Sargocentron spiniferum",188
"Synodus variegatus",186
"Hemigrammus",183
"Cephalopholis argus",181
"Amblygobius",180
"Hyporhamphus unifasciatus",180
"Sebastes",177
"Sargocentron diadema",176
"Melamphaes",174
"Paracirrhites forsteri",174
"Nectamia savayensis",171
"Dascyllus reticulatus",170
"Leiognathidae",167
"Chaetodon citrinellus",166
"Chaetodon ephippium",165
"Rasbora",165
"Acanthurus lineatus",160
"Hoplias malabaricus",160
"Pterois antennata",160
"Albula vulpes",159
"Chaetodon vagabundus",159
"Leptocottus armatus armatus",159
"Notolychnus valdiviae",159
"Acanthurus nigrofuscus",158
"Hesperoleucus symmetricus venustus",158
"Argyropelecus hemigymnus",157
"Nectamia fusca",157
"Gonichthys cocco",155
"Sargocentron microstoma",154
"Lavinia exilicauda",153
"MURAENIDAE",153
"Catostomus",151
"Cyclothone acclinidens",151
"Amblyglyphidodon curacao",150
"Gasterosteus aculeatus microcephalus",150
"Apodichthys flavidus",149
"Oncorhynchus kisutch",149
"Thalassoma hardwicke",149
"Clinocottus globiceps",148
