"Continent","Count"
"usa",44047
"phl",14214
"mex",12242
"plw",10873
"bra",8166
"tha",7711
"fji",7295
"bmu",6507
"ecu",4214
"chn",4160
"jpn",3824
"per",3797
"ven",3046
"ind",2505
"pan",2455
"idn",2398
"pyf",2316
"col",2177
"mys",1800
"cri",1703
"png",1654
"aus",1560
"cmr",1559
"twn",1396
"guy",1379
"mmr",1374
"gha",1276
"gum",1171
"mhl",1127
"vnm",956
"slb",910
"ago",902
"sgp",859
"com",762
"sau",751
"cub",674
"asm",650
"can",645
"lka",640
"cod",616
"chl",534
"pri",484
"mnp",466
"ita",449
"bol",440
"stp",417
"wsm",377
"npl",354
"vut",348
"ncl",345
"nic",334
"khm",331
"pry",324
"mdv",319
"kir",308
"zaf",307
"jam",300
"arg",291
"syc",281
"cok",247
"gtm",239
"sur",233
"bgd",201
"uga",201
"hnd",183
"omn",174
"nzl",170
"pak",170
"kor",166
"brb",162
"fra",157
"rou",150
"guf",146
"tto",144
"sen",134
"esp",129
"bhs",128
"gin",110
"isr",107
"moz",107
"gnb",105
"ken",103
"yem",94
"ata",93
"slv",89
"gbr",84
"mdg",84
"egy",76
"dji",69
"tza",63
"atg",60
"gab",56
"lca",56
"nga",54
"deu",52
"hti",50
"som",50
"nor",42
"grl",41
"ton",40
"grc",38
"prk",34
"lbr",33
"swe",32
"mrt",30
"ury",30
"blz",27
"caf",26
"sle",26
"mus",25
"gnq",23
"prt",23
"pcn",21
"bwa",18
"dom",18
"mar",17
"bhr",15
"dma",14
"lbn",14
"irn",13
"eri",12
"sdn",11
"zwe",11
"hrv",10
"cym",9
"kna",9
"tur",9
"gmb",8
"mng",8
"mwi",8
"niu",8
"wlf",7
"glp",6
"iot",6
"vct",6
"bdi",5
"mli",5
"zmb",5
"dnk",4
"isl",4
"sgs",4
"svn",4
"grd",3
"mco",3
"mkd",3
"tuv",3
"bgr",2
"btn",2
"cze",2
"nam",2
"syr",2
"tls",2
"abw",1
"afg",1
"are",1
"cpv",1
"dza",1
"eth",1
"flk",1
"gib",1
"jor",1
"mlt",1
"mne",1
"msr",1
"mtq",1
"nld",1
"svk",1
"tca",1
"tkl",1
"ukr",1
