"Family","Count"
"cyprinidae",75
"centrarchidae",45
"cottidae",42
"salmonidae",25
"catostomidae",18
"embiotocidae",17
"cyprinodontidae",14
"ictaluridae",14
"atherinopsidae",13
"clupeidae",12
"poeciliidae",11
"percidae",8
"gobiidae",7
"sebastidae",6
"petromyzontidae",5
"pholidae",5
"pleuronectidae",5
"fundulidae",4
"hexagrammidae",4
"moronidae",4
"osmeridae",4
"paralichthyidae",4
"sciaenidae",4
"triakidae",4
"echeneidae",3
"engraulidae",3
"gasterosteidae",3
"gobiesocidae",3
"lepisosteidae",3
"stichaeidae",3
"syngnathidae",3
"acipenseridae",2
"aphredoderidae",2
"batrachoididae",2
"carangidae",2
"esocidae",2
"hemiramphidae",2
"liparidae",2
"myxinidae",2
"stomiidae",2
"ammodytidae",1
"arhynchobatidae",1
"belonidae",1
"callichthyidae",1
"chimaeridae",1
"cynoglossidae",1
"elassomatidae",1
"haemulidae",1
"hemitripteridae",1
"mugilidae",1
"myliobatidae",1
"rhinobatidae",1
"scorpaenidae",1
"serranidae",1
"sparidae",1
"sphyrnidae",1
"squalidae",1
"trichiuridae",1
"zoarcidae",1
