"dwc.scientificName","freq"
"Cottus gulosus",12
"Oncorhynchus mykiss",12
"Micropterus dolomieu",11
"Ptychocheilus ptychocheilusgrandis",11
"Cyprinodon nevadensis mionectes",9
"Lepomis macrochirus",9
"Rhinichthys rhinichthysosculus",9
"Gambusia affinis",8
"Lavinia exilicauda",8
"Lepomis cyanellus",8
"Leptocottus armatus",6
"Mylopharodon conocephalus",6
"Ameiurus catus",5
"Apodichthys flavidus",5
"Catostomus occidentalis occidentalis",5
"Catostomus tahoensis",5
"Hysterocarpus traskii traskii",5
"Acanthogobius flavimanus",4
"Alosa sapidissima",4
"Atherinops affinis",4
"Cyprinidae",4
"Micropterus salmoides",4
"Morone saxatilis",4
"Orthodon microlepidotus",4
"Parophrys vetulus",4
"Richardsonius egregius",4
"Salvelinus fontinalis",4
"Atherinopsis californiensis",3
"Citharichthys stigmaeus",3
"Cottus asper",3
"Cottus beldingii",3
"Cymatogaster aggregata",3
"Cyprinus carpio carpio",3
"Dorosoma petenense",3
"Engraulis mordax",3
"Etheostoma nigrum",3
"Gobiesox maeandricus",3
"Hexagrammos hexagrammosdecagrammus",3
"Labidesthes sicculus",3
"Oligocottus maculosus",3
"Petromyzontidae",3
"Pomoxis nigromaculatus",3
"Salmo trutta",3
"Scorpaenichthys marmoratus",3
"Syngnathus leptorhynchus",3
"Acipenser transmontanus",2
"Ameiurus melas",2
"Ameiurus nebulosus",2
"Aphredoderus sayanus",2
"Archoplites interruptus",2
"Clevelandia ios",2
"Clupea pallasii pallasii",2
"Cottus aleuticus",2
"Dorosoma cepedianum",2
"Enophrys bison",2
"Eptatretus stoutii",2
"Gasterosteus aculeatus",2
"Hesperoleucus symmetricus",2
"Hyperprosopon argenteum",2
"Hypomesus transpacificus",2
"Hypsurus caryi",2
"Ictalurus punctatus",2
"Lepisosteus platyrhincus",2
"Lepomis gulosus",2
"Liparis florae",2
"Menidia beryllina",2
"Mustelus henlei",2
"Notemigonus crysoleucas",2
"Noturus miurus",2
"Pimephales notatus",2
"Prosopium williamsoni",2
"Remora remora",2
"Sebastes auriculatus",2
"Sebastes goodei",2
"Spirinchus thaleichthys",2
"Triakis semifasciata",2
"Adinia xenica",1
"Ameiurus serracanthus",1
"Ammodytes hexapterus",1
"Amphistichus argenteus",1
"Anoplarchus purpurescens",1
"Aplodinotus grunniens",1
"Artedius lateralis",1
"Ascelichthys ascelichthysrhodorus",1
"Bairdiella chrysoura",1
"Bathyraja truchura",1
"Blepsias cirrhosus",1
"Campostoma anomalum",1
"Caranx caballus",1
"Carpiodes cyprinus",1
"Carpiodes velifer",1
"Catostomus commersonii",1
"Cebidichthys violaceus",1
"Centropristis striata",1
"Chauliodus macouni",1
"Citharichthys sordidus",1
"Clinocottus clinocottusanalis",1
"Clinocottus embryum",1
"Clinocottus globiceps",1
"Cottus asperrimus",1
"Cottus pitensis",1
"Culaea inconstans",1
"Cyprinella spiloptera",1
"Cyprinodon diabolis",1
"Cyprinodon macularius",1
"Cyprinodon salinus salinus",1
"Cyprinodon variegatus variegatus",1
"Elassoma zonatum",1
"Embiotoca lateralis",1
"Erimyzon oblongus",1
"Esox americanus americanus",1
"Esox lucius",1
"Etheostoma caeruleum",1
"Etheostoma chlorosomum",1
"Etheostoma flaballare",1
"Etheostoma fusiforme",1
"Fundulus grandis",1
"Fundulus notatus",1
"Fundulus similis",1
"Genyonemus genyonemuslineatus",1
"Haemulon californiensis",1
"Harengula thrissina",1
"Hemiramphus hemiramphussaltator",1
"Heterandria formosa",1
"Hoplosternum littorale",1
"Hybognathus nuchalis",1
"Hydrolagus colliei",1
"Hypentelium nigricans",1
"Hyporhamphus rosae",1
"Hysterocarpus traskii",1
"Jordanella floridae",1
"Lagodon rhomboides",1
"Lampetra ayresii",1
"Lampetra richardsoni",1
"Lepidogobius lepidus",1
"Lepisosteus osseus",1
"Lepomis auritus",1
"Lepomis gibbosus",1
"Lepomis punctatus",1
"Leuresthes tenuis",1
"Luxilus cornutus",1
"Lycodes cortezianus",1
"Lythrurus lythrurusumbratilis",1
"Lythrurus umbratilis",1
"Macrhybopsis storeriana",1
"Micrometrus aurora",1
"Micropterus coosae",1
"Micropterus punctulatus",1
"Moxostoma anisurum",1
"Moxostoma breviceps",1
"Moxostoma erythrurum",1
"Mugil cephalus",1
"Myliobatis californica",1
"Notropis blennius",1
"Notropis dorsalis",1
"Notropis harperi",1
"Notropis notropisatherinoides",1
"Notropis stramineus",1
"Notropis volucellus",1
"Oligocottus snyderi",1
"Oncorhynchus aguabonita",1
"Oncorhynchus kisutch",1
"Oncorhynchus oncorhynchustshawytscha",1
"Ophiodon ophiodonelongatus",1
"Opsanus beta",1
"Percina caprodes",1
"Phenacobius phenacobiusmirabilis",1
"Pimephales promelas",1
"Pimephales promelas rafinesque",1
"Platichthys stellatus",1
"Platyrhinoidis triseriata",1
"Poecilia latipinna",1
"Poeciliopsis gracilis",1
"Pogonichthys macrolepidotus",1
"Pomoxis annularis",1
"Porichthys notatus",1
"Prosopium coulterii",1
"Remora osteochir",1
"Rhacochilus vacca",1
"Rhinichthys rhinichthysatratulus",1
"Sciaenops ocellatus",1
"Scorpaena scorpaenaguttata",1
"Sebastes melanops",1
"Sebastes mystinus",1
"Semotilus semotilusatromaculatus",1
"Siphateles bicolor pectinifer",1
"Sphyrna zygaena",1
"Squalus acanthias",1
"Strongylura exilis",1
"Symphurus atricaudus",1
"Tactostoma macropus",1
"Trachinotus rhodopus",1
"Trichiurus lepturus",1
"Xiphister atropurpureus",1
