"Collector","Count"
"a",33533
"timothy",24261
"barksdale",21986
"b",14078
"j",13567
"paul",11852
"h",11796
"r",11730
"david",11305
"w",11280
"thomas",11094
"iii",10789
"parker",10787
"theodore",10787
"s",10700
"m",10576
"robbins",9205
"mark",9107
"l",9001
"f",8624
"c",7740
"van",6882
"g",6653
"william",6589
"schwartz",6356
"walker",6089
"o",6076
"linda",5902
"macaulay",5815
"curtis",5588
"marantz",5588
"brown",5259
"d",4992
"benjamin",4781
"davis",4541
"robert",4373
"clock",3960
"berg",3938
"e",3934
"arnoud",3876
"den",3876
"gregory",3758
"jay",3592
"gunn",3385
"mcgowan",3350
"michael",3190
"larry",3160
"arbanas",3158
"eric",2968
"jr",2917
"geoffrey",2866
"keller",2866
"liner",2678
"i",2671
"schulenberg",2666
"k",2612
"carl",2596
"gerhardt",2589
"ross",2540
"peter",2478
"edwin",2440
"scholes",2440
"richard",2238
"matthew",2123
"john",2113
"stein",2108
"hershberger",2058
"wilbur",2058
"bob",2043
"mcguire",2043
"budney",2030
"jennifer",2002
"horne",2001
"ben",1987
"charles",1987
"de",1983
"king",1944
"andersen",1934
"pratt",1879
"little",1830
"randolph",1830
"plooij",1820
"rijt",1820
"laman",1803
"p",1750
"films",1749
"galatee",1749
"juan",1730
"moyer",1692
"griffith",1687
"finch",1668
"areta",1651
"douglas",1638
"irby",1630
"bennett",1618
"hennessey",1574
"medler",1574
"brian",1500
"donahue",1495
"daniel",1475
"justin",1372
"coopmans",1299
"duncan",1257
"lane",1220
"hite",1194
"ralph",1156
"bishop",1151
"hosner",1150
"mundinger",1129
"allen",1081
"bierregaard",1080
"o'shea",1073
"donald",1048
"heinz",1039
"remold",1039
"belton",1027
"isler",1027
"leonard",1015
"peyton",1015
"roger",1013
"myles",1008
"north",1008
"krzysztof",1002
"zyskowski",1002
"duellman",981
"mary",981
"arthur",970
"n",967
"morton",916
"keith",914
"stuart",914
"scott",911
"winn",848
"expeditions",844
"ngs",844
"npr",844
"radio",844
"love",816
"gerrit",806
"vyn",806
"harvey",796
"kadur",781
"sandesh",781
"spooner",753
"perkins",732
"connop",721
"jeffrey",720
"ilse",718
"opzeeland",718
"ewert",715
"mcneill",713
"kaestner",703
"steven",703
"glenn",698
"lewis",694
"kibler",692
"phyllis",675
"laurel",665
"symes",665
"decicco",662
"lucas",662
"bolsinger",659
"hilty",626
"walter",622
"thurber",615
"seeholzer",611
"t",604
"bowman",598
"fish",594
"lucienne",586
"wilmé",586
"waser",573
"kevin",566
"eugene",564
"imberti",556
"santiago",556
"johnson",544
"barve",542
"sahas",542
"andrew",531
"lanyon",504
"cedar",503
"mathers",503
"kerr",501
"sander",498
"ward",496
"wesley",487
"v",486
"alberto",477
"madroño",477
"burr",466
"dale",457
"severinghaus",452
"christin",447
"khan",447
"jon",445
"herr",444
"nathan",433
"mcchesney",432
"simmers",432
"kellogg",431
"dolly",426
"minis",426
"kennedy",422
"sarver",415
"luke",413
"mack",410
"marian",407
"hoyer",396
"erickson",394
"pieplow",393
"taylor",392
"sue",388
"margery",387
"plymire",387
"james",358
"seitz",356
"marie",352
"howard",348
"alvarez",347
"mauricio",347
"katz",341
"nelson",341
"sheldon",341
"emma",337
"sarah",334
"greig",333
"cullen",332
"hanks",332
"nathaniel",332
"martha",331
"batcheller",327
"hope",327
"sullivan",324
"thane",320
"fitzpatrick",317
"fischer",315
"warren",315
"márcio",310
"repenning",310
"brockelman",309
"lammertink",309
"martjan",309
"orzechowski",309
"sophie",309
"y",309
"george",307
"nigel",303
"tucker",303
"freeman",299
"sutherland",298
"bradley",292
"borgmann",290
"kathi",290
"zimmerman",288
"reynard",284
"halkin",272
"sylvia",272
"ryan",267
"oliver",264
"carolyn",262
"mcbride",262
"hewitt",254
"ljungblad",249
"barlow",248
"poulter",245
"barry",241
"jessie",241
"mittermeier",232
"shah",232
"shailee",232
"andres",230
"charters",230
"sada",230
"jeanette",223
"amram",222
"benson",222
"julian",222
"christian",221
"voigt",221
"depino",219
"emiliano",219
"sherman",214
"cohn",212
"haft",212
"mario",212
"ronald",209
"bruce",208
"doren",208
"fred",207
"pegan",207
"teresa",207
"kim",206
"dustin",205
"huntington",205
"gulledge",201
"barbara",200
"colver",200
"ian",199
"zimmer",198
"spencer",197
"baltz",196
"cynthia",195
"kagarise",195
"mccartt",193
"winger",190
"priori",184
"chandler",182
"wall",180
"sampath",178
"seneviratne",178
"alexandra",175
"class",175
"gulson",175
"apaza",173
"cáceres",173
"delaney",173
"loetscher",173
"philip",172
"quillen",169
"vidoz",169
"moore",167
"hank",164
"lentfer",164
"andrea",163
"olmstead",162
"josué",161
"león",161
"lux",161
"odías",161
"sinclair",161
"beehler",159
"judge",159
"luis",159
"victor",158
"carey",157
"geoff",157
"bencke",156
"glayson",156
"rowlett",156
"ann",155
"jeremy",155
"minns",155
"rose",155
"macdonald",154
"edward",152
"emanuel",149
"gary",146
"burner",145
"alexandre",144
"aleixo",143
"padovan",143
"o'neill",142
"rodewald",142
"monahan",141
"parijs",140
"sofie",140
"forrest",138
"taft",135
"tom",134
"stephenson",133
"waide",133
"hsu",132
"stouffer",132
"wayne",132
"andrés",131
"bret",131
"cuervo",131
"holzmann",131
"ingrid",131
"whitney",131
"colón",130
"josé",130
"lópez",130
"angulo",128
"fernando",128
"ignacio",127
"roesler",127
"barrientos",125
"evan",125
"henri",124
"ouellet",124
"barker",123
"harriette",123
"mcdonald",123
"victoria",123
"alejandro",121
"bodrati",121
"terrill",121
"chalkowski",120
"kayleigh",120
"virginia",119
"snow",118
"guy",116
"rosenberg",116
"schassburger",116
"schuetz",116
"mitani",112
"lucia",111
"cox",110
"samuel",110
"laura",109
"thompson",109
"erik",107
"rodman",106
"osinubi",105
