"Country","Count"
"united states",74348
"peru",14424
"brazil",12151
"venezuela",10684
"ecuador",7493
"canada",6442
"costa rica",5381
"mexico",4856
"malaysia",4804
"bolivia",4301
"argentina",4174
"kenya",3988
"indonesia",3900
"papua new guinea",3649
"tanzania",3605
"guyana",3485
"australia",3175
"madagascar",2565
"cuba",2449
"panama",2421
"india",2235
"vietnam",1580
"paraguay",1462
"colombia",1411
"thailand",1178
"suriname",1055
"el salvador",943
"philippines",838
"jamaica",796
"puerto rico",771
"nepal",769
"ghana",733
"antarctica",706
"congo, the democratic republic of the",673
"uganda",638
"mauritius",630
"united kingdom",610
"dominican republic",604
"sri lanka",590
"belize",589
"china",575
"south africa",544
"new zealand",531
"bhutan",516
"taiwan",507
"ethiopia",452
"guatemala",445
"trinidad and tobago",439
"chile",408
"solomon islands",387
"fiji",361
"france",354
"palau",310
"federated states of micronesia",304
"iceland",290
"morocco",286
"bahamas",279
"bermuda",270
"netherlands",269
"gabon",249
"seychelles",244
"japan",239
"namibia",231
"norway",229
"south georgia and the south sandwich islands",227
"zambia",224
"falkland islands",207
"côte d'ivoire",200
"pakistan",183
"cameroon",173
"saint lucia",173
"liberia",166
"samoa",164
"sierra leone",156
"zimbabwe",155
"uruguay",152
"réunion",151
"spain",146
"honduras",140
"nicaragua",138
"vanuatu",135
"malawi",130
"djibouti",127
"turkey",124
"northern mariana islands",114
"ireland",108
"nigeria",106
"saudi arabia",99
"united states minor outlying islands",98
"kiribati",97
"sao tome and principe",97
"senegal",97
"american samoa",95
"haiti",87
"greece",84
"finland",78
"cayman islands",75
"myanmar",74
"dominica",73
"guam",71
"saint vincent and the grenadines",67
"poland",65
"oman",60
"rwanda",56
"mongolia",43
"new caledonia",42
"montserrat",41
"saint helena, ascension and tristan da cunha",41
"russia",38
"aruba",33
"virgin islands, u.s.",33
"grenada",32
"sweden",32
"germany",29
"switzerland",28
"hong kong",26
"botswana",24
"singapore",24
"swaziland",22
"anguilla",20
"central african republic",20
"denmark",20
"lesotho",20
"norfolk island",20
"mali",18
"angola",15
"belgium",15
"cambodia",15
"antigua and barbuda",14
"cook islands",12
"egypt",10
"tonga",10
"british virgin islands",7
"israel",7
"italy",7
"syria",7
"burundi",6
"martinique",6
"saint kitts and nevis",6
"equatorial guinea",5
"algeria",4
"gambia",4
"jordan",4
"french polynesia",3
"guadeloupe",3
"nauru",3
"comoros",2
"curaçao",2
"ukraine",2
"congo",1
"mozambique",1
"pitcairn",1
"svalbard and jan mayen",1
