"Family","Count"
"tyrannidae",12146
"emberizidae",11311
"parulidae",9627
"thamnophilidae",6906
"furnariidae",6473
"turdidae",5028
"anatidae",4832
"icteridae",4646
"picidae",4553
"sylviidae",4486
"troglodytidae",4478
"scolopacidae",4457
"thraupidae",4445
"fringillidae",4226
"psittacidae",3983
"laridae",3968
"hylidae",3647
"gryllidae",3580
"strigidae",3534
"paradisaeidae",3341
"tettigoniidae",3012
"corvidae",3010
"cardinalidae",2947
"columbidae",2812
"accipitridae",2520
"trochilidae",2478
"vireonidae",2444
"ramphastidae",2193
"hominidae",2150
"cuculidae",2078
"muscicapidae",2026
"formicariidae",1925
"phasianidae",1890
"ardeidae",1799
"phocidae",1793
"cotingidae",1761
"pycnonotidae",1562
"falconidae",1530
"trogonidae",1471
"paridae",1413
"rallidae",1405
"mimidae",1386
"caprimulgidae",1237
"oecanthidae",1213
"charadriidae",1205
"hirundinidae",1190
"rhinocryptidae",1092
"pipridae",1041
"alcidae",1025
"cisticolidae",968
"cracidae",918
"tinamidae",912
"sciuridae",857
"delphinidae",834
"alcedinidae",807
"nectariniidae",779
"meliphagidae",776
"mogoplistidae",752
"monarchidae",725
"cercopithecidae",699
"sturnidae",680
"spheniscidae",662
"podicipedidae",653
"odontophoridae",625
"zosteropidae",612
"bufonidae",610
"malaconotidae",584
"balaenopteridae",563
"pardalotidae",550
"canidae",544
"threskiornithidae",537
"gruidae",517
"sittidae",500
"pittidae",495
"bucerotidae",491
"gaviidae",483
"diomedeidae",474
"apodidae",468
"dicruridae",465
"polioptilidae",458
"certhiidae",441
"procellariidae",438
"alaudidae",433
"bucconidae",428
"sulidae",414
"motacillidae",407
"recurvirostridae",407
"elapidae",387
"ursidae",381
"atelidae",378
"campephagidae",375
"syrphidae",372
"eurylaimidae",363
"cervidae",358
"otariidae",354
"indicatoridae",352
"momotidae",352
"phalacrocoracidae",349
"rhipiduridae",335
"ploceidae",329
"stercorariidae",325
"regulidae",322
"galbulidae",310
"bovidae",309
"oriolidae",291
"hylobatidae",290
"ranidae",290
"pelecanidae",284
"petroicidae",282
"holocentridae",276
"estrildidae",269
"vangidae",255
"cathartidae",240
"coerebidae",240
"passeridae",238
"sciaenidae",235
"maluridae",232
"libellulidae",231
"monodontidae",225
"bombycillidae",217
"meropidae",211
"laniidae",207
"dendrobatidae",206
"dicaeidae",202
"hydrobatidae",195
"gryllotalpidae",193
"ptilonorhynchidae",186
"nyctibiidae",183
"musophagidae",182
"platysteiridae",174
"cicadellidae",159
"eleutherodactylidae",158
"balaenidae",153
"serranidae",152
"irenidae",150
"chaetodontidae",148
"haematopodidae",146
"pomacentridae",143
"cricetidae",139
"phoenicopteridae",136
"todidae",136
"polychrotidae",130
"pandionidae",129
"lemuridae",128
"conopophagidae",125
"jacanidae",124
"felidae",119
"cinclidae",118
"ptilogonatidae",118
"mustelidae",117
"leiothrichidae",116
"colubridae",114
"phaethontidae",111
"cebidae",108
"apidae",107
"fregatidae",107
"ciconiidae",106
"acanthuridae",105
"anhingidae",104
"cracticidae",104
"eupetidae",104
"indridae",104
"podargidae",102
"callitrichidae",100
"emballonuridae",100
"otididae",100
"cicadidae",98
"coraciidae",98
"timaliidae",96
"pitheciidae",93
"haemulidae",92
"viperidae",91
"physeteridae",88
"aramidae",81
"megapodiidae",81
"vespertilionidae",79
"burhinidae",75
"tytonidae",75
"agamidae",74
"opisthocomidae",74
"acanthizidae",72
"leptodactylidae",72
"lutjanidae",72
"batrachoididae",71
"aegithalidae",70
"cheloniidae",70
"labridae",70
"anhimidae",69
"pachycephalidae",69
"leiuperidae",68
"remizidae",68
"tetraodontidae",68
"emydidae",67
"procyonidae",66
"antilocapridae",63
"balistidae",63
"testudinidae",63
"pomacanthidae",60
"nymphalidae",58
"pteroclididae",58
"pteropodidae",58
"phoeniculidae",57
"echimyidae",56
"iguanidae",55
"aeshnidae",54
"phrynichidae",54
"bernieridae",53
"muraenidae",52
"aegithinidae",51
"carangidae",51
"scaridae",51
"microhylidae",50
"upupidae",50
"numididae",48
"psophiidae",46
"mesitornithidae",45
"gekkonidae",43
"alligatoridae",42
"monacanthidae",42
"mullidae",42
"peucedramidae",41
"prunellidae",41
"viduidae",41
"eurypygidae",40
"rhacophoridae",40
"hesperiidae",39
"leptosomidae",39
"anseranatidae",37
"boidae",37
"centrolenidae",37
"artamidae",36
"brachypteraciidae",36
"carcharhinidae",36
"elephantidae",36
"tropiduridae",36
"hemiprocnidae",35
"procaviidae",35
"scorpaenidae",35
"suidae",35
"ostraciidae",34
"strabomantidae",34
"cariamidae",33
"menuridae",33
"callaeatidae",32
"castoridae",32
"chelydridae",32
"tayassuidae",32
"caviidae",31
"hemiphractidae",31
"diodontidae",29
"galagidae",29
"glareolidae",29
"rhincodontidae",29
"climacteridae",28
"formicidae",28
"salmonidae",28
"aotidae",27
"arctiidae",27
"equidae",27
"leporidae",26
"thinocoridae",26
"hyperoodontidae",25
"macropodidae",23
"philepittidae",23
"aulostomidae",22
"chionidae",22
"hyperoliidae",22
"syngnathidae",22
"dasyatidae",21
"erethizontidae",21
"gobiidae",21
"gomphidae",21
"mephitidae",21
"paramythiidae",21
"priacanthidae",21
"steatornithidae",21
"caesionidae",20
"ephippidae",20
"ocypodidae",20
"sphyraenidae",20
"trigonidiidae",20
"varanidae",20
"ariidae",19
"phrynidae",19
"scaphiopodidae",19
"cyprinidae",18
"dulidae",18
"scincidae",18
"scopidae",18
"eschrichtiidae",17
"hylodidae",17
"odobenidae",17
"phyllostomidae",17
"pomatostomidae",17
"rheidae",17
"sepiidae",17
"aegothelidae",16
"corcoracidae",16
"eneopteridae",16
"grapsidae",16
"heliornithidae",16
"lycaenidae",16
"myobatrachidae",16
"neosittidae",16
"salamandridae",16
"turnicidae",16
"apogonidae",15
"centrarchidae",15
"cirrhitidae",15
"coliidae",15
"dicroglossidae",15
"genera incertae sedis",15
"machaerirhynchidae",15
"sapayoaidae",15
"araneidae",14
"lethrinidae",14
"megaladapidae",14
"mormoopidae",14
"culicidae",13
"hippopotamidae",13
"melanocharitidae",13
"atyidae",12
"coccinellidae",12
"lestidae",12
"ochotonidae",12
"orectolobidae",12
"orthonychidae",12
"phrynosomatidae",12
"thamnophalidae",12
"trichechidae",12
"vespidae",12
"chromodorididae",11
"eumenidae",11
"herpestidae",11
"limulidae",11
"palinuridae",11
"sparidae",11
"blenniidae",10
"cerambycidae",10
"cichlidae",10
"cnemophilidae",10
"ginglymostomatidae",10
"gymnodorididae",10
"helminthoglyptidae",10
"mobulidae",10
"papilionidae",10
"pieridae",10
"tropidophiidae",10
"zanclidae",10
"casuariidae",9
"clupeidae",9
"crabronidae",9
"giraffidae",9
"molossidae",9
"myrmeleontidae",9
"stenopodidae",9
"synodontidae",9
"acrididae",8
"fistulariidae",8
"gecarcinidae",8
"gerreidae",8
"phalangeridae",8
"phocoenidae",8
"sirenidae",8
"tupaiidae",8
"ceratobatrachidae",7
"cheirogaleidae",7
"coenagrionidae",7
"dasyproctidae",7
"microdesmidae",7
"viverridae",7
"acanthisittidae",6
"anguillidae",6
"corduliidae",6
"dasyuridae",6
"iniidae",6
"loricariidae",6
"octopodidae",6
"ophichthidae",6
"pellorneidae",6
"phrynobatrachidae",6
"sagittariidae",6
"sphingidae",6
"struthionidae",6
"trionychidae",6
"allophrynidae",5
"aromobatidae",5
"batrachylidae",5
"bothidae",5
"bradypodidae",5
"bucorvidae",5
"dactylopteridae",5
"dasypodidae",5
"embiotocidae",5
"gerridae",5
"hexabranchidae",5
"hydrophiidae",5
"lepisosteidae",5
"malacanthidae",5
"mastigiidae",5
"myliobatidae",5
"ogcocephalidae",5
"ptychadenidae",5
"rhynochetidae",5
"tapiridae",5
"theraphosidae",5
"triglidae",5
"acanthasteridae",4
"albulidae",4
"alpheidae",4
"apterygidae",4
"atrichornithidae",4
"camelidae",4
"capitonidae",4
"crocodylidae",4
"ctenomyidae",4
"gadidae",4
"ictaluridae",4
"loliginidae",4
"macrosphenidae",4
"membracidae",4
"myrmecophagidae",4
"natalidae",4
"pelagiidae",4
"pinguipedidae",4
"rhinophrynidae",4
"saturniidae",4
"stromateidae",4
"anoplopomatidae",3
"asilidae",3
"aspredinidae",3
"balaenicipitidae",3
"brachycephalidae",3
"doradidae",3
"echinometridae",3
"erotylidae",3
"eupleridae",3
"grammatidae",3
"gyrinidae",3
"hypocolidae",3
"inachidae",3
"kyphosidae",3
"mochokidae",3
"noctuidae",3
"paralichthyidae",3
"phalangopsidae",3
"phascolarctidae",3
"plakobranchidae",3
"pseudochromidae",3
"pyxicephalidae",3
"rhinopteridae",3
"romaleidae",3
"scarabaeidae",3
"scathophagidae",3
"scombridae",3
"siganidae",3
"synaptidae",3
"teiidae",3
"antennariidae",2
"arthroleptidae",2
"buthidae",2
"cacatuidae",2
"callionymidae",2
"chinchillidae",2
"congridae",2
"cottidae",2
"dromadidae",2
"erinaceidae",2
"fundulidae",2
"heptapteridae",2
"heteromyidae",2
"hyaenidae",2
"lycosidae",2
"malapteruridae",2
"megalaimidae",2
"megalopidae",2
"pempheridae",2
"petauridae",2
"picathartidae",2
"platycephalidae",2
"poeciliidae",2
"rhinocerotidae",2
"salpidae",2
"sebastidae",2
"simuliidae",2
"solenostomidae",2
"squalidae",2
"stichopodidae",2
"tarsiidae",2
"turbinidae",2
"urolophidae",2
"xanthidae",2
"acrocephalidae",1
"adrianichthyidae",1
"aglajidae",1
"alytidae",1
"arionidae",1
"asteriidae",1
"bagridae",1
"barentsiidae",1
"belonidae",1
"bombyliidae",1
"calappidae",1
"calyptocephalellidae",1
"cardiidae",1
"centropomidae",1
"chanidae",1
"characidae",1
"chironomidae",1
"chloropseidae",1
"cuniculidae",1
"derbidae",1
"didelphidae",1
"diplodactylidae",1
"flabellinidae",1
"gasterosteidae",1
"haemadipsidae",1
"hemiscylliidae",1
"holothuriidae",1
"ichneumonidae",1
"kentrodorididae",1
"lepidosirenidae",1
"limnodynastidae",1
"lumbricidae",1
"megophryidae",1
"meloidae",1
"merlucciidae",1
"mormyridae",1
"moronidae",1
"mugilidae",1
"muridae",1
"myocastoridae",1
"nasikabatrachidae",1
"nemipteridae",1
"noctilionidae",1
"nyctibatrachidae",1
"odontophrynidae",1
"oreasteridae",1
"passalidae",1
"phyllidiidae",1
"platanistidae",1
"plethodontidae",1
"pleurobranchidae",1
"pluvianidae",1
"podocnemididae",1
"polynemidae",1
"porcellanidae",1
"portunidae",1
"rostratulidae",1
"soricidae",1
"sphyrnidae",1
"spondylidae",1
"strongylocentrotidae",1
"telmatobiidae",1
"tenrecidae",1
"thomisidae",1
"tipulidae",1
