"dwc.preparations","freq"
"whole organism (isopropanol)",75909
"whole organism (ethanol)",7526
"whole organism (ethanol); tissue (95% ethanol)",1195
"skeleton (dry)",1181
"unknown",913
"whole organism (cleared and stained)",470
"tissue (95% ethanol); whole organism (ethanol); tissue (95% ethanol)",332
"EOD Recording; whole organism (ethanol)",323
"tissue (95% ethanol)",219
"tissue (95% ethanol); whole organism (ethanol)",200
"",197
"whole organism (isopropanol); whole organism (cleared and stained)",188
"tissue (95% ethanol); EOD Recording; whole organism (ethanol)",174
"whole organism (formalin)",137
"tissue (95% ethanol); Gift Specimen(s); whole organism (ethanol)",102
"tissue (95% ethanol); tissue (95% ethanol); whole organism (ethanol); tissue (95% ethanol); tissue (95% ethanol)",94
"tissue (95% ethanol); whole organism (ethanol); tissue (95% ethanol); tissue (95% ethanol)",90
"histological slide; whole organism (isopropanol)",83
"Gift Specimen(s); whole organism (ethanol)",66
"jaws (dry)",63
"skeletal element(s) (dry)",58
"tissue (95% ethanol); tissue (95% ethanol); tissue (95% ethanol); whole organism (ethanol); tissue (95% ethanol); tissue (95% ethanol); tissue (95% ethanol)",57
"whole organism (ethanol); EOD Recording",52
"fossil",51
"skeleton (dry); tissue (95% ethanol)",51
"tissue (95% ethanol); whole organism (ethanol); tissue (95% ethanol) sample",46
"tissue (DMSO/EDTA); whole organism (ethanol)",45
"whole organism (ethanol); tissue (95% ethanol); tissue (95% ethanol)",44
"tissue (95% ethanol); tissue (95% ethanol); whole organism (ethanol); tissue (95% ethanol); tissue (95% ethanol); tissue (95% ethanol)",43
"whole organism (cleared and stained); whole organism (ethanol)",43
"whole organism (isopropanol); tissue (95% ethanol)",43
"Gift Specimen(s); whole organism (ethanol); tissue (95% ethanol); tissue (95% ethanol)",39
"whole organism (ethanol); EOD Recording; tissue (95% ethanol)",34
"partial skeleton (dry)",27
"skeleton (dry); tissue (DMSO/EDTA)",25
"tissue (95% ethanol); tissue (95% ethanol); whole organism (ethanol)",25
"tissue (95% ethanol); tissue (95% ethanol); tissue (95% ethanol); tissue (95% ethanol); whole organism (ethanol); tissue (95% ethanol); tissue (95% ethanol); tissue (95% ethanol); tissue (95% ethanol)",24
"tissue (95% ethanol); tissue (95% ethanol)",19
"skull (dry)",18
"tissue (95% ethanol); EOD Recording; 35 mm slide; whole organism (ethanol)",18
"tissue (95% ethanol); tissue (95% ethanol); tissue (95% ethanol); whole organism (ethanol); tissue (95% ethanol); tissue (95% ethanol); tissue (95% ethanol); tissue (95% ethanol)",18
"whole organism (formalin); whole organism (cleared and stained)",17
"scale (dry); skeletal element(s) (dry)",16
"whole organism (isopropanol); skeleton (dry)",16
"body parts (ethanol)",14
"tissue (95% ethanol); photograph; EOD Recording; whole organism (ethanol)",14
"tissue (95% ethanol); tissue (95% ethanol) sample",14
"tissue (DMSO/EDTA); skeleton (dry)",14
"tissue (95% ethanol); 35 mm slide; whole organism (ethanol)",13
"whole organism (ethanol); tissue (95% ethanol); EOD Recording",13
"Gift Specimen(s); tissue (95% ethanol)",12
"body parts (formalin)",11
"EOD Recording; whole organism (ethanol); tissue (95% ethanol)",11
"whole organism (ethanol); photograph; EOD Recording",10
"whole organism (ethanol); tissue (95% ethanol); tissue (95% ethanol); tissue (95% ethanol)",10
"photograph; whole organism (isopropanol)",9
"tissue (95% ethanol); tissue (95% ethanol); tissue (95% ethanol); whole organism (ethanol)",9
"tissue (95% ethanol); whole organism (isopropanol)",9
"whole organism (ethanol); body parts (ethanol); whole organism (cleared and stained)",9
"EOD Recording; tissue (95% ethanol); whole organism (ethanol)",8
"tissue (95% ethanol); tissue (95% ethanol); tissue (95% ethanol); tissue (95% ethanol); whole organism (ethanol); tissue (95% ethanol); tissue (95% ethanol); tissue (95% ethanol); tissue (95% ethanol); tissue (95% ethanol)",8
"35 mm slide; whole organism (ethanol)",7
"EOD Recording; Gift Specimen(s)",7
"EOD Recording; whole organism (isopropanol)",7
"tissue (95% ethanol); whole organism (ethanol); EOD Recording",7
"whole organism (cleared and stained); tissue (95% ethanol); body parts (ethanol); whole organism (ethanol); tissue (95% ethanol)",7
"whole organism (ethanol); EOD Recording; 35 mm slide",7
"tissue (95% ethanol); whole organism (ethanol); tissue (95% ethanol); tissue (95% ethanol) sample",6
"tissue (DMSO/EDTA); tissue (DMSO/EDTA); tissue (DMSO/EDTA)",6
"whole organism (cleared and stained); whole organism (isopropanol)",6
"whole organism (ethanol); photograph; EOD Recording; tissue (95% ethanol)",6
"whole organism (ethanol); tissue (95% ethanol); tissue (95% ethanol); tissue (95% ethanol); tissue (95% ethanol); tissue (95% ethanol)",6
"whole organism (glutaraldehyde)",6
"EOD Recording",5
"Gift Specimen(s)",5
"photograph; whole organism (ethanol)",5
"skelton (ethanol)",5
"tissue (95% ethanol); EOD Recording; whole organism (ethanol); tissue (95% ethanol)",5
"tissue (95% ethanol); tissue (95% ethanol); tissue (95% ethanol); tissue (95% ethanol); tissue (95% ethanol); tissue (95% ethanol); whole organism (ethanol); tissue (95% ethanol); tissue (95% ethanol); tissue (95% ethanol); tissue (95% ethanol); tissue (95% ethanol); tissue (95% ethanol); tissue (95% ethanol)",5
"tissue (95% ethanol); tissue (95% ethanol); tissue (95% ethanol); tissue (95% ethanol); tissue (95% ethanol); whole organism (ethanol); tissue (95% ethanol); tissue (95% ethanol); tissue (95% ethanol); tissue (95% ethanol); tissue (95% ethanol)",5
"whole organism (ethanol); whole organism (cleared and stained); body parts (ethanol)",5
"35 mm slide; whole organism (ethanol); tissue (95% ethanol)",4
"body parts (isopropanol)",4
"Gift Specimen(s); tissue (95% ethanol); whole organism (ethanol); tissue (95% ethanol); tissue (95% ethanol)",4
"histological slide; whole organism (isopropanol); histological slide",4
"tissue (95% ethanol); skeleton (dry)",4
"tissue (95% ethanol); tissue (95% ethanol); EOD Recording; whole organism (ethanol); tissue (95% ethanol)",4
"tissue (95% ethanol); tissue (95% ethanol); tissue (95% ethanol)",4
"tissue (95% ethanol); tissue (95% ethanol); whole organism (ethanol); tissue (95% ethanol)",4
"tissue (95% ethanol); tissue (95% ethanol); whole organism (ethanol); tissue (95% ethanol); tissue (95% ethanol) sample",4
"whole organism (ethanol); tissue (DMSO/EDTA); tissue (DMSO/EDTA)",4
"whole organism (ethanol); whole organism (cleared and stained)",4
"egg case",3
"EOD Recording; tissue (95% ethanol)",3
"Gift Specimen(s); tissue (95% ethanol); whole organism (ethanol)",3
"jaws (dry); body parts (isopropanol)",3
"scale (dry)",3
"tissue (95% ethanol); tissue (95% ethanol); photograph; EOD Recording; whole organism (ethanol)",3
"tissue (95% ethanol); tissue (95% ethanol); tissue (95% ethanol); tissue (95% ethanol); whole organism (ethanol)",3
"tissue (95% ethanol); tissue (95% ethanol); whole organism (ethanol); tissue (95% ethanol) sample; tissue (95% ethanol) sample",3
"tissue (95% ethanol); whole organism (cleared and stained); whole organism (ethanol)",3
"tissue (95% ethanol); whole organism (ethanol); 35 mm slide",3
"tissue (95% ethanol); whole organism (ethanol); tissue (95% ethanol); tissue (95% ethanol); tissue (95% ethanol)",3
"tissue (95% ethanol); whole organism (ethanol); tissue (95% ethanol); tissue (95% ethanol); tissue (95% ethanol); tissue (95% ethanol); tissue (95% ethanol); tissue (95% ethanol); tissue (95% ethanol); tissue (95% ethanol); tissue (95% ethanol); tissue (95% ethanol); tissue (95% ethanol); tissue (95% ethanol); tissue (95% ethanol); tissue (95% ethanol); tissue (95% ethanol); tissue (95% ethanol); tissue (95% ethanol); tissue (95% ethanol); tissue (95% ethanol); tissue (95% ethanol); tissue (95% ethanol)",3
"tissue (95% ethanol); whole organism (isopropanol); tissue (95% ethanol)",3
"whole organism (cleared and stained); Gift Specimen(s); body parts (ethanol); tissue (95% ethanol); whole organism (ethanol); tissue (95% ethanol)",3
"whole organism (ethanol); 35 mm slide; tissue (95% ethanol)",3
"whole organism (ethanol); tissue (95% ethanol); 35 mm slide",3
"whole organism (ethanol); tissue (95% ethanol); tissue (95% ethanol) sample",3
"whole organism (ethanol); tissue (95% ethanol); tissue (95% ethanol); tissue (95% ethanol); tissue (95% ethanol)",3
"35 mm slide; whole organism (isopropanol)",2
"body parts (ethanol); whole organism (cleared and stained)",2
"EOD Recording; whole organism (ethanol); photograph",2
"Gift Specimen(s); photograph; EOD Recording; tissue (95% ethanol)",2
"Gift Specimen(s); tissue (95% ethanol); whole organism (ethanol); tissue (95% ethanol); tissue (95% ethanol); tissue (95% ethanol)",2
"jaws (dry); whole organism (isopropanol)",2
"photograph; EOD Recording; whole organism (ethanol)",2
"skeleton (dry); body parts (ethanol)",2
"skeleton (dry); tissue (DMSO/EDTA); photograph",2
"tissue (95% ethanol); Gift Specimen(s); EOD Recording",2
"tissue (95% ethanol); skeleton (dry); tissue (95% ethanol)",2
"tissue (95% ethanol); tissue (95% ethanol); EOD Recording; tissue (95% ethanol); whole organism (ethanol); tissue (95% ethanol)",2
"tissue (95% ethanol); tissue (95% ethanol); photograph; whole organism (ethanol); EOD Recording; tissue (95% ethanol)",2
"tissue (95% ethanol); tissue (95% ethanol); tissue (95% ethanol) sample",2
"tissue (95% ethanol); tissue (95% ethanol); tissue (95% ethanol); Gift Specimen(s); tissue (95% ethanol); whole organism (ethanol); tissue (95% ethanol)",2
"tissue (95% ethanol); tissue (95% ethanol); tissue (95% ethanol); tissue (95% ethanol); tissue (95% ethanol); tissue (95% ethanol); whole organism (ethanol)",2
"tissue (95% ethanol); tissue (95% ethanol); tissue (95% ethanol); tissue (95% ethanol); tissue (95% ethanol); whole organism (ethanol); tissue (95% ethanol); tissue (95% ethanol); tissue (95% ethanol); tissue (95% ethanol); tissue (95% ethanol); tissue (95% ethanol)",2
"tissue (95% ethanol); tissue (95% ethanol); tissue (95% ethanol); whole organism (ethanol); tissue (95% ethanol)",2
"tissue (95% ethanol); tissue (95% ethanol); whole organism (isopropanol)",2
"tissue (95% ethanol); whole organism (ethanol); tissue (95% ethanol); tissue (95% ethanol) sample; tissue (95% ethanol) sample",2
"tissue (95% ethanol); whole organism (ethanol); tissue (95% ethanol); tissue (95% ethanol); tissue (95% ethanol); tissue (95% ethanol); tissue (95% ethanol)",2
"tissue (95% ethanol); whole organism (ethanol); tissue (95% ethanol); tissue (95% ethanol); tissue (95% ethanol); tissue (95% ethanol); tissue (95% ethanol); tissue (95% ethanol); tissue (95% ethanol); tissue (95% ethanol); tissue (95% ethanol); tissue (95% ethanol); tissue (95% ethanol); tissue (95% ethanol); tissue (95% ethanol)",2
"tissue (95% ethanol); whole organism (ethanol); tissue (95% ethanol); tissue (95% ethanol); tissue (95% ethanol); tissue (95% ethanol); tissue (95% ethanol); tissue (95% ethanol); tissue (95% ethanol); tissue (95% ethanol); tissue (95% ethanol); tissue (95% ethanol); tissue (95% ethanol); tissue (95% ethanol); tissue (95% ethanol); tissue (95% ethanol); tissue (95% ethanol)",2
"tissue (95% ethanol); whole organism (ethanol); tissue (95% ethanol); tissue (95% ethanol); tissue (95% ethanol); tissue (95% ethanol); tissue (95% ethanol); tissue (95% ethanol); tissue (95% ethanol); tissue (95% ethanol); tissue (95% ethanol); tissue (95% ethanol); tissue (95% ethanol); tissue (95% ethanol); tissue (95% ethanol); tissue (95% ethanol); tissue (95% ethanol); tissue (95% ethanol); tissue (95% ethanol); tissue (95% ethanol)",2
"tissue (95% ethanol); whole organism (isopropanol); tissue (95% ethanol); tissue (95% ethanol)",2
"whole organism (cleared and stained); body parts (ethanol); whole organism (ethanol); tissue (95% ethanol)",2
"whole organism (ethanol); 35 mm slide",2
"whole organism (ethanol); body parts (ethanol); skeleton (dry)",2
"whole organism (ethanol); EOD Recording; EOD Recording",2
"whole organism (ethanol); photograph; tissue (95% ethanol); EOD Recording",2
"whole organism (ethanol); tissue (95% ethanol); photograph",2
"whole organism (ethanol); tissue (95% ethanol); tissue (95% ethanol); tissue (95% ethanol); tissue (95% ethanol); tissue (95% ethanol); tissue (95% ethanol); tissue (95% ethanol); tissue (95% ethanol); tissue (95% ethanol); tissue (95% ethanol)",2
"whole organism (ethanol); tissue (DMSO/EDTA)",2
"whole organism (isopropanol); whole organism (isopropanol)",2
"35 mm slide; Gift Specimen(s); EOD Recording",1
"35 mm slide; tissue (95% ethanol); whole organism (ethanol)",1
"35 mm slide; tissue (95% ethanol); whole organism (ethanol); EOD Recording",1
"35 mm slide; whole organism (ethanol); EOD Recording",1
"body parts (ethanol); whole organism (ethanol)",1
"body parts (ethanol); whole organism (isopropanol); whole organism (cleared and stained)",1
"body parts (isopropanol); jaws (dry)",1
"egg",1
"EOD Recording; 35 mm slide; whole organism (ethanol); tissue (95% ethanol)",1
"EOD Recording; EOD Recording; whole organism (ethanol)",1
"EOD Recording; tissue (95% ethanol); tissue (95% ethanol); tissue (95% ethanol); tissue (95% ethanol)",1
"EOD Recording; tissue (95% ethanol); whole organism (ethanol); tissue (95% ethanol); tissue (95% ethanol); tissue (95% ethanol); tissue (95% ethanol); tissue (95% ethanol); tissue (95% ethanol); tissue (95% ethanol); tissue (95% ethanol); tissue (95% ethanol); tissue (95% ethanol); tissue (95% ethanol); tissue (95% ethanol); tissue (95% ethanol)",1
"EOD Recording; whole organism (ethanol); photograph; tissue (95% ethanol)",1
"EOD Recording; whole organism (ethanol); tissue (95% ethanol); tissue (95% ethanol); tissue (95% ethanol); tissue (95% ethanol)",1
"EOD Recording; whole organism (ethanol); tissue (95% ethanol); tissue (95% ethanol); tissue (95% ethanol); tissue (95% ethanol); tissue (95% ethanol); tissue (95% ethanol); tissue (95% ethanol); tissue (95% ethanol); tissue (95% ethanol); tissue (95% ethanol); tissue (95% ethanol); tissue (95% ethanol)",1
"Gift Specimen(s); EOD Recording",1
