"Family","Count"
"cyprinidae",26224
"percidae",9767
"",7358
"centrarchidae",7207
"catostomidae",5240
"mormyridae",2826
"fundulidae",2403
"ictaluridae",2194
"cottidae",1757
"poeciliidae",1447
"cichlidae",1361
"clupeidae",1284
"cyprinodontidae",1092
"esocidae",1026
"moronidae",1004
"atherinopsidae",923
"alestidae",729
"salmonidae",705
"sciaenidae",674
"mochokidae",576
"distichodontidae",474
"petromyzontidae",471
"aphredoderidae",386
"carangidae",382
"characidae",382
"gobiidae",354
"gasterosteidae",343
"anguillidae",320
"amphiliidae",300
"claroteidae",294
"syngnathidae",279
"umbridae",275
"sparidae",274
"percopsidae",264
"clariidae",246
"loricariidae",232
"lepisosteidae",229
"engraulidae",228
"labridae",226
"serranidae",225
"belonidae",215
"pomatomidae",208
"schilbeidae",208
"pleuronectidae",202
"elassomatidae",198
"mugilidae",198
"haemulidae",197
"gerreidae",196
"paralichthyidae",187
"lutjanidae",174
"nothobranchiidae",152
"batrachoididae",148
"mastacembelidae",140
"pomacentridae",136
"anabantidae",126
"monacanthidae",125
"tetraodontidae",124
"triglidae",119
"osmeridae",117
"heptapteridae",114
"achiridae",107
"gadidae",101
"scaridae",99
"blenniidae",97
"rajidae",91
"scombridae",91
"carcharhinidae",90
"apteronotidae",88
"hypopomidae",88
"doradidae",84
"eleotridae",83
"sphyraenidae",77
"amiidae",73
"embiotocidae",72
"ariidae",70
"stromateidae",68
"callionymidae",66
"diodontidae",65
"polypteridae",61
"aspredinidae",60
"amblyopsidae",59
"acipenseridae",58
"labrisomidae",58
"ostraciidae",58
"balistidae",57
"pimelodidae",57
"malapteruridae",56
"asteraceae",55
"atherinidae",54
"sternopygidae",51
"synodontidae",51
"chanidae",49
"sebastidae",49
"serrasalmidae",49
"chaetodontidae",47
"ephippidae",47
"callichthyidae",46
"scorpaenidae",46
"anostomidae",45
"hemiramphidae",45
"acanthuridae",44
"crenuchidae",44
"curimatidae",43
"dasyatidae",43
"hemitripteridae",43
"elopidae",41
"gobiesocidae",41
"antennariidae",38
"cynoglossidae",38
"hepsetidae",37
"lottiidae",37
"notopteridae",37
"echeneidae",36
"sphyrnidae",36
"stichaeidae",36
"bagridae",35
"myctophidae",35
"trichomycteridae",35
"zoarcidae",35
"ammodytidae",34
"anarhichadidae",34
"exocoetidae",34
"triakidae",34
"agonidae",32
"citharinidae",32
"kneriidae",31
"squalidae",31
"trichiuridae",31
"erythrinidae",30
"auchenipteridae",29
"cobitidae",29
"merlucciidae",29
"chimaeridae",28
"muraenidae",28
"ophidiidae",28
"pomacanthidae",27
"hexagrammidae",26
"lophiidae",26
"holocentridae",25
"ogcocephalidae",25
"ophichthidae",25
"pseudopimelodidae",25
"coryphaenidae",24
"hiodontidae",24
"myxinidae",24
"prochilodontidae",24
"pholidae",23
"phycidae",23
"rhamphichthyidae",23
"priacanthidae",22
"pristigasteridae",22
"scophthalmidae",22
"sternoptychidae",22
"stomiidae",22
"parodontidae",21
"percophidae",21
"rivulidae",21
"gonostomatidae",20
"gymnotidae",20
"osphronemidae",20
"polynemidae",20
"potamotrygonidae",20
"bryconidae",19
"latiidae",19
"polyodontidae",19
"zenarchopteridae",19
"apogonidae",18
"kyphosidae",18
"mullidae",18
"malacanthidae",17
"uranoscopidae",17
"albulidae",16
"gasteropelecidae",16
"megalopidae",16
"pantodontidae",16
"bothidae",15
"cyclopteridae",15
"lebiasinidae",15
"aplocheilidae",14
"centropomidae",14
"percichthyidae",14
"rhinobatidae",14
"telmatherinidae",14
"congridae",13
"gymnuridae",13
"lamnidae",13
"lepidosirenidae",13
"odontaspididae",13
"orchidaceae",12
"osteoglossidae",12
"semionotidae",12
"squatinidae",12
"clinidae",11
"goodeidae",11
"heterodontidae",11
"lobotidae",11
"psychrolutidae",11
"scomberesocidae",11
"synbranchidae",11
"triportheidae",11
"arapaimidae",10
"liparidae",10
"myliobatidae",10
"pristidae",10
"protopteridae",10
"centriscidae",9
"cetopsidae",9
"hemiodontidae",9
"melamphaidae",9
"scyliorhinidae",9
"siluridae",9
"anomalopidae",8
"astroblepidae",8
"bathylagidae",8
"fistulariidae",8
"nomeidae",8
"peristediidae",8
"ambassidae",7
"anablepidae",7
"centrophoridae",7
"galaxiidae",7
"ginglymostomatidae",7
"gymnarchidae",7
"polycentridae",7
"torpedinidae",7
"zeidae",7
"acestrorhynchidae",6
"caproidae",6
"chaenopsidae",6
"cirrhitidae",6
"dussumieriidae",6
"etmopteridae",6
"iguanodectidae",6
"macrouridae",6
"melanotaeniidae",6
"anoplopomatidae",5
"argentinidae",5
"centrolophidae",5
"ceratodontidae",5
"ctenoluciidae",5
"dactylopteridae",5
"gempylidae",5
"neoceratodontidae",5
"platycephalidae",5
"plotosidae",5
"rachycentridae",5
"adrianichthyidae",4
"brassicaceae",4
"bregmacerotidae",4
"chilodontidae",4
"chlopsidae",4
"cryptacanthodidae",4
"curculionidae",4
"cynodontidae",4
"erethistidae",4
"monocentridae",4
"narcinidae",4
"opistognathidae",4
"phosichthyidae",4
"pristiophoridae",4
"toxotidae",4
"trichodontidae",4
"alepisauridae",3
"anoplogastridae",3
"bathymasteridae",3
"bythitidae",3
"carapidae",3
"channichthyidae",3
"moringuidae",3
"nandidae",3
"omosudidae",3
"polymixiidae",3
"serrivomeridae",3
"soleidae",3
"trachipteridae",3
"tripterygiidae",3
"alopiidae",2
