"dwc.scientificName","freq"
"Pimephales notatus",1683
"Campostoma anomalum",1655
"Etheostoma olmstedi",1544
"Semotilus atromaculatus",1469
"Hypentelium nigricans",1338
"Etheostoma flabellare",1185
"Catostomus commersoni",1065
"Rhinichthys atratulus",934
"Luxilus cornutus",918
"Rhinichthys cataractae",869
"Notropis rubellus",862
"Etheostoma blennioides",846
"Lepomis macrochirus",839
"Ambloplites rupestris",828
"Lepomis gibbosus",821
"Cottus bairdii",756
"Notemigonus crysoleucas",745
"Nocomis micropogon",656
"Micropterus salmoides",655
"Cyprinella spiloptera",626
"Luxilus chrysocephalus",613
"Micropterus dolomieu",575
"Exoglossum maxillingua",573
"Catostomus commersonii",549
"Lepomis auritus",526
"Perca flavescens",520
"Percina caprodes",505
"Etheostoma caeruleum",503
"Semotilus atromaculatus atromaculatus",492
"Etheostoma nigrum",487
"Fundulus diaphanus",463
"Esox americanus",461
"Notropis hudsonius",460
"Roccus saxatilis",449
"Gambusia affinis",426
"Nocomis leptocephalus",406
"Semotilus corporalis",398
"Etheostoma zonale",379
"Labidesthes sicculus",369
"Aphredoderus sayanus",366
"Esox niger",365
"Cyprinodon pecosensis",348
"Cyprinodon variegatus",340
"Moxostoma erythrurum",337
"Clinostomus elongatus",334
"Ericymba buccata",334
"Lepomis megalotis",334
"Notropis atherinoides",332
"Cottus carolinae",326
"Lepomis cyanellus",323
"Rhinichthys atratulus atratulus",320
"Lepomis gulosus",314
"Hybopsis amblops",310
"Anguilla rostrata",307
"Notropis volucellus",307
"Percina maculata",305
"Notropis photogenis",286
"Ictalurus nebulosus",280
"Luxilus cornutus cornutus",279
"Morone americana",277
"Campostoma anomalum anomalum",275
"Notropis stramineus",268
"Luxilus cornutus chrysocephalus",267
"Gambusia holbrooki",264
"Clinostomus funduloides",262
"Ameiurus nebulosus",261
"Fundulus heteroclitus",260
"Percopsis omiscomaycus",259
"Percina nigrofasciata",258
"Enneacanthus gloriosus",234
"Cyprinella galactura",232
"Alosa sp.",229
"Alosa pseudoharengus",227
"Menidia beryllina",225
"Notropis analostana",220
"Notropis hybrid",219
"Etheostoma fusiforme",215
"Ameiurus natalis",212
"Menidia menidia",207
"Pomatomus saltatrix",207
"Barbus",206
"Ictalurus punctatus",206
"Notropis bifrenatus",206
"Noturus insignis",206
"Paramormyrops kingsleyae",203
"Etheostoma rufilineatum",202
"Notropis amoenus",201
"Notropis sp.",200
"Cottus cognatus",199
"Dorosoma cepedianum",197
"Micropterus punctulatus",196
"Notropis telescopus",195
"Petromyzon marinus",194
"Percina peltata",192
"Noturus flavus",191
"Sander vitreum",189
"Danio rerio",186
"Marcusenius moorii",183
"Erimyzon oblongus",179
"Notropis coccogenis",178
"Fundulus olivaceus",177
"Moxostoma duquesnei",176
"Pomoxis nigromaculatus",176
"Notropis leuciodus",175
"Danio albolineatus",174
"Morone saxatilis",169
"Paramormyrops ms magnostipes",167
"Centrarchus macropterus",165
"Notropis analostana analostanus",159
"Fundulus majalis",158
"Rhinichthys atratulus obtusus",157
"Notropis petersoni",154
"Notropis procne",154
"Cyprinella venusta",151
"Fundulus lineolatus",149
"Lucania parva",148
"Schilbeodes marginatus marginatus",148
"Fundulus catenatus",147
"Nocomis biguttatus",147
"Lepisosteus osseus",146
"Hybognathus regius",145
"Erimyzon sucetta",144
"Etheostoma variatum",144
"Notemigonus crysoleucas crysoleucas",142
"Notropis chalybaeus",140
"Cyprinus carpio",136
"hybrid fish",135
"Pimephales promelas",134
"Anchoa mitchilli",133
