"Typestatus","Count"
"",90174
"paratype of <a href=""http://arctos.database.museum/name/nocomis effusus"">nocomis effusus</a> in <a href=""http://arctos.database.museum/publication/10006803"">cumv fish type citations</a>",20
"paratype of <a href=""http://arctos.database.museum/name/noturus albater"">noturus albater</a> in <a href=""http://arctos.database.museum/publication/10006803"">cumv fish type citations</a>",20
"paratype of <a href=""http://arctos.database.museum/name/paramormyrops"">paramormyrops sp. magnostipes</a> sp. magnostipes in <a href=""http://arctos.database.museum/publication/10006803"">cumv fish type citations</a>",20
"voucher of petrocephalus arnegardi, page 55 in <a href=""http://arctos.database.museum/publication/10006822"">lavoué & sullivan 2014</a>",16
"paratype of <a href=""http://arctos.database.museum/name/campostoma pauciradii"">campostoma pauciradii</a>, page 108 in <a href=""http://arctos.database.museum/publication/10006837"">burr & cashner 1983</a>",15
"paratype of <a href=""http://arctos.database.museum/name/paramormyrops"">paramormyrops sp. bennetti</a> sp. bennetti in <a href=""http://arctos.database.museum/publication/10006803"">cumv fish type citations</a>",14
"paratype of <a href=""http://arctos.database.museum/name/hypentelium roanokense"">hypentelium roanokense</a> in <a href=""http://arctos.database.museum/publication/10006803"">cumv fish type citations</a>",13
"paratype of <a href=""http://arctos.database.museum/name/nocomis raneyi"">nocomis raneyi</a> in <a href=""http://arctos.database.museum/publication/10006803"">cumv fish type citations</a>",11
"paratype of <a href=""http://arctos.database.museum/name/etheostoma hopkinsi"">etheostoma hopkinsi</a> in <a href=""http://arctos.database.museum/publication/10006803"">cumv fish type citations</a>",10
"paratype of <a href=""http://arctos.database.museum/name/petrocephalus zakoni"">petrocephalus zakoni</a>, page 9 in <a href=""http://arctos.database.museum/publication/10006838"">lavoué et al 2010</a>",10
"paratype of <a href=""http://arctos.database.museum/name/moxostoma lachneri"">moxostoma lachneri</a> in <a href=""http://arctos.database.museum/publication/10006803"">cumv fish type citations</a>",9
"paratype of <a href=""http://arctos.database.museum/name/nocomis platyrhynchus"">nocomis platyrhynchus</a> in <a href=""http://arctos.database.museum/publication/10006803"">cumv fish type citations</a>",9
"paratype of <a href=""http://arctos.database.museum/name/petrocephalus odzalaensis"">petrocephalus odzalaensis</a>, page 22 in <a href=""http://arctos.database.museum/publication/10006838"">lavoué et al 2010</a>",9
"paratype of <a href=""http://arctos.database.museum/name/cyprinella spiloptera"">cyprinella spiloptera</a> in <a href=""http://arctos.database.museum/publication/10006803"">cumv fish type citations</a>; paratype of <a href=""http://arctos.database.museum/name/cyprinella spiloptera"">cyprinella spiloptera</a> in <a href=""http://arctos.database.museum/publication/10006803"">cumv fish type citations</a>",8
"paratype of petrocephalus arnegardi, page 55 in <a href=""http://arctos.database.museum/publication/10006822"">lavoué & sullivan 2014</a>",8
"paratype of <a href=""http://arctos.database.museum/name/petrocephalus valentini"">petrocephalus valentini</a>, page 13 in <a href=""http://arctos.database.museum/publication/10006838"">lavoué et al 2010</a>",7
"paratype of <a href=""http://arctos.database.museum/name/amphilius pedunculus"">amphilius pedunculus</a>, page 71 in <a href=""http://arctos.database.museum/publication/10007185"">thomson et al. zootaxa  3986 (1) </a>",6
