"Continent","Count"
NA,3150
"ARG",6
"AUS",118
"BHS",279
"BRB",1
"BLZ",7
"BEN",3
"BOL",57
"BWA",6
"BRA",433
"BDI",3
"CMR",690
"CAN",450
"CAF",624
"CHL",32
"CHN",22
"COL",112
"COD",2581
"CRI",7
"CUB",218
"DOM",164
"ECU",6
"GNQ",5
"EST",1
"ETH",178
"FSM",1
"FJI",1
"FRA",1
"GUF",10
"GAB",2808
"DEU",4
"GHA",320
"GTM",5
"GIN",370
"GUY",18
"HTI",3
"ISL",1
"IND",90
"IDN",41
"IRN",28
"IRL",3
"ISR",15
"ITA",1
"CIV",45
"JPN",45
"KEN",17
"KOR",3
"LBR",10
"MDG",1
"MWI",57
"MLI",2
"MHL",66
"MUS",69
"MEX",185
"MNG",3
"NAM",11
"NLD",1
"NZL",3
"NIC",31
"NGA",7
"MNP",1
"PAN",59
"PNG",30
"PER",176
"PHL",62
"ROU",129
"RWA",1
"WSM",3
"STP",1
"SEN",4
"SLE",2
"SGP",1
"ZAF",35
"RUS",9
"ESP",1
"SDN",3
"SUR",18
"SWE",9
"CHE",2
"TZA",1182
"THA",56
"TGO",5
"TTO",85
"UGA",14
"GBR",54
"USA",73773
"URY",16
"VEN",1139
"PSE",3
"ZMB",592
