"Family","Count"
"Characidae",9192
"Cyprinidae",8041
"Cichlidae",3901
"Pomacentridae",2970
"Labridae",2928
"Gobiidae",2915
"Serranidae",2469
"Loricariidae",2393
"Poeciliidae",2180
"Apogonidae",2021
"Percidae",1930
"Centrarchidae",1898
"Clupeidae",1594
"Pimelodidae",1554
"Holocentridae",1449
"Labrisomidae",1437
"Carangidae",1368
"Scorpaenidae",1331
"Muraenidae",1236
"Sciaenidae",1210
"Tetraodontidae",1005
"Chaetodontidae",994
"Catostomidae",978
"Curimatidae",976
"Apteronotidae",962
"Lutjanidae",922
"Scaridae",908
"Haemulidae",884
"Acanthuridae",882
"Gonostomatidae",823
"Blenniidae",817
"Cottidae",803
"Myctophidae",800
"Atherinidae",764
"Gerreidae",762
"Doradidae",751
"Mugilidae",718
"Sternopygidae",698
"Eleotridae",681
"Ictaluridae",632
"Synodontidae",631
"Anostomidae",617
"Paralichthyidae",596
"Engraulididae",576
"Mullidae",536
"Syngnathidae",536
"Monacanthidae",529
"Fundulidae",526
"Salmonidae",511
"Heptapteridae",505
"Trichomycteridae",494
"Chaenopsidae",488
"Erythrinidae",475
"Lebiasinidae",471
"Pomacanthidae",430
"Callichthyidae",428
"Balistidae",411
"Belonidae",410
"Crenuchidae",401
"Sparidae",390
"Ariidae",389
"Tripterygiidae",382
"Triglidae",378
"Homalopteridae",371
"Pleuronectidae",367
"Ogcocephalidae",357
"Hemiramphidae",354
"Macrouridae",340
"Ophichthidae",335
"Sternoptychidae",326
"Ophidiidae",311
"Hypopomidae",297
"Cobitidae",292
"Goodeidae",290
"Gasterosteidae",283
"Hemiodontidae",279
"Esocidae",275
"Bothidae",273
"Achiridae",261
"Cyprinodontidae",260
"Batrachoididae",258
"Grammatidae",246
"Scopelarchidae",242
"Lepisosteidae",240
"Rivulidae",237
"Auchenipteridae",236
"Phosichthyidae",235
"Gasteropelecidae",230
"Exocoetidae",226
"Bagridae",216
"Carcharhinidae",216
"Scombridae",216
"Synbranchidae",216
"Centropomidae",212
"Ostraciidae",211
"Antennariidae",207
"Cynoglossidae",206
"Leiognathidae",203
"Astroblepidae",193
"Gobiesocidae",183
"Chauliodontidae",180
"Congridae",179
"Nemipteridae",177
"Sphyraenidae",177
"Prochilodontidae",169
"Siganidae",168
"Gymnotidae",167
"Stichaeidae",166
"Polynemidae",163
"Anguillidae",161
"Lethrinidae",158
"Callionymidae",157
"Pseudochromidae",155
"Platycephalidae",153
"Kyphosidae",147
"Melamphaidae",147
"Bythitidae",145
"Evermannellidae",145
"Chlorophthalmidae",144
"Diodontidae",144
"Peristediidae",143
"Channidae",139
"Embiotocidae",136
"Trichiuridae",135
"Priacanthidae",133
"Rajidae",132
"Cirrhitidae",131
"Moringuidae",131
"Pinguipedidae",130
"Aspredinidae",129
"Clariidae",128
"Pholididae",124
"Umbridae",124
"Belontiidae",120
"Dasyatidae",120
"Gadidae",120
"Trachichthyidae",119
"Moridae",118
"Siluridae",118
"Ephippidae",116
"Dactyloscopidae",115
"Acropomatidae",112
"Engraulidae",112
"Petromyzontidae",111
"Stomiidae",111
"Squalidae",110
"Amiidae",104
"Agonidae",103
"Echeneididae",103
"Moronidae",103
"Acipenseridae",99
"Percophidae",97
"Ageneiosidae",95
"Malacanthidae",94
"Soleidae",94
"Cetopsidae",90
"Osmeridae",89
"Rhamphichthyidae",88
"Stromateidae",84
"Uranoscopidae",79
"Zoarcidae",79
"Kuhliidae",76
"Mastacembelidae",76
"Dactylopteridae",75
"Clinidae",73
"Cynodontidae",73
"Photichthyidae",73
"Hypophthalmidae",72
"Hexagrammidae",70
"Polymixiidae",69
"Scyliorhinidae",69
"Merlucciidae",68
"Pempherididae",68
"Cyclopteridae",67
"Fistulariidae",67
"Ambassidae",66
"Opistognathidae",66
"Caesionidae",65
"Chilodontidae",65
"Ctenoluciidae",65
"Neoscopelidae",65
"Plesiopidae",62
"Caproidae",61
"Zanclidae",61
"Aplocheilidae",60
"Nettastomatidae",60
"Albulidae",59
"Chimaeridae",58
"Melanostomiidae",58
"Phycidae",57
"Sisoridae",57
"Lophiidae",56
