"dwc.scientificName","freq"
"Signalosa mexicana campi",494
"Cyclothone sp.",484
"Etheostoma nigrum",390
"Characidae",355
"Pimephales notatus",344
"Lepomis cyanellus",330
"Semotilus atromaculatus",328
"Campostoma anomalum",317
"Astyanax fasciatus",315
"Notropis cornutus",301
"Hoplias malabaricus",272
"Gobiidae",264
"Catostomus commersoni",260
"No id.",256
"Characidium sp.",206
"Curimatidae",197
"Pimephales promelas",194
"Hyborhynchus notatus",187
"Micropterus salmoides",185
"Notropis spilopterus",185
"Nocomis biguttatus",183
"Pomacentridae",183
"Pimelodella sp.",180
"Goodea captiva",179
"Labridae",175
"Lepomis macrochirus",174
"Phaeoptyx conklini",165
"Apogon maculatus",161
"Culaea inconstans",160
"Steatogenys elegans",159
"Moenkhausia lepidura",158
"Perca flavescens",156
"Etheostoma flabellare",155
"Oxyloricaria citurensis",151
"Notemigonus crysoleucas",149
"Eigenmannia virescens",144
"Umbra limi",140
"Cyprinus carpio",139
"Lepomis gibbosus",139
"Mugil curema",138
"Gramma loreto",137
"Belonesox belizanus",134
"Notropis nazas",134
"Cichlasoma meeki",133
"Poecilia mexicana",132
"Chrosomus erythrogaster",130
"Notropis umbratilis",130
"Etheostoma caeruleum",129
"Porotergus sp.",129
"Tetraodontidae",129
"Cichlasoma salvini",128
"Gerreidae",128
"Semotilus atromaculatus atromaculatus",127
"Notropis rubellus",125
"Enneanectes altivelis",124
"Sternarchogiton nattereri",124
"Ameiurus melas",123
"Moenkhausia oligolepis",120
"Mugil cephalus",120
"Dorosoma cepedianum",118
"Carassius auratus",117
"Clupeidae",116
"Moenkhausia collettii",114
"Lepomis megalotis",113
"Muraenidae",113
"Myctophidae",113
"Engraulidae",112
"Poecilia sphenops",112
"Aequidens coeruleopunctatus",110
"Ambloplites rupestris",109
"Micropterus dolomieu",109
"Sciaenidae",109
"Apogon townsendi",108
"Cottus bairdii",108
"Labrisomus nuchipinnis",108
"Phenacobius mirabilis",108
"Rhinichthys atratulus",107
"Apogonidae",106
"Astyanax bimaculatus",106
"Myoxocephalus groenlandicus",106
"Pseudocheirodon affinis",106
"Vinciguerria sp.",106
"Astyanax ruberrimus",105
"Holocentrus ascensionis",105
"Notropis stramineus",105
"Sternopygus macrurus",105
"Etheostoma nigrum nigrum",102
"Amia calva",101
"Cephalopholis cruentata",101
"Hypentelium nigricans",101
"Hypostomus sp.",101
"Gobiosoma oceanops",100
"Coryphopterus personatus",98
"Leiognathidae",98
"Coryphopterus hyalinus",97
"Scopelarchus analis",97
"Apogon sp.",96
"Carangidae",96
"Eigenmannia macrops",96
"Abudefduf saxatilis",95
"Eucinostomus gula",95
"Lagodon rhomboides",94
"Ancistrus sp.",92
"Etheostoma spectabile",92
"Gymnotus carapo",92
"Starksia lepicoelia",92
"Labrisomus guppyi",91
"Pomoxis annularis",91
"Sternarchella sp.",91
"Acanthemblemaria aspera",90
"Labidesthes sicculus",90
"Leporinus friderici",90
"Ameiurus natalis",89
"Apogon lachneri",89
"Gymnothorax moringa",89
"Lepisosteus osseus",89
"Pseudogramma gregoryi",89
"Heterandria bimaculata",88
"Malacoctenus macropus",88
"Notropis dorsalis",88
"Balistapus undulatus",87
"Cichlidae",87
"Labroides dimidiatus",87
"Xiphophorus hellerii",87
"Adontosternarchus clarkae",86
"Notropis atherinoides",86
"Rhabdolichops eastwardi",86
"Canthigaster rostrata",85
"Moenkhausia dichroura",85
"Pseudogramma polyacantha",85
"Esox vermiculatus",84
"Caranx latus",83
