"Continent","Count"
NA,12421
"AFG",2
"ALB",1
"ASM",5
NA,4
"AGO",334
NA,14
"ARG",94
"ARG",1
"ARG",2
"ABW",8
"AUS",186
"AUS",1
"AUS",1
"AUT",1
"AUT",1
NA,1
NA,270
NA,8
NA,15
"BGD",11
"BRB",7
"BLZ",6453
"BLZ",4
"BLZ",1
"BMU",2594
"BMU",267
"BMU",2
"BOL",1534
"BRA",3
"BRA",1
"PER",2
"BOL",4
"BOL",7
"BOL",1
NA,75
"BWA",28
"BRA",6277
"BRA",11
"BRA",40
"BRA",38
"BRA",4
NA,1
"KEN",12
"BRN",6
"BGR",3
"MMR",1
"CPV",5
"CMR",21
"CMR",2
"CMR",2
"CAN",661
"CAN",1
"CAN",22
NA,3
NA,107
"CYM",15
"CYM",1
NA,3
"CHL",316
"CHL",4
"CHL",1
"CHN",777
"CHN",2
"CHN",5
NA,18
"CCK",61
"COL",1972
"COL",9
"COL",12
"COL",2
"COM",25
"COM",4
"COM",1
"COG",10
"COD",218
"COK",1
"COK",121
NA,11
"CRI",883
"CRI",3
"CRI",5
"CUB",187
"CUB",2
"COD",1
"DJI",1
"DOM",9
NA,5
NA,3
"ECU",4677
"ECU",2
"ECU",3
"EGY",146
"EGY",3
"EGY",1
"SLV",311
"SLV",2
"GNQ",3
"ETH",8
"FJI",374
"FRA",30
"FRA",1
NA,6
"GUF",3
"CHN",7
"SDN",8
NA,80
"GAB",2
"GAB",1
NA,584
NA,2
"DEU",7
"DEU",1
"GHA",22
"GHA",1
"GRC",2
"GRL",31
NA,3
"GTM",670
NA,2
"GUY",2397
"GUY",1
"GUY",2
"HTI",205
NA,1578
NA,18
NA,1
"HND",1745
"HKG",1
"IND",657
"IND",1
"IND",167
"IDN",23
"IDN",435
"IRN",14
"IRQ",114
"IRL",1
"ISR",44
"ISR",1
"ITA",56
"ITA",21
"CIV",5
"JAM",321
"JAM",1
"JAM",1
"JPN",2062
"JPN",21
"JPN",56
NA,6
"KEN",7
"KIR",8
"KOR",176
"LAO",1
"LBN",49
"LBR",14
"LBY",1
"MDG",102
NA,2
"MDG",2
"MWI",4
"MWI",1
"MWI",64
"MYS",782
"MYS",2009
"MDV",1138
"MLI",2
NA,1
"MNP",33
"MNP",108
NA,59
"MHL",840
"MHL",6
NA,3
NA,6
"MRT",1
"MUS",90
"MUS",1
"MUS",2
"MEX",2344
"MEX",2
"MEX",270
"MEX",1
"MNG",1
"MAR",2
"MOZ",7
"MOZ",1
"MMR",15
"NAM",1
"NPL",10
"ANT",15
"NCL",5
"PNG",143
"NZL",10
"NIC",207
"NIC",1
"NER",1
"NGA",7
"NGA",2
"PRK",55
"NOR",67
NA,1
"OMN",2
"PAK",15
"PLW",3194
"PSE",2
"PAN",4627
"PAN",3
"PAN",22
"PAN",21
"PNG",720
"PNG",1
"PNG",101
"PRY",713
"PRY",14
"PRY",3
"PER",1867
"PER",1
"PER",2
"PER",2
"PHL",4417
"PHL",1
"PHL",6
"POL",26
"PRT",1
"PRI",1007
"PRI",1
"PRI",5
"CHN",1
"ROU",145
"ROU",1
NA,4
"RUS",23
"RUS",2
"WSM",177
"WSM",6
"LCA",1
"SAU",1
NA,65
"SEN",6
"SYC",1
"SYC",74
NA,9
"SLE",1
"SLE",1
"SGP",302
"SGP",18
NA,187
NA,317
"SLB",908
"SLB",3
"SOM",4
"ZAF",92
"ZAF",2
"YMD",1
"ESP",3
"LKA",334
"VCT",7
"VCT",1
"SDN",13
"SDN",2
"SUR",877
"SUR",3
"SUR",14
"SUR",1
"SUR",26
"SYR",2
"TWN",911
"TWN",1
"TZA",42
"TZA",1
"THA",431
"TTO",2
"TGO",1
"TON",105
"TON",5
"TTO",69
"TTO",1
NA,1
"TUN",79
NA,1
"TUR",2
"CAN",1
NA,11
NA,54
NA,2
"RUS",3
"RUS",6
"UGA",1
"GBR",32
"USA",20473
"URY",206
"URY",2
"URY",3
NA,2
"VUT",186
"VEN",3371
"VEN",1
"VEN",5
"VNM",1
NA,2
"VGB",64
"VIR",37
"VIR",58
NA,7
NA,18
NA,1
"YEM",3
"YUG",4
"YUG",2
"ZMB",5
