"Country","Count"
"united states",19155
"belize",6448
"brazil",5976
"ecuador",4675
"panama",4625
"venezuela",3369
"palau",3187
"philippines",3081
"bermuda",2594
"guyana",2397
"mexico",2327
"japan",2062
"malaysia*",2009
"colombia",1971
"peru",1866
"honduras",1745
"hawaiian islands",1578
"maldives",1138
"puerto rico",990
"bolivia",913
"taiwan",911
"costa rica",883
"surinam",877
"marshall islands",840
"malaysia",783
"china",777
"canada",661
"india",657
"papua new guinea",608
"galapagos islands",584
"guatemala",556
"indonesia*",435
"thailand",431
"fiji",374
"solomon islands",349
"angola",334
"sri lanka",334
"jamaica",321
"society islands*",317
"chile",316
"singapore",302
"el salvador",301
"paraguay",297
"bermuda?",267
"bahama islands",266
"congo, the democratic republic of the",218
"nicaragua",207
"uruguay",206
"haiti",205
"mexico*",203
"cuba",187
"society islands",187
"australia",186
"vanuatu",186
"samoa",177
"korea",176
"india*",163
"egypt",146
"romania",145
"new guinea",144
"cook islands",121
"iraq",114
"marianas islands*",108
"caroline islands*",106
"tonga",105
"madagascar",103
"papua new guinea*",101
"argentina",94
"south africa",92
"mauritius",90
"french west africa",80
"tunisia",79
"borneo",75
"seychelles*",74
"trinidad",69
"norway",67
"scotland",65
"malawi*",64
"virgin islands (uk)",64
"cocos island",61
"marquesas islands",59
"virgin islands (us)*",58
"italy",56
"japan*",56
"north korea",55
"u.s.a.*",51
"lebanon",49
"israel",44
"tanzania",42
"brazil?",40
"brazil*",38
"virgin islands (us)",37
"marianas islands",33
"united kingdom",32
"greenland",31
"france",30
"botswana*",28
"poland",26
"comoro islands",25
"suriname",24
"indonesia",23
"ghana",22
"panama*",22
"cameroon",21
"italy*",21
"japan?",21
"panama*?",21
"clipperton island",18
"hawaiian islands?",18
"singapore*",18
"wake island",18
"russia",17
"bahama islands*",15
"cayman islands",15
"myanmar",15
"netherlands antilles*",15
"pakistan",15
"arabia",14
"canada*",14
"iran",14
"liberia",14
"paraguay?",14
"surinam*",14
"sudan",13
"british east africa",12
"colombia*",12
"bangladesh",11
"brazil-bolivia",11
"corsica",11
"congo",10
"nepal",10
"new zealand",10
"colombia?",9
"dominican republic",9
"siberia",9
"aruba",8
"bahama islands?",8
"ethiopia",8
"french sudan",8
"kiribati*",8
"barbados",7
"bolivia*",7
"french indochina",7
"germany",7
"kenya",7
"mozambique",7
"nigeria",7
"st. vincent",7
"virgin islands*",7
"brunei",6
"french equatorial africa",6
"kamerun",6
"marshall islands*",6
"mascarene islands*",6
"philippines*",6
"samoa*",6
"senegal",6
"u.s.s.r.*",6
"american samoa",5
"cabo verde",5
"china*",5
"costa rica*",5
"east africa",5
"ivory coast",5
"new caledonia",5
"puerto rico*",5
"tonga*",5
"u.s.a.?",5
"venezuela*",5
"zambia",5
"andamans*",4
"belize?",4
"bolivia?",4
"brazil*?",4
"chile*",4
"comoro islands*",4
"malawi",4
"ruanda",4
"yugoslavia",4
"bolivia-brazil",3
"bulgaria",3
"caroline islands",3
"chagos archipelago",3
"costa rica?",3
"easter island",3
"ecuador*",3
"egypt?",3
"equatorial guinea*",3
"french guiana",3
"guadalupe island",3
"mascarene islands",3
"panama?",3
"paraguay*",3
"solomon islands*",3
"spain",3
"surinam?",3
"u.s.s.r.",3
"uruguay*",3
"yemen",3
"afghanistan",2
"argentina*",2
"bermuda*",2
"bolivia-peru",2
"cameroon*",2
"cameroons",2
"china?",2
"colombia*?",2
"cuba*",2
"ecuador?",2
"el salvador?",2
"gabon",2
"galapagos islands*",2
"greece",2
"guiana",2
"guyana*",2
"madeira*",2
"malagasy republic",2
"mali",2
"mauritius*",2
"mexico?",2
"morocco*",2
"nigeria*",2
"oman*",2
"palestine",2
"peru*",2
"peru?",2
"russia?",2
"south africa*",2
"sudan*",2
"syria",2
"tobago",2
"turkey",2
"u.s.a.*?",2
"uruguay?",2
"urundi",2
"virgin islands",2
"yugoslavia*",2
"albania",1
"argentina?",1
"australia*",1
"australia?",1
"austria",1
"austria*",1
"azores islands",1
"belize*",1
"bolivia*?",1
"bolivia-brazil(?)",1
"british borneo",1
"burma*",1
"canada?*",1
"cayman islands*",1
"chile*?",1
"comoro islands*?",1
"cook archipelago",1
"democratic republic of the congo?",1
"djibouti",1
"egypt*",1
"france?",1
"gabon*",1
"germany?",1
"ghana*",1
"guyana?",1
"hawaiian islands*",1
"hong kong",1
"india?",1
"ireland",1
"israel*",1
"jamaica*",1
"jamaica?",1
"laos",1
"libya",1
"malawi?",1
"manchuria",1
"mauritania",1
"mauritius?",1
"mexico*?",1
"mongolia",1
"mozambique*",1
"namibia",1
"nicaragua?",1
"niger",1
"old providence island",1
"papua new guinea?",1
"peru-bolivia",1
"philippines?",1
"portugal",1
"puerto rico?",1
"republic of china",1
"romania?",1
"santa lucia",1
"saudi arabia",1
"seychelles",1
"sierra leone",1
"sierra leone*?",1
"south yemen*",1
"st. vincent*",1
"surinam*?",1
"taiwan?",1
"tanzania*",1
"togo*",1
"trinidad*",1
"tubuai islands",1
"turkestan",1
"u.s.a.-canada*",1
"uganda",1
"venezuela?",1
"vietnam",1
"west africa",1
