"Family","Count"
"Centrarchidae",62
"Fundulidae",48
"Sciaenidae",48
"Sparidae",43
"Etmopteridae",40
"Poeciliidae",38
"Scyliorhinidae",31
"Carcharhinidae",26
"Cyprinidae",25
"Serranidae",25
"Lutjanidae",24
"Syngnathidae",24
"Atherinopsidae",21
"Carangidae",20
"Haemulidae",18
"Heterodontidae",18
"Centrophoridae",17
"Monacanthidae",17
"Belonidae",16
"Paralichthyidae",16
"Holocentridae",15
"Squalidae",14
"Diodontidae",13
"Engraulidae",13
"Mugilidae",13
"Sphyrnidae",12
"Synodontidae",12
"Esocidae",10
"Myxinidae",10
"Aphredoderidae",9
"Cyprinodontidae",9
"Hexanchidae",9
"Muraenidae",9
"Rajidae",9
"Scorpaenidae",9
"Tetraodontidae",9
"Ariidae",8
"Elassomatidae",8
"Exocoetidae",8
"Gerreidae",8
"Gobiidae",8
"Ostraciidae",8
"Triakidae",8
"Triglidae",8
"Clupeidae",7
"Percidae",7
"Batrachoididae",6
"Cynoglossidae",6
"Squatinidae",6
"Blenniidae",5
"Macrouridae",5
"Ophichthidae",5
"Ophidiidae",5
"Phycidae",5
"Antennariidae",4
"Catostomidae",4
"Coryphaenidae",4
"Echeneidae",4
"Eleotridae",4
"Ephippidae",4
"Hemiramphidae",4
"Labridae",4
"Scaridae",4
"Scombridae",4
"Somniosidae",4
"Sphyraenidae",4
"Stromateidae",4
"Uranoscopidae",4
"Achiridae",3
"Chaetodontidae",3
"Lamnidae",3
"Lepisosteidae",3
"Liparidae",3
"Malacanthidae",3
"Myctophidae",3
"Ogcocephalidae",3
"Pomacanthidae",3
"Synaphobranchidae",3
"Anomalopidae",2
"Apogonidae",2
"Bothidae",2
"Congridae",2
"Dasyatidae",2
"Elopidae",2
"Ginglymostomatidae",2
"Ictaluridae",2
"Pomatomidae",2
"Salmonidae",2
"Stomiidae",2
"Acipenseridae",1
"Alopiidae",1
"Bythitidae",1
"Callionymidae",1
"Cetorhinidae",1
"Channidae",1
"Chlamydoselachidae",1
"Cottidae",1
"Dactylopteridae",1
"Dalatiidae",1
"Distichodontidae",1
"Fistulariidae",1
"Gadidae",1
"Gasterosteidae",1
"Gobiesocidae",1
"Lophiidae",1
"Mitsukurinidae",1
"Moridae",1
"Mullidae",1
"Myliobatidae",1
"Narcinidae",1
"Nemichthyidae",1
"Odontaspididae",1
"Opistognathidae",1
"Pegasidae",1
"Petromyzontidae",1
"Polynemidae",1
"Pseudocarchariidae",1
"Trichiuridae",1
"Unknown",1
"Zoarcidae",1
