"dwc.scientificName","freq"
"Lagodon rhomboides",22
"Rhomboplites aurorubens",16
"Etmopterus sp.",14
"Leiostomus xanthurus",13
"Lepomis punctatus",13
"Apristurus sp.",12
"Gambusia affinis",12
"Strongylura marina",12
"Bairdiella chrysoura",11
"Fundulus majalis",11
"Gambusia holbrooki",11
"Menidia beryllina",11
"Chilomycterus schoepfi",10
"Fundulus grandis",10
"Holocentrus adscensionis",10
"Orthopristis chrysoptera",10
"Paralichthys albigutta",10
"Synodus foetens",10
"Aphredoderus sayanus",9
"Cyprinodon variegatus",9
"Lepomis gulosus",9
"Micropterus salmoides",9
"Centropristis striata",8
"Poecilia latipinna",8
"Syngnathus floridae",8
"Acanthostracion quadricornis",7
"Anchoa mitchilli",7
"Heterodontus sp.",7
"Mugil curema",7
"Notemigonus crysoleucas",7
"Stephanolepis hispidus",7
"Centrarchus macropterus",6
"Eptatretus springeri",6
"Esox americanus",6
"Etmopterus princeps",6
"Heterandria formosa",6
"Heterodontus mexicanus",6
"Lepomis macrochirus",6
"Lucania goodei",6
"Mugil cephalus",6
"Opsanus beta",6
"Pteronotropis metallicus",6
"Sphyrna tudes",6
"Squatina dumeril",6
"Symphurus plagiusa",6
"Caranx hippos",5
"Carcharhinus signatus",5
"Etmopterus bigelowi",5
"Eucinostomus gula",5
"Hexanchus nakamurai",5
"Hippocampus erectus",5
"Lepomis marginatus",5
"Menidia peninsulae",5
"Squalus mitsukurii",5
"Trachinotus carolinus",5
"Adinia xenica",4
"Archosargus probatocephalus",4
"Astroscopus y-graecum",4
"Calamus arctifrons",4
"Calamus nodosus",4
"Caranx crysos",4
"Carcharhinus altimus",4
"Carcharhinus porosus",4
"Centrophorus sp.",4
"Chaetodipterus faber",4
"Coryphaena hippurus",4
"Cynoscion nebulosus",4
"Diplectrum formosum",4
"Etmopterus virens",4
"Heterodontus francisci",4
"Holocentrus rufus",4
"Lepomis microlophus",4
"Leptolucania ommata",4
"Menticirrhus americanus",4
"Monacanthus ciliatus",4
"Myxine mcmillanae",4
"Prionotus rubio",4
"Scyliorhinus retifer",4
"Sphoeroides nephelus",4
"",3
"Aluterus schoepfii",3
"Anchoa hepsetus",3
"Ariopsis felis",3
"Centrophorus granulosus",3
"Centroscyllium fabricii",3
"Chaetodon sedentarius",3
"Chasmodes saburrae",3
"Cynoscion arenarius",3
"Deania profundorum",3
"Diplodus holbrookii",3
"Dipturus oregoni",3
"Dormitator maculatus",3
"Echeneis naucrates",3
"Elassoma evergladei",3
"Elassoma okefenokee",3
"Erimyzon sucetta",3
"Esox niger",3
"Etmopterus gracilispinis",3
"Fundulus heteroclitus",3
"Galeus springeri",3
"Gymnothorax moringa",3
"Haemulon aurolineatum",3
"Heptranchias perlo",3
"Hyporhamphus meeki",3
"Lutjanus griseus",3
"Membras martinica",3
"Mustelus norrisi",3
"Notropis chalybaeus",3
"Paraliparis calidus",3
"Percina nigrofasciata",3
"Pomacanthus arcuatus",3
"Rajella purpuriventralis",3
"Rhizoprionodon terraenovae",3
"Scorpaena brasiliensis",3
"Sphyrna media",3
"Squalus cubensis",3
"Synaphobranchus oregoni",3
"Syngnathus louisianae",3
"Syngnathus scovelli",3
"Trinectes maculatus",3
"Urophycis floridana",3
"Ameiurus natalis",2
"Anarchopterus criniger",2
"Anchoviella perfasciata",2
"Ancylopsetta ommata",2
"Apristurus profundorum",2
"Arius felis",2
"Bagre marinus",2
"Brevoortia smithi",2
"Carcharhinus perezii",2
"Centrophorus",2
"Centrophorus cf granulosus",2
"Centroscymnus owstoni",2
"Cheilopogon exsiliens",2
"Chloroscombrus chrysurus",2
"Coryphaenoides rudis",2
"Deania calcea",2
"Dipturus garricki",2
"Elassoma zonatum",2
"Elops saurus",2
"Enneacanthus gloriosus",2
"Epinephelus flavolimbatus",2
"Etheostoma edwini",2
"Fundulus lineolatus",2
"Fundulus similis",2
"Ginglymostoma cirratum",2
"Gobiosoma bosc",2
"Gobiosoma robustum",2
"Gymnothorax kolpos",2
"Gymnothorax saxicola",2
"Haemulon melanurum",2
"Haemulon plumierii",2
"Halichoeres bivittatus",2
"Harengula jaguana",2
"Hippocampus zosterae",2
"Histrio histrio",2
"Labidesthes sicculus",2
"Lachnolaimus maximus",2
"Lamna ditropis",2
"Larimus fasciatus",2
"Lepisosteus osseus",2
"Lepomis megalotis",2
"Lopholatilus chamaeleonticeps",2
"Lucania parva",2
"Lutjanus vivanus",2
"Menticirrhus littoralis",2
"Mustelus canis",2
"Myrophis punctatus",2
"Nicholsina usta",2
"Notropis harperi",2
"Notropis texanus",2
"Oligoplites saurus",2
"Opsopoeodus emiliae",2
"Parexocoetus brachypterus",2
"Peprilus alepidotus",2
"Peprilus paru",2
"Pogonias cromis",2
"Pomatomus saltatrix",2
"Pomoxis nigromaculatus",2
"Pontinus longispinis",2
"Prionotus tribulus",2
"Pterois volitans",2
"Rhizoprionodon lalandii",2
"Rhynchoconger guppyi",2
"Rypticus maculatus",2
"Salvelinus fontinalis",2
"Sparisoma radians",2
"Sphyraena borealis",2
"Sphyrna tiburo",2
"Squalus sp.",2
"Stenotomus caprinus",2
"Strongylura timucu",2
"Urophycis cirrata",2
"Acantharchus pomotis",1
"Acipenser oxyrinchus",1
"Aetobatus narinari",1
"Alopias superciliosus",1
"Aluterus heudelotii",1
"Aluterus scriptus",1
"Anchoa lyolepis",1
"Antennarius multiocellatus",1
"Apogon pseudomaculatus",1
"Apristurus",1
"Apristurus brunneus",1
"Apristurus canutus",1
"Apristurus kampae",1
"Apristurus laurussonii",1
"Apristurus melanoasper",1
"Apristurus parvipinnis",1
"Astropogon alutus",1
"Atractosteus spatula",1
"Bassozetus robustus",1
"Bothus lunatus",1
"Brevoortia patronus",1
"Brotula barbata",1
"Calamus leucosteus",1
"Calamus penna",1
"Calamus pennatula",1
"Carcharhinus acronotus",1
"Carcharhinus isodon",1
"Carcharhinus limbatus",1
"Cataetyx laticeps",1
"Centrophorus squamosus",1
"Centropristis striata melanus",1
"Centroscyllium fabricii Book Specimen",1
"Centroscyllium nigrum",1
"Centroscymnus coelolepis",1
"Centroscymnus crepidater",1
"Cephaloscyllium ventriosum",1
"Cetorhinus maximus",1
"Channa argus",1
"Cheilopogon cyanopterus",1
"Cheilopogon melanurus",1
"Chilomycterus antillarum",1
"Chilomycterus schoepfii",1
"Chlamydoselachus anguineus",1
"Cirrhigaleus asper",1
"Citharichthys macrops",1
"Citharichthys spilopterus",1
"Coryphaenoides mediterraneus",1
"Coryphaenoides mexicanus",1
"Cottus carolinae",1
"Ctenogobius boleosoma",1
"Ctenogobius shufeldti",1
"Culaea inconstans",1
"Dactylopterus volitans",1
"Dalatias licha",1
"Dasyatis americana",1
"Dasyatis sabina",1
"Diaphus dumerilii",1
"Diapterus plumieri",1
"Diodon hystrix",1
"Diplectrum bivittatum",1
"Diplodus argenteus",1
"Diplogrammus pauciradiatus",1
"Dipturus olseni",1
"Distichodus  lusosso",1
"Echeneis neucratoides",1
"Echiostoma barbatum",1
"Eleotris amblyopsis",1
"Engyophrys senta",1
"Enneacanthus obesus",1
"Epinephelus fulvus",1
"Epinephelus guttatus",1
"Epinephelus striatus",1
"Esox americanus vermiculatus",1
"Etheostoma fusiforme",1
"Etmopterus bullisi",1
"Etmopterus hillianus",1
"Etmopterus pusillus",1
"Etropus crossotus",1
"Eucinostomus argenteus",1
"Eucinostomus jonesii",1
"Eurypegasus papilio",1
"Exocoetus volitans",1
"Fistularia tabacaria",1
"Fowlerichthys ocellatus",1
"Fundulus blairae",1
"Fundulus escambiae",1
"Fundulus jenkinsi",1
"Fundulus nottii",1
