"Collector","Count"
"545",1
"2012",1
"2013",1
"2014",3
"41634",1
"grubbs",522
"bof",491
"castro",139
"cotton",99
"coleman",69
"malinowski",68
"bourgoin",7
"c",5
"deep",5
"collection",3
"ernst",3
"galbraith",3
"livingston",3
"smith",3
"al",2
"arrien",2
"burgess",2
"c.h",2
"d",2
"glen",2
"koenig",2
"r",2
"research",2
"schutman",2
"academy",1
"alvord",1
"and",1
"beeble",1
"bio",1
"california",1
"carrere",1
"caruso",1
"ch",1
"class",1
"deepccruise",1
"diggers",1
"e",1
"et",1
"ferrari",1
"group",1
"heil",1
"heithaus",1
"kanshnecht",1
"knight",1
"kraus",1
"krems",1
"liner",1
"martin",1
"mcann",1
"mcgann",1
"mckenzie",1
"meluin",1
"mickle",1
"morissey",1
"mounsey",1
"moutgomeax",1
"mvz",1
"nmfs",1
"ocean",1
"odyssey",1
"of",1
"pelican",1
"pondella",1
"r.t",1
"rj",1
"rjl",1
"ronald",1
"rv",1
"ryan",1
"schneck",1
"sciences",1
"stonar",1
"sutton",1
"t",1
"team",1
"tim",1
"tyminski",1
"uf",1
"via",1
"victor",1
"watson",1
