"preps","institutioncode","collectioncode","catalognumber","Stand.Prep","Stand.Prep.2","Stand.Prep.3","Tissue","Photo","X","freq"
"EtOH","fsucml","zoological collection","fsucml: 718","EtOH","","",NA,NA,NA,40
"EtOH","fsucml","zoological collection","fsucml: 157","EtOH","","",NA,NA,NA,40
"EtOH","fsucml","zoological collection","fsucml: 939","EtOH","","",NA,NA,NA,40
"EtOH","fsucml","zoological collection","fsucml: 905","EtOH","","",NA,NA,NA,40
"EtOH","fsucml","zoological collection","fsucml: 329","EtOH","","",NA,NA,NA,40
"EtOH","fsucml","zoological collection","fsucml: 6","EtOH","","",NA,NA,NA,40
"EtOH","fsucml","zoological collection","fsucml: 674","EtOH","","",NA,NA,NA,40
"EtOH","fsucml","zoological collection","fsucml: 58","EtOH","","",NA,NA,NA,40
"EtOH","fsucml","zoological collection","fsucml: 25","EtOH","","",NA,NA,NA,40
"EtOH","fsucml","zoological collection","fsucml: 979","EtOH","","",NA,NA,NA,40
"EtOH","fsucml","zoological collection","fsucml: 529","EtOH","","",NA,NA,NA,40
"EtOH","fsucml","zoological collection","fsucml: 720","EtOH","","",NA,NA,NA,40
"EtOH","fsucml","zoological collection","fsucml: 664","EtOH","","",NA,NA,NA,40
"EtOH","fsucml","zoological collection","fsucml: 483","EtOH","","",NA,NA,NA,40
"EtOH","fsucml","zoological collection","fsucml: 255","EtOH","","",NA,NA,NA,40
"EtOH","fsucml","zoological collection","fsucml: 357","EtOH","","",NA,NA,NA,40
"EtOH","fsucml","zoological collection","fsucml: 569","EtOH","","",NA,NA,NA,40
"EtOH","fsucml","zoological collection","fsucml: 50","EtOH","","",NA,NA,NA,40
"EtOH","fsucml","zoological collection","fsucml: 307","EtOH","","",NA,NA,NA,40
"EtOH","fsucml","zoological collection","fsucml: 466","EtOH","","",NA,NA,NA,40
"EtOH","fsucml","zoological collection","fsucml: 180","EtOH","","",NA,NA,NA,40
"EtOH","fsucml","zoological collection","fsucml: 7","EtOH","","",NA,NA,NA,40
"EtOH","fsucml","zoological collection","fsucml: 800","EtOH","","",NA,NA,NA,40
"EtOH","fsucml","zoological collection","fsucml: 672","EtOH","","",NA,NA,NA,40
"EtOH","fsucml","zoological collection","fsucml: 251","EtOH","","",NA,NA,NA,40
"EtOH","fsucml","zoological collection","fsucml: 437","EtOH","","",NA,NA,NA,40
"EtOH","fsucml","zoological collection","fsucml: 764","EtOH","","",NA,NA,NA,40
"EtOH","fsucml","zoological collection","fsucml: 528","EtOH","","",NA,NA,NA,40
"EtOH","fsucml","zoological collection","fsucml: 120","EtOH","","",NA,NA,NA,40
"EtOH","fsucml","zoological collection","fsucml: 670","EtOH","","",NA,NA,NA,40
"EtOH","fsucml","zoological collection","fsucml: 661","EtOH","","",NA,NA,NA,40
"EtOH","fsucml","zoological collection","fsucml: 387","EtOH","","",NA,NA,NA,40
"EtOH","fsucml","zoological collection","fsucml: 366","EtOH","","",NA,NA,NA,40
"EtOH","fsucml","zoological collection","fsucml: 841","EtOH","","",NA,NA,NA,40
"EtOH","fsucml","zoological collection","fsucml: 417","EtOH","","",NA,NA,NA,40
"EtOH","fsucml","zoological collection","fsucml: 222","EtOH","","",NA,NA,NA,40
"EtOH","fsucml","zoological collection","fsucml: 104","EtOH","","",NA,NA,NA,40
"EtOH","fsucml","zoological collection","fsucml: 306","EtOH","","",NA,NA,NA,40
"EtOH","fsucml","zoological collection","fsucml: 154","EtOH","","",NA,NA,NA,40
"EtOH","fsucml","zoological collection","fsucml: 684","EtOH","","",NA,NA,NA,40
"EtOH","fsucml","zoological collection","fsucml: 691","EtOH","","",NA,NA,NA,40
"EtOH","fsucml","zoological collection","fsucml: 370","EtOH","","",NA,NA,NA,40
"EtOH","fsucml","zoological collection","fsucml: 295","EtOH","","",NA,NA,NA,40
"EtOH","fsucml","zoological collection","fsucml: 481","EtOH","","",NA,NA,NA,40
"EtOH","fsucml","zoological collection","fsucml: 13","EtOH","","",NA,NA,NA,40
"EtOH","fsucml","zoological collection","fsucml: 119","EtOH","","",NA,NA,NA,40
"EtOH","fsucml","zoological collection","fsucml: 774","EtOH","","",NA,NA,NA,40
"EtOH","fsucml","zoological collection","fsucml: 276","EtOH","","",NA,NA,NA,40
"EtOH","fsucml","zoological collection","fsucml: 201","EtOH","","",NA,NA,NA,40
"EtOH","fsucml","zoological collection","fsucml: 537","EtOH","","",NA,NA,NA,40
"EtOH","fsucml","zoological collection","fsucml: 324","EtOH","","",NA,NA,NA,40
"EtOH","fsucml","zoological collection","fsucml: 967","EtOH","","",NA,NA,NA,40
"EtOH","fsucml","zoological collection","fsucml: 291","EtOH","","",NA,NA,NA,40
"EtOH","fsucml","zoological collection","fsucml: 317","EtOH","","",NA,NA,NA,40
"EtOH","fsucml","zoological collection","fsucml: 621","EtOH","","",NA,NA,NA,40
"EtOH","fsucml","zoological collection","fsucml: 591","EtOH","","",NA,NA,NA,40
"EtOH","fsucml","zoological collection","fsucml: 636","EtOH","","",NA,NA,NA,40
"EtOH","fsucml","zoological collection","fsucml: 699","EtOH","","",NA,NA,NA,40
"EtOH","fsucml","zoological collection","fsucml: 513","EtOH","","",NA,NA,NA,40
"EtOH","fsucml","zoological collection","fsucml: 309","EtOH","","",NA,NA,NA,40
"EtOH","fsucml","zoological collection","fsucml: 851","EtOH","","",NA,NA,NA,40
"EtOH","fsucml","zoological collection","fsucml: 423","EtOH","","",NA,NA,NA,40
"EtOH","fsucml","zoological collection","fsucml: 325","EtOH","","",NA,NA,NA,40
"EtOH","fsucml","zoological collection","fsucml: 919","EtOH","","",NA,NA,NA,40
"EtOH","fsucml","zoological collection","fsucml: 962","EtOH","","",NA,NA,NA,40
"EtOH","fsucml","zoological collection","fsucml: 268","EtOH","","",NA,NA,NA,40
"EtOH","fsucml","zoological collection","fsucml: 128","EtOH","","",NA,NA,NA,40
"EtOH","fsucml","zoological collection","fsucml: 696","EtOH","","",NA,NA,NA,40
"EtOH","fsucml","zoological collection","fsucml: 63","EtOH","","",NA,NA,NA,40
"EtOH","fsucml","zoological collection","fsucml: 447","EtOH","","",NA,NA,NA,40
"EtOH","fsucml","zoological collection","fsucml: 719","EtOH","","",NA,NA,NA,40
"EtOH","fsucml","zoological collection","fsucml: 373","EtOH","","",NA,NA,NA,40
"EtOH","fsucml","zoological collection","fsucml: 193","EtOH","","",NA,NA,NA,40
"EtOH","fsucml","zoological collection","fsucml: 267","EtOH","","",NA,NA,NA,40
"EtOH","fsucml","zoological collection","fsucml: 596","EtOH","","",NA,NA,NA,40
"EtOH","fsucml","zoological collection","fsucml: 316","EtOH","","",NA,NA,NA,40
"EtOH","fsucml","zoological collection","fsucml: 233","EtOH","","",NA,NA,NA,40
"EtOH","fsucml","zoological collection","fsucml: 218","EtOH","","",NA,NA,NA,40
"EtOH","fsucml","zoological collection","fsucml: 817","EtOH","","",NA,NA,NA,40
"EtOH","fsucml","zoological collection","fsucml: 40","EtOH","","",NA,NA,NA,40
"EtOH","fsucml","zoological collection","fsucml: 736","EtOH","","",NA,NA,NA,40
"EtOH","fsucml","zoological collection","fsucml: 704","EtOH","","",NA,NA,NA,40
"EtOH","fsucml","zoological collection","fsucml: 79","EtOH","","",NA,NA,NA,40
"EtOH","fsucml","zoological collection","fsucml: 893","EtOH","","",NA,NA,NA,40
"EtOH","fsucml","zoological collection","fsucml: 340","EtOH","","",NA,NA,NA,40
"EtOH","fsucml","zoological collection","fsucml: 503","EtOH","","",NA,NA,NA,40
"EtOH","fsucml","zoological collection","fsucml: 708","EtOH","","",NA,NA,NA,40
"EtOH","fsucml","zoological collection","fsucml: 465","EtOH","","",NA,NA,NA,40
"EtOH","fsucml","zoological collection","fsucml: 352","EtOH","","",NA,NA,NA,40
"EtOH","fsucml","zoological collection","fsucml: 288","EtOH","","",NA,NA,NA,40
"EtOH","fsucml","zoological collection","fsucml: 961","EtOH","","",NA,NA,NA,40
"EtOH","fsucml","zoological collection","fsucml: 693","EtOH","","",NA,NA,NA,40
"EtOH","fsucml","zoological collection","fsucml: 790","EtOH","","",NA,NA,NA,40
"EtOH","fsucml","zoological collection","fsucml: 485","EtOH","","",NA,NA,NA,40
"EtOH","fsucml","zoological collection","fsucml: 277","EtOH","","",NA,NA,NA,40
"EtOH","fsucml","zoological collection","fsucml: 815","EtOH","","",NA,NA,NA,40
"EtOH","fsucml","zoological collection","fsucml: 26","EtOH","","",NA,NA,NA,40
"EtOH","fsucml","zoological collection","fsucml: 843","EtOH","","",NA,NA,NA,40
"EtOH","fsucml","zoological collection","fsucml: 759","EtOH","","",NA,NA,NA,40
"EtOH","fsucml","zoological collection","fsucml: 22","EtOH","","",NA,NA,NA,40
"EtOH","fsucml","zoological collection","fsucml: 1009","EtOH","","",NA,NA,NA,40
"EtOH","fsucml","zoological collection","fsucml: 479","EtOH","","",NA,NA,NA,40
"EtOH","fsucml","zoological collection","fsucml: 535","EtOH","","",NA,NA,NA,40
"EtOH","fsucml","zoological collection","fsucml: 37","EtOH","","",NA,NA,NA,40
"EtOH","fsucml","zoological collection","fsucml: 379","EtOH","","",NA,NA,NA,40
"EtOH","fsucml","zoological collection","fsucml: 217","EtOH","","",NA,NA,NA,40
"EtOH","fsucml","zoological collection","fsucml: 559","EtOH","","",NA,NA,NA,40
"EtOH","fsucml","zoological collection","fsucml: 461","EtOH","","",NA,NA,NA,40
"EtOH","fsucml","zoological collection","fsucml: 359","EtOH","","",NA,NA,NA,40
"EtOH","fsucml","zoological collection","fsucml: 282","EtOH","","",NA,NA,NA,40
"EtOH","fsucml","zoological collection","fsucml: 958","EtOH","","",NA,NA,NA,40
"EtOH","fsucml","zoological collection","fsucml: 980","EtOH","","",NA,NA,NA,40
"EtOH","fsucml","zoological collection","fsucml: 833","EtOH","","",NA,NA,NA,40
