"Family","Count"
"cyprinidae",39705
"percidae",14612
"centrarchidae",12885
"catostomidae",8035
"ictaluridae",4990
"characidae",4483
"cichlidae",3026
"fundulidae",2789
"curimatidae",1401
"loricariidae",1362
"poeciliidae",1252
"clupeidae",1226
"cottidae",955
"esocidae",912
"anostomidae",766
"atherinopsidae",707
"petromyzontidae",588
"sciaenidae",570
"moronidae",567
"aphredoderidae",565
"triportheidae",503
"pimelodidae",489
"prochilodontidae",484
"lepisosteidae",470
"engraulidae",401
"erythrinidae",362
"umbridae",312
"",294
"heptapteridae",290
"serrasalmidae",276
"gasterosteidae",274
"callichthyidae",261
"doradidae",247
"salmonidae",241
"auchenipteridae",228
"lebiasinidae",211
"sternopygidae",207
"hemiodontidae",194
"hiodontidae",187
"acestrorhynchidae",170
"tetraodontidae",144
"gasteropelecidae",140
"trichomycteridae",140
"amiidae",132
"gobiidae",124
"hypopomidae",112
"crenuchidae",107
"cynodontidae",107
"eleotridae",106
"apteronotidae",103
"iguanodectidae",103
"elassomatidae",95
"aspredinidae",86
"anguillidae",84
"percopsidae",73
"amblyopsidae",70
"acipenseridae",64
"belonidae",57
"synbranchidae",53
"cyprinodontidae",52
"bryconidae",47
"rhamphichthyidae",45
"achiridae",43
"ctenoluciidae",41
"cetopsidae",40
"bagridae",38
"mugilidae",38
"gymnotidae",35
"polyodontidae",34
"pseudopimelodidae",33
"chilodontidae",29
"cobitidae",29
"gadidae",28
"osmeridae",27
"siluridae",27
"pristigasteridae",25
"syngnathidae",25
"ariidae",24
"paralichthyidae",24
"aplocheilidae",23
"scorpaenidae",21
"ageneiosidae",20
"sisoridae",20
"carangidae",18
"nemacheilidae",16
"parodontidae",13
"rivulidae",13
"triglidae",13
"mastacembelidae",12
"serranidae",12
"melastomataceae",11
"dasyatidae",10
"nototheniidae",10
"osphronemidae",10
"synodontidae",10
"gobiesocidae",9
"hexagrammidae",9
"nandidae",9
"pangasiidae",9
"pleuronectidae",9
"akysidae",8
"balitoridae",8
"chanidae",8
"clariidae",8
"curculionidae",8
"embiotocidae",8
"gerreidae",8
"ophidiidae",8
"osteoglossidae",8
"sparidae",8
"ogcocephalidae",7
"stromateidae",7
"zoarcidae",7
"agonidae",6
"batrachoididae",6
"chandidae",6
"haemulidae",6
"lutjanidae",6
"phycidae",6
"potamotrygonidae",6
"rajidae",6
"blenniidae",5
"cynoglossidae",5
"goodeidae",5
"myctophidae",5
"pomacentridae",5
"albulidae",4
"diodontidae",4
"hemitripteridae",4
"holocentridae",4
"labridae",4
"liparidae",4
"plotosidae",4
"schilbeidae",4
"scombridae",4
"sternoptychidae",4
"stichaeidae",4
"amblycipitidae",3
"antennariidae",3
"astroblepidae",3
"balistidae",3
"carcharhinidae",3
"centropomidae",3
"elopidae",3
"ephippidae",3
"exocoetidae",3
"kyphosidae",3
"labrisomidae",3
"lepidosirenidae",3
"monacanthidae",3
"notopteridae",3
"polynemidae",3
"scaridae",3
"sebastidae",3
"sphyraenidae",3
"urolophidae",3
"acropomatidae",2
"ammodytidae",2
"anablepidae",2
"apogonidae",2
"atherinidae",2
"chacidae",2
"channichthyidae",2
"cyclopteridae",2
"erethistidae",2
"gymnuridae",2
"macrouridae",2
"melamphaidae",2
"mullidae",2
"ophichthidae",2
"percophidae",2
"pholidae",2
"polycentridae",2
"polymixiidae",2
"pristolepididae",2
"psychrolutidae",2
"scoloplacidae",2
"siganidae",2
"squalidae",2
"stomiidae",2
"toxotidae",2
"trichiuridae",2
"uranoscopidae",2
"acanthuridae",1
"alepocephalidae",1
"amphiliidae",1
"anabantidae",1
"argentinidae",1
"arripidae",1
"auchenoglanididae",1
"bathydraconidae",1
"bathylagidae",1
"belontiidae",1
"branchiostomatidae",1
"caesionidae",1
"callionymidae",1
"carapidae",1
"centriscidae",1
"chaudhuriidae",1
"chaunacidae",1
"chimaeridae",1
"cirrhitidae",1
"claroteidae",1
"clinidae",1
"colletidae",1
"epigonidae",1
"etmopteridae",1
"fistulariidae",1
"galaxiidae",1
"gonostomatidae",1
"gyrinocheilidae",1
"halosauridae",1
"helostomatidae",1
"hemiramphidae",1
"heteropneustidae",1
"lobotidae",1
"lophiidae",1
"lottiidae",1
"malapteruridae",1
"malvaceae",1
"merlucciidae",1
"microdesmidae",1
"mochokidae",1
"moridae",1
"ostraciidae",1
"phosichthyidae",1
"pinguipedidae",1
"platycephalidae",1
"pomacanthidae",1
"priacanthidae",1
"scyliorhinidae",1
"sphyrnidae",1
"squatinidae",1
"synaphobranchidae",1
"torpedinidae",1
"triacanthodidae",1
"triakidae",1
