"dwc.scientificName","freq"
"Pimephales notatus",3783
"Campostoma anomalum",2912
"Semotilus atromaculatus",2829
"Lepomis cyanellus",2458
"Notropis stramineus",2275
"Lepomis macrochirus",2228
"Etheostoma nigrum",2148
"Luxilus chrysocephalus",1764
"Catostomus commersoni",1735
"Cyprinella spiloptera",1719
"Cyprinella lutrensis",1699
"Lythrurus umbratilis",1572
"Micropterus salmoides",1556
"Fundulus notatus",1534
"Lepomis megalotis",1517
"Nocomis biguttatus",1285
"Notropis dorsalis",1254
"Notropis atherinoides",1191
"Etheostoma flabellare",1154
"Phenacobius mirabilis",1154
"Etheostoma spectabile",1102
"Ameiurus natalis",1075
"Notemigonus crysoleucas",985
"Dorosoma cepedianum",981
"Gambusia affinis",948
"Pimephales promelas",938
"Moxostoma erythrurum",927
"Etheostoma caeruleum",915
"Hypentelium nigricans",902
"Micropterus dolomieu",883
"Cyprinus carpio",881
"Pimephales vigilax",839
"Notropis buccatus",838
"Ictalurus punctatus",828
"Lepomis humilis",795
"Esox americanus",761
"Percina maculata",733
"Carpiodes cyprinus",663
"Erimyzon claviformis",649
"Labidesthes sicculus",647
"Etheostoma blennioides",604
"Percina caprodes",598
"Ameiurus melas",593
"Fundulus olivaceus",593
"Moxostoma macrolepidotum",591
"Etheostoma zonale",581
"Aphredoderus sayanus",565
"Percina phoxocephala",558
"Luxilus cornutus",552
"Noturus gyrinus",552
"Chrosomus erythrogaster",551
"Hybognathus nuchalis",550
"Rhinichthys atratulus",544
"Cyprinella whipplei",539
"Noturus flavus",539
"Ambloplites rupestris",526
"Cottus carolinae",482
"Notropis percobromus",478
"Notropis blennius",476
"Pomoxis nigromaculatus",474
"Aplodinotus grunniens",469
"Pomoxis annularis",466
"Micropterus punctulatus",440
"Carpiodes carpio",395
"Macrhybopsis storeriana",383
"Notropis hudsonius",378
"Lepomis gulosus",367
"Lepomis gibbosus",354
"Morone chrysops",353
"Hoplias malabaricus",321
"Etheostoma gracile",316
"Ictiobus bubalus",303
"Satanoperca jurupari",296
"",291
"Percina sciera",289
"Notropis volucellus",286
"Umbra limi",284
"Campostoma oligolepis",280
"Notropis boops",280
"Mesonauta festivus",276
"Fundulus catenatus",272
"Cottus bairdi",269
"Noturus miurus",268
"Etheostoma asprigene",263
"Moxostoma anisurum",262
"Minytrema melanops",254
"Cyphocharax spilurus",244
"Acarichthys heckelii",235
"Pylodictis olivaris",233
"Triportheus angulatus",232
"Lepisosteus osseus",231
"Etheostoma chlorosomum",224
"Moxostoma duquesnei",218
"Cichla ocellaris",214
"Mylossoma duriventris",213
"Noturus nocturnus",207
"Heros severus",204
"Lythrurus fumeus",204
"Ictiobus cyprinellus",202
"Nocomis leptocephalus",201
"Lampetra aepyptera",198
"Schizodon fasciatus",198
"Cyprinella venusta",197
"Rhinichthys cataractae",196
"Notropis nubilus",192
"Carpiodes velifer",191
"Triportheus albus",188
"Mylossoma aureum",187
"Clinostomus funduloides",184
"Noturus exilis",184
"Notropis texanus",182
"Hybopsis amblops",180
"Lythrurus fasciolaris",178
"Lepisosteus platostomus",177
"Perca flavescens",177
"Etheostoma crossopterum",170
"Anchoviella guianensis",168
"Sander canadensis",166
"Opsopoeodus emiliae",165
"Etheostoma kennicotti",154
"Etheostoma simoterum",154
"Semaprochilodus insignis",154
"Culaea inconstans",152
"Etheostoma flavum",152
"Percina nigrofasciata",152
"Etheostoma squamiceps",150
"Nocomis micropogon",145
"Curimata K",144
"Notropis buchanani",143
"Sander vitreus",142
"Notropis wickliffi",141
"Morone mississippiensis",138
"Geophagus acuticeps",137
"Astyanax bimaculatus",136
"Notropis telescopus",136
"Triportheus elongatus",135
"Amia calva",132
"Etheostoma nigripinne",129
"Pimelodella",129
"Carassius auratus",128
"Lepomis auritus",128
"Macrhybopsis hyostoma",128
"Etheostoma exile",125
"Etheostoma microperca",123
"Ictiobus niger",123
"Luxilus zonatus",123
"Notropis leuciodus",123
"Apistogramma",122
"Geophagus surinamensis",120
"Semaprochilodus taeniurus",120
"Cyprinella galactura",119
"Colomesus psittacus",118
"Etheostoma rufilineatum",117
"Lepomis microlophus",116
"Leporinus friderici",116
"Acaronia nassa",113
"Erimyzon sucetta",112
"Aequidens pulcher",111
"Ctenobrycon spilurus",111
"Aphyocharax alburnus",110
"Alosa chrysochloris",109
"Cheirodon pulcher",109
"Esox lucius",109
"Centrarchus macropterus",107
"Potamorhina latior",107
"Prochilodus nigricans",107
"Fundulus dispar",106
"Crenicichla",104
"Etheostoma stigmaeum",104
"Gephyrocharax valencia",103
"Biotoecus opercularis",102
"Psectrogaster rutiloides",99
"Curimatopsis macrolepis",98
"Lampetra appendix",98
"Rineloricaria",98
"Ichthyomyzon castaneus",97
"Hiodon alosoides",96
"Etheostoma olmstedi",95
"Etheostoma zonistium",93
"Notropis chalybaeus",93
"Hiodon tergisus",91
"Roeboides dayi",90
"Gasterosteus aculeatus",89
"Steindachnerina argentea",89
"Percina shumardi",88
"Thoracocharax stellatus",87
"Hypostomus",86
"Etheostoma oophylax",85
"Anguilla rostrata",84
"Colossoma macropomum",82
"Rhinichthys osculus",82
"Etheostoma camurum",81
"Ichthyomyzon unicuspis",81
"Lepomis hybrid",81
"Farlowella vittata",80
"Etheostoma swaini",79
"Etheostoma whipplei",79
"Etheostoma lawrencei",78
"Cichlasoma bimaculatum",77
"Etheostoma proeliare",77
"Lepomis miniatus",76
"Moenkhausia collettii",76
"Hypoptopoma",75
"Elassoma zonatum",74
"Poecilia reticulata",74
"Erimystax x-punctatus",73
"Noturus insignis",73
"Fundulus diaphanus",72
"Microphilypnus",72
"Percopsis omiscomaycus",72
"Eigenmannia virescens",71
"Notropis rubellus",71
"Noturus eleutherus",71
"Characidium",70
"Notropis heterolepis",70
"Pyrrhulina lugubris",70
"Acestrorhynchus microlepis",69
"Ammocrypta pellucida",69
"Percina evides",68
"Neogobius melanostomus",67
"Ameiurus nebulosus",66
"Caquetaia kraussi",65
"Ammocrypta clara",63
"Luxilus coccogenis",63
"Notropis shumardi",63
"Lycengraulis batesii",62
"Microglanis iheringi",61
"Morone americana",61
"Notropis micropteryx",61
"Hybopsis amnis",60
"Xenagoniates bondi",60
"Colossoma brachypomum",59
"Dorosoma petenense",59
"Astyanax fasciatus",58
"Lepomis marginatus",58
"Rhaphiodon vulpinus",58
"Platygobio gracilis",57
"Hypentelium etowanum",56
"Oncorhynchus mykiss",56
"Prochilodus mariae",56
"Ctenopharyngodon idella",55
"Etheostoma bison",55
"Etheostoma duryi",55
"Notropis greenei",55
"Tetragonopterinae Tetragonopterinae",55
"Erimystax dissimilis",54
"Moenkhausia copei",54
"Moxostoma carinatum",54
"Poptella orbicularis",54
"Serrasalmus elongatus",54
"Serrasalmus rhombeus",54
"Ancistrus",53
"Cyprinella hybrid",53
"Loricariichthys brunneus",53
"Moenkhausia dichroura",53
"Pimelodus blochii",53
"Etheostoma smithi",52
"Luxilus pilsbryi",52
"Noturus leptacanthus",52
"Notropis heterodon",51
"Potamorhina altamazonica",51
"Rhamdia",51
"Roeboides affinis",51
"Serrasalmus",51
"Acestrorhynchus",50
"Charax gibbosus",50
"Etheostoma radiosum",50
"Forbesichthys agassizi",50
"Lepisosteus oculatus",50
"Psectrogaster ciliata",50
"Steindachnerina bimaculata",50
"Curimata kneri",49
"Etheostoma tetrazonum",49
"Rhytiodus microlepis",49
"Synbranchus marmoratus",49
"Chalceus erythrurus",48
"Hybognathus hankinsoni",48
"Knodus beta",48
"Notropis photogenis",48
"Pimelodus",48
"Alosa pseudoharengus",47
"Hemiodus microlepis",47
"Metynnis",47
"Curimatella immaculata",46
"Cyprinella callistia",46
"Leporinus fasciatus",46
"Percina roanoka",46
"Hypselecara temporalis",45
"Menidia beryllina",45
"Notropis lutipinnis",45
"Rhytiodus argenteofuscus",45
"Etheostoma luteovinctum",44
"Lythrurus ardens",44
"Enneacanthus gloriosus",43
"Noturus albater",43
"Tetragonopterus argenteus",43
"Triportheus auritus",43
"Cottus hypselurus",42
"Curimatella alburna",42
"Farlowella mariaelenae",42
"Lepomis symmetricus",42
"Notropis procne",42
"Cycleptus elongatus",41
"Gymnocorymbus thayeri",41
"Percina ouachitae",41
"Poecilia latipinna",41
"Salmo trutta",41
"Crenicichla geayi",40
"Hypophthalmichthys nobilis",40
"Luxilus albeolus",40
"Moenkhausia lepidura",40
"Scaphirhynchus platorynchus",40
"Astyanax polylepis",39
"Bryconamericus deuterodonoides",39
"Etheostoma olivaceum",39
"Notropis",39
"Paragoniates alburnus",39
"Percina stictogaster",39
"Hemitremia flammea",38
"Hypophthalmichthys molitrix",38
"Papiliochromis ramirezi",38
"Parauchenipterus galeatus",38
"Sternopygus macrurus",38
"Ctenobrycon hauxwellianus",37
"Cyphocharax festivus",37
"Etheostoma baileyi",37
"Lepomis punctatus",37
"Notropis longirostris",37
"Percina copelandi",37
"Phenacogaster megalostictus",37
"Cochliodon plecostomoides",36
"Hemigrammus",36
"Hemigrammus barrigonae",36
"Roeboides",36
"Etheostoma variatum",35
"Leporinus trifasciatus",35
"Notropis amplamala",35
"Ptychocheilus grandis",35
"Aequidens tetramerus",34
"Corydoras septemtrionalis",34
"Cyprinella analostana",34
"Esox niger",34
"Etheostoma kantuckeense",34
"Hemigrammus marginatus",34
"Pimelodella chagresi",34
"Polyodon spathula",34
"Uaru amphiacanthoides",34
"Brycon melanopterus",33
"Chrosomus oreas",33
"Creagrutus bolivari",33
"Cyprinella camura",33
"Etheostoma barrenense",33
"Hemiodus unimaculatus",33
"Hybognathus placitus",33
"Lasiancistrus",33
"Notropis rupestris",33
"Anchoviella jamesi",32
"Bunocephalus amaurus",32
"Etheostoma corona",32
"Etheostoma histrio",32
"Etheostoma punctulatum",32
"Notropis cummingsae",32
"Sorubim elongatus",32
"Bryconops giacopinii",31
"Hemigrammus schmardae",31
"Iguanodectes spilurus",31
"Markiana geayi",31
"Notropis stilbius",31
"Cichlasoma orinocense",30
"Etheostoma bellum",30
"Hemibrycon jabonero",30
"Heterandria formosa",30
"Laemolyta varia",30
"Micropterus coosae",30
"Notropis baileyi",30
"Plagioscion squamosissimus",30
"Prionobrama filigera",30
"Pungitius pungitius",30
"Satanoperca daemon",30
"Etheostoma lynceum",29
"Etheostoma pulchellum",29
"Geophagus abalios",29
"Hemibrycon metae",29
"Ictalurus furcatus",29
"Moxostoma",29
"Astronotus ocellatus",28
"Astyanax integer",28
"Etheostoma derivativum",28
"Etheostoma neopterum",28
"Etheostoma pseudovulatum",28
"Fundulus lineolatus",28
"Imparfinis",28
"Notropis xaenocephalus",28
"Pterophyllum scalare",28
"Carpiodes",27
"Catostomus occidentalis",27
"Characidium form",27
"Etheostoma gore",27
"Etheostoma jordani",27
"Hoplosternum littorale",27
"Hyphessobrycon",27
"LotaÊlota LotaÊlota",27
"Richardsonius balteatus",27
"Ambloplites ariommus",26
"Campostoma pauciradii",26
"Cottus cognatus",26
"Creagrutus hildebrandi",26
"Cyprinella trichroistia",26
"Eigenmannia macrops",26
"Etheostoma jimmycarter",26
"Exoglossum maxillingua",26
"Luxilus cerasinus",26
"Moenkhausia",26
"Oncorhynchus tshawytscha",26
"Otocinclus",26
"Percina palmaris",26
"Phenacogaster",26
"Astyanax metae",25
"Carassius carpio",25
"Characidae",25
