"Family","Count"
"Centrarchidae",463
"Catostomidae",388
"Ictaluridae",198
"Salmonidae",138
"Lepisosteidae",134
"Clupeidae",120
"Cyprinidae",106
"Percidae",47
"Sciaenidae",45
"Moronidae",38
"Amiidae",30
"Esocidae",23
"Lotidae",22
"Fundulidae",21
"Monacanthidae",17
"Polyodontidae",12
"Ariidae",9
"Acipenseridae",8
"Hiodontidae",8
"Sparidae",7
"Amblyopsidae",6
"Atherinopsidae",6
"Serranidae",6
"Anguillidae",5
"Gobiidae",5
"Mugilidae",5
"Syngnathidae",5
"Carangidae",4
"Diodontidae",4
"Pristidae",4
"Scaridae",4
"Gadidae",3
"Haemulidae",3
"Heterodontidae",3
"Ostraciidae",3
"Xiphiidae",3
"Dasyatidae",2
"Megalopidae",2
"Petromyzontidae",2
"Plotosidae",2
"Serrasalmidae",2
"Batrachoididae",1
"Cichlidae",1
"Cottidae",1
"Istiophoridae",1
"Latidae",1
"Latimeriidae",1
"Lepidosirenidae",1
"Loricariidae",1
"Malacanthidae",1
"Muraenidae",1
"Paralichthyidae",1
"Pleuronectidae",1
"Poeciliidae",1
"Polypteridae",1
"Pomatomidae",1
"Rhinobatidae",1
"Sebastidae",1
"Squalidae",1
"Synodontidae",1
"Torpedinidae",1
"Triakidae",1
"Triglidae",1
