"preps","institutioncode","collectioncode","catalognumber","Stand.Prep","Stand.Prep.2","Stand.Prep.3","Tissue","Photo","X","freq"
"Ethanol/Alcohol - 1","ism","ism-fish","630079","EtOH","","",NA,NA,NA,7
"Ethanol/Alcohol - 1","ism","ism-fish","630179","EtOH","","",NA,NA,NA,7
"Ethanol/Alcohol - 1","ism","ism-fish","630197","EtOH","","",NA,NA,NA,7
"Ethanol/Alcohol - 1","ism","ism-fish","630113","EtOH","","",NA,NA,NA,7
"Ethanol/Alcohol - 1","ism","ism-fish","630151","EtOH","","",NA,NA,NA,7
"Ethanol/Alcohol - 1","ism","ism-fish","630149","EtOH","","",NA,NA,NA,7
"Ethanol/Alcohol - 1","ism","ism-fish","630078","EtOH","","",NA,NA,NA,7
"Ethanol/Alcohol - 1","ism","ism-fish","630219","EtOH","","",NA,NA,NA,7
"Ethanol/Alcohol - 1","ism","ism-fish","630065","EtOH","","",NA,NA,NA,7
"Ethanol/Alcohol - 1","ism","ism-fish","630204","EtOH","","",NA,NA,NA,7
"Ethanol/Alcohol - 1","ism","ism-fish","630066","EtOH","","",NA,NA,NA,7
"Ethanol/Alcohol - 1","ism","ism-fish","630063","EtOH","","",NA,NA,NA,7
"Ethanol/Alcohol - 1","ism","ism-fish","630188","EtOH","","",NA,NA,NA,7
"Ethanol/Alcohol - 1","ism","ism-fish","630075","EtOH","","",NA,NA,NA,7
"Ethanol/Alcohol - 1","ism","ism-fish","630068","EtOH","","",NA,NA,NA,7
"Ethanol/Alcohol - 1","ism","ism-fish","630115","EtOH","","",NA,NA,NA,7
"Ethanol/Alcohol - 1","ism","ism-fish","630112","EtOH","","",NA,NA,NA,7
"Ethanol/Alcohol - 1","ism","ism-fish","630108","EtOH","","",NA,NA,NA,7
"Ethanol/Alcohol - 1","ism","ism-fish","630201","EtOH","","",NA,NA,NA,7
"Ethanol/Alcohol - 1","ism","ism-fish","630076","EtOH","","",NA,NA,NA,7
"Ethanol/Alcohol - 1","ism","ism-fish","631630","EtOH","","",NA,NA,NA,7
"Ethanol/Alcohol - 1","ism","ism-fish","630121","EtOH","","",NA,NA,NA,7
"Ethanol/Alcohol - 1","ism","ism-fish","630081","EtOH","","",NA,NA,NA,7
"Ethanol/Alcohol - 1","ism","ism-fish","630715","EtOH","","",NA,NA,NA,7
"Ethanol/Alcohol - 1","ism","ism-fish","631629","EtOH","","",NA,NA,NA,7
"Ethanol/Alcohol - 1","ism","ism-fish","631001","EtOH","","",NA,NA,NA,7
"Ethanol/Alcohol - 1","ism","ism-fish","681000","EtOH","","",NA,NA,NA,7
"Ethanol/Alcohol - 1","ism","ism-fish","630091","EtOH","","",NA,NA,NA,7
"Ethanol/Alcohol - 1","ism","ism-fish","630100","EtOH","","",NA,NA,NA,7
"Ethanol/Alcohol - 1","ism","ism-fish","630159","EtOH","","",NA,NA,NA,7
"Ethanol/Alcohol - 1","ism","ism-fish","630087","EtOH","","",NA,NA,NA,7
"Ethanol/Alcohol - 1","ism","ism-fish","630089","EtOH","","",NA,NA,NA,7
"Ethanol/Alcohol - 1","ism","ism-fish","630194","EtOH","","",NA,NA,NA,7
"Ethanol/Alcohol - 1","ism","ism-fish","630199","EtOH","","",NA,NA,NA,7
"Ethanol/Alcohol - 1","ism","ism-fish","630116","EtOH","","",NA,NA,NA,7
"Ethanol/Alcohol - 1","ism","ism-fish","630064","EtOH","","",NA,NA,NA,7
"Ethanol/Alcohol - 1","ism","ism-fish","630212","EtOH","","",NA,NA,NA,7
"Ethanol/Alcohol - 1","ism","ism-fish","681023","EtOH","","",NA,NA,NA,7
"Ethanol/Alcohol - 12","ism","ism-fish","630105","EtOH","","",NA,NA,NA,2
"Ethanol/Alcohol - 12","ism","ism-fish","630082","EtOH","","",NA,NA,NA,2
