"dwc.preparations","freq"
"70% Ethanol - 1",15204
"70% Ethanol - 2",7635
"70% Ethanol - 3",3007
"70% Ethanol - 4",2039
"70% Ethanol - 5",1856
"70% Ethanol - 6",1135
"70% Ethanol - 10",1065
"70% Ethanol - 7",927
"70% Ethanol - 8",736
"70% Ethanol - 9",593
"70% Ethanol - 11",471
"70% Ethanol - 12",368
"70% Ethanol - 15",358
"70% Ethanol - 13",268
"70% Ethanol - 14",252
"70% Ethanol - 20",219
"70% Ethanol - 17",204
"70% Ethanol - 16",201
"skeleton - 1",193
"70% Ethanol - 18",157
"70% Ethanol - 25",156
"70% Ethanol - 19",143
"70% Ethanol - 21",125
"",123
"70% Ethanol - 22",117
"70% Ethanol - 24",105
"70% Ethanol - 23",85
"70% Ethanol - 30",85
"70% Ethanol - 26",73
"70% Ethanol - 27",71
"70% Ethanol - 50",71
"70% Ethanol - 28",62
"70% Ethanol - 40",59
"70% Ethanol - 32",58
"70% Ethanol - 31",55
"70% Ethanol - 29",54
"70% Ethanol",53
"discarded - 1",51
"70% Ethanol - 36",50
"70% Ethanol - 34",44
"70% Ethanol - 37",44
"dried - 1",36
"70% Ethanol - 35",35
"70% Ethanol - 33",33
"70% Ethanol - 38",33
"70% Ethanol - 41",33
"70% Ethanol - 39",31
"70% Ethanol - 45",31
"70% Ethanol - 43",29
"70% Ethanol - 100",27
"70% Ethanol - 42",27
"70% Ethanol - 47",26
"70% Ethanol - 59",26
"70% Ethanol - 64",25
"70% Ethanol - 44",24
"70% Ethanol - 48",22
"70% Ethanol - 49",21
"70% Ethanol - 51",19
"70% Ethanol - 54",19
"70% Ethanol - 60",19
"70% Ethanol - 75",19
"70% Ethanol - 57",18
"70% Ethanol - 52",17
"70% Ethanol - 62",17
"70% Ethanol - 65",17
"70% Ethanol - 56",13
"70% Ethanol - 46",12
"70% Ethanol - 61",12
"dried - 2",12
"70% Ethanol - 53",11
"70% Ethanol - 63",11
"70% Ethanol - 71",11
"70% Ethanol - 80",11
"70% Ethanol - 90",11
"95% Ethanol - 1",11
"70% Ethanol - 200",10
"70% Ethanol - 265",10
"70% Ethanol - 55",10
"70% Ethanol - 67",10
"70% Ethanol - 70",10
"70% Ethanol - 72",10
"95% Ethanol - 5",10
"70% Ethanol - 58",9
"95% Ethanol - 2",8
"70% Ethanol - 103",7
"70% Ethanol - 127",7
"70% Ethanol - 69",7
"70% Ethanol - 78",7
"70% Ethanol - 81",7
"70% Ethanol - 84",7
"70% Ethanol - 85",7
"95% Ethanol - 4",7
"frozen - 1",7
"70% Ethanol - 105",6
"70% Ethanol - 66",6
"70% Ethanol - 73",6
"70% Ethanol - 76",6
"70% Ethanol - 87",6
"70% Ethanol - 89",6
"Cleared and stained - 1",6
"discarded - 2",6
"dried - 5",6
"70% Ethanol - 104",5
"70% Ethanol - 120",5
"70% Ethanol - 150",5
"70% Ethanol - 68",5
"70% Ethanol - 77",5
"70% Ethanol - 83",5
"70% Ethanol - 88",5
"70% Ethanol - 93",5
"70% Ethanol - 98",5
"95% Ethanol - 3",5
"discarded - 3",5
"dried - 3",5
"dried - 4",5
"frozen - 5",5
"70% Ethanol - 0",4
"70% Ethanol - 106",4
"70% Ethanol - 115",4
"70% Ethanol - 125",4
"70% Ethanol - 130",4
"70% Ethanol - 302",4
"70% Ethanol - 79",4
"70% Ethanol - 91",4
"70% Ethanol - 94",4
"70% Ethanol - 101",3
"70% Ethanol - 107",3
"70% Ethanol - 109",3
"70% Ethanol - 110",3
"70% Ethanol - 111",3
"70% Ethanol - 116",3
"70% Ethanol - 119",3
"70% Ethanol - 122",3
"70% Ethanol - 128",3
"70% Ethanol - 135",3
"70% Ethanol - 153",3
"70% Ethanol - 156",3
"70% Ethanol - 157",3
"70% Ethanol - 168",3
"70% Ethanol - 250",3
"70% Ethanol - 5; 95% Ethanol - 5",3
"70% Ethanol - 82",3
"70% Ethanol - 92",3
"70% Ethanol - 95",3
"70% Ethanol - 97",3
"frozen - 2",3
"skeleton - 2",3
"70% Ethanol - 1; 95% Ethanol - 5",2
"70% Ethanol - 10; 95% Ethanol - 5",2
"70% Ethanol - 108",2
"70% Ethanol - 113",2
"70% Ethanol - 123",2
"70% Ethanol - 124",2
"70% Ethanol - 126",2
"70% Ethanol - 129",2
"70% Ethanol - 132",2
"70% Ethanol - 133",2
"70% Ethanol - 137",2
"70% Ethanol - 142",2
"70% Ethanol - 145",2
"70% Ethanol - 148",2
"70% Ethanol - 154",2
"70% Ethanol - 155",2
"70% Ethanol - 160",2
"70% Ethanol - 161",2
"70% Ethanol - 174",2
"70% Ethanol - 179",2
"70% Ethanol - 186",2
"70% Ethanol - 189",2
"70% Ethanol - 198",2
"70% Ethanol - 2; 95% Ethanol - 2",2
"70% Ethanol - 226",2
"70% Ethanol - 229",2
"70% Ethanol - 245",2
"70% Ethanol - 300",2
"70% Ethanol - 301",2
"70% Ethanol - 309",2
"70% Ethanol - 334",2
"70% Ethanol - 350",2
"70% Ethanol - 563",2
"70% Ethanol - 74",2
"70% Ethanol - 96",2
"70% Ethanol - 99",2
"95% Ethanol - 8",2
"Cleared and stained - 1; Sectioned (Histology) - 1",2
"discarded - 10",2
"discarded - 5",2
"discarded - 7",2
"dried - 6",2
"dried - 7",2
"dried - 8",2
"frozen",2
"frozen - 10",2
"frozen - 3",2
"frozen - 4",2
"70% Ethanol - 1; 70% Ethanol - 1",1
"70% Ethanol - 1; Cleared and stained - 1",1
"70% Ethanol - 10; Cleared and stained - 5",1
"70% Ethanol - 102",1
"70% Ethanol - 112",1
"70% Ethanol - 114",1
"70% Ethanol - 118",1
"70% Ethanol - 121",1
"70% Ethanol - 13; 95% Ethanol - 5",1
"70% Ethanol - 131",1
"70% Ethanol - 134",1
"70% Ethanol - 138",1
"70% Ethanol - 139",1
"70% Ethanol - 14; Cleared and stained - 5",1
"70% Ethanol - 141",1
"70% Ethanol - 144",1
"70% Ethanol - 147",1
"70% Ethanol - 15; 95% Ethanol - 5",1
"70% Ethanol - 151",1
"70% Ethanol - 152",1
"70% Ethanol - 158",1
"70% Ethanol - 16; Cleared and stained - 1",1
"70% Ethanol - 163",1
"70% Ethanol - 166",1
"70% Ethanol - 167",1
"70% Ethanol - 169",1
"70% Ethanol - 171",1
"70% Ethanol - 176",1
"70% Ethanol - 178",1
"70% Ethanol - 180",1
"70% Ethanol - 1800",1
"70% Ethanol - 181",1
"70% Ethanol - 183",1
"70% Ethanol - 184",1
"70% Ethanol - 187",1
"70% Ethanol - 188",1
"70% Ethanol - 190",1
"70% Ethanol - 196",1
"70% Ethanol - 199",1
"70% Ethanol - 2; 95% Ethanol - 3",1
"70% Ethanol - 2; 95% Ethanol - 7",1
"70% Ethanol - 20; 95% Ethanol - 7",1
"70% Ethanol - 203",1
"70% Ethanol - 204",1
"70% Ethanol - 208",1
"70% Ethanol - 21; discarded - 2",1
"70% Ethanol - 213",1
"70% Ethanol - 215",1
"70% Ethanol - 223",1
"70% Ethanol - 23; 95% Ethanol - 5",1
"70% Ethanol - 23; discarded - 2",1
"70% Ethanol - 23; discarded - 3",1
"70% Ethanol - 231",1
"70% Ethanol - 236",1
"70% Ethanol - 24; 95% Ethanol - 8",1
"70% Ethanol - 243",1
"70% Ethanol - 244",1
"70% Ethanol - 247",1
"70% Ethanol - 248",1
"70% Ethanol - 251",1
"70% Ethanol - 253",1
"70% Ethanol - 254",1
"70% Ethanol - 263",1
"70% Ethanol - 27; 95% Ethanol - 5",1
"70% Ethanol - 27; Cleared and stained - 2",1
"70% Ethanol - 272",1
"70% Ethanol - 281",1
"70% Ethanol - 283",1
"70% Ethanol - 288",1
"70% Ethanol - 3; 95% Ethanol - 1",1
"70% Ethanol - 3; Cleared and stained - 1",1
"70% Ethanol - 3; discarded - 3",1
"70% Ethanol - 30; 95% Ethanol - 5",1
"70% Ethanol - 31; discarded - 2",1
"70% Ethanol - 324",1
"70% Ethanol - 326",1
"70% Ethanol - 364",1
"70% Ethanol - 365",1
"70% Ethanol - 37; Cleared and stained - 5",1
"70% Ethanol - 378",1
"70% Ethanol - 38; discarded - 2",1
"70% Ethanol - 393",1
