"Family","Count"
"cyprinidae",14150
"percidae",7192
"centrarchidae",3770
"catostomidae",3479
"ictaluridae",1907
"cottidae",888
"salmonidae",862
"gasterosteidae",833
"umbridae",816
"esocidae",654
"petromyzontidae",594
"fundulidae",582
"blenniidae",519
"lottiidae",281
"clupeidae",267
"atherinopsidae",214
"sciaenidae",204
"percopsidae",182
"engraulidae",179
"poeciliidae",156
"moronidae",111
"hiodontidae",106
"gobiidae",90
"lepisosteidae",86
"amiidae",85
"carangidae",79
"labridae",66
"pleuronectidae",58
"mugilidae",45
"aphredoderidae",37
"sparidae",37
"acipenseridae",36
"serranidae",32
"tetraodontidae",31
"curculionidae",30
"haemulidae",30
"anguillidae",28
"paralichthyidae",28
"pomacentridae",28
"leiognathidae",27
"syngnathidae",27
"elassomatidae",26
"stichaeidae",26
"gadidae",25
"acropomatidae",23
"embiotocidae",23
"osmeridae",23
"cichlidae",22
"holocentridae",22
"acanthuridae",19
"apogonidae",19
"mullidae",19
"batrachoididae",18
"chaetodontidae",18
"triglidae",18
"monacanthidae",17
"",16
"ambassidae",16
"cyprinodontidae",16
"gerreidae",16
"pholidae",16
"scorpaenidae",16
"sebastidae",16
"stromateidae",16
"ophichthidae",15
"pristigasteridae",15
"sillaginidae",15
"lutjanidae",14
"polyodontidae",14
"bothidae",13
"achiridae",12
"agonidae",12
"synodontidae",12
"cynoglossidae",11
"eleotridae",11
"hexagrammidae",11
"terapontidae",11
"dussumieriidae",10
"sphyraenidae",9
"stomiidae",9
"zoarcidae",9
"atherinidae",8
"balistidae",8
"gobiesocidae",8
"muraenidae",8
"phycidae",8
"polynemidae",8
"rajidae",8
"scaridae",8
"callionymidae",7
"cirrhitidae",7
"diodontidae",7
"hemiramphidae",7
"psychrolutidae",7
"scombridae",7
"trichiuridae",7
"albulidae",6
"chanidae",6
"cryptacanthodidae",6
"platycephalidae",6
"ariidae",5
"chimaeridae",5
"chirocentridae",5
"cobitidae",5
"elopidae",5
"kuhliidae",5
"merlucciidae",5
"ostraciidae",5
"pomacanthidae",5
"pomatomidae",5
"antennariidae",4
"bathymasteridae",4
"chlorophthalmidae",4
"echeneidae",4
"etmopteridae",4
"hemitripteridae",4
"malacanthidae",4
"melolonthidae",4
"nototheniidae",4
"ophidiidae",4
"paralepididae",4
"siganidae",4
"squalidae",4
"tripterygiidae",4
"ammodytidae",3
"aulostomidae",3
"belonidae",3
"bregmacerotidae",3
"clinidae",3
"congridae",3
"dactylopteridae",3
"ephippidae",3
"fistulariidae",3
"goodeidae",3
"hoplichthyidae",3
"kyphosidae",3
"liparidae",3
"loricariidae",3
"myctophidae",3
"myxinidae",3
"narcinidae",3
"nemacheilidae",3
"null",3
"ogcocephalidae",3
"priacanthidae",3
"tetrarogidae",3
"trachichthyidae",3
"triacanthodidae",3
"triakidae",3
"uranoscopidae",3
"alepocephalidae",2
"amblyopsidae",2
"argentinidae",2
"aulorhynchidae",2
"carcharhinidae",2
"centriscidae",2
"clariidae",2
"cottocomephoridae",2
"creediidae",2
"gymnuridae",2
"labrisomidae",2
"macrouridae",2
"monocentridae",2
"mormyridae",2
"peristediidae",2
"polymixiidae",2
"scatophagidae",2
"scyliorhinidae",2
"setarchidae",2
"soleidae",2
"sphyrnidae",2
"zanclidae",2
"zenarchopteridae",2
"zenionidae",2
"amphiliidae",1
"anabantidae",1
"anablepidae",1
"anarhichadidae",1
"anoplopomatidae",1
"aploactinidae",1
"ateleopodidae",1
"bagridae",1
"banjosidae",1
"bathyclupeidae",1
"bembridae",1
"branchiostomatidae",1
"carapidae",1
"centrolophidae",1
"cepolidae",1
"champsodontidae",1
"characidae",1
"cheilodactylidae",1
"comephoridae",1
"emmelichthyidae",1
"epigonidae",1
"exocoetidae",1
"gempylidae",1
"howellidae",1
"latiidae",1
"leptobramidae",1
"lethrinidae",1
"mastacembelidae",1
"melamphaidae",1
"menidae",1
"microdesmidae",1
"mochokidae",1
"monodactylidae",1
"moridae",1
"muraenesocidae",1
"neoceratodontidae",1
"nomeidae",1
"opistognathidae",1
"osphronemidae",1
"osteoglossidae",1
"percophidae",1
"phallostethidae",1
"pinguipedidae",1
"plesiopidae",1
"plotosidae",1
"pristidae",1
"pseudomugilidae",1
"rachycentridae",1
"rhinobatidae",1
"samaridae",1
"schilbeidae",1
"scomberesocidae",1
"serrasalmidae",1
"sisoridae",1
"sternoptychidae",1
"torpedinidae",1
"triacanthidae",1
"urolophidae",1
"urotrygonidae",1
"zeidae",1
