"dwc.scientificName","freq"
"Catostomus commersoni",1268
"Etheostoma nigrum",1251
"Semotilus atromaculatus",886
"Pimephales promelas",870
"Umbra limi",811
"Culaea inconstans",752
"Rhinichthys atratulus",748
"Luxilus cornutus",734
"Perca flavescens",732
"Pimephales notatus",712
"Campostoma anomalum",636
"Lepomis macrochirus",570
"Esox lucius",562
"Percina maculata",562
"Cyprinella spiloptera",552
"Lepomis cyanellus",534
"Etheostoma exile",533
"Sander vitreus",532
"Percina caprodes",460
"Micropterus salmoides",459
"Rhinichthys cataractae",455
"Ameiurus melas",441
"Chrosomus eos",432
"Ambloplites rupestris",422
"Nocomis biguttatus",402
"Hybognathus hankinsoni",381
"Notemigonus crysoleucas",367
"Moxostoma macrolepidotum",366
"Margariscus margarita",365
"Noturus gyrinus",363
"Cottus bairdi",361
"Notropis dorsalis",357
"Hypentelium nigricans",353
"Etheostoma zonale",349
"Notropis hudsonius",329
"Lepomis gibbosus",314
"Lepomis humilis",308
"Notropis heterolepis",308
"Notropis stramineus",300
"Chrosomus neogaeus",296
"Carpiodes cyprinus",295
"Coregonus artedi",287
"Lota lota",280
"Etheostoma flabellare",279
"Notropis atherinoides",272
"Etheostoma caeruleum",271
"Pomoxis nigromaculatus",264
"Etheostoma microperca",252
"Micropterus dolomieu",251
"Percina phoxocephala",241
"Fundulus diaphanus",239
"Cyprinus carpio",237
"Ameiurus natalis",236
"Notropis volucellus",229
"Notropis heterodon",215
"Noturus flavus",211
"Moxostoma erythrurum",206
"Notropis percobromus",201
"Cottus cognatus",188
"Percopsis omiscomaycus",181
"Labidesthes sicculus",178
"Percina evides",165
"Etheostoma blennioides",158
"Notropis texanus",158
"Lepomis megalotis",156
"Moxostoma anisurum",156
"Luxilus chrysocephalus",155
"Salvelinus fontinalis",147
"Ichthyomyzon castaneus",143
"Ictalurus punctatus",141
"Campostoma oligolepis",139
"Aplodinotus grunniens",133
"Notropis nubilus",132
"Phenacobius mirabilis",132
"Notropis anogenus",124
"Chrosomus erythrogaster",122
"Lythrurus umbratilis",118
"Lampetra appendix",115
"Lepomis hybrid",112
"Notropis topeka",111
"Dorosoma cepedianum",109
"Couesius plumbeus",107
"Percina shumardi",107
"Pimephales vigilax",104
"Moxostoma duquesnei",103
"Notropis blennius",103
"Cottus carolinae",102
"Cyprinella lutrensis",100
"Fundulus catenatus",94
"Ichthyomyzon unicuspis",94
"Fundulus olivaceus",91
"Macrhybopsis storeriana",90
"Moxostoma valenciennesi",90
"Gambusia affinis",88
"Oncorhynchus mykiss",88
"Ameiurus nebulosus",85
"Amia calva",85
"Catostomus catostomus",85
"Hybopsis amblops",85
"Macrhybopsis hyostoma",84
"Morone chrysops",84
"Notropis boops",79
"Salmo trutta",79
"Sander canadensis",78
"Pomoxis annularis",77
"Ictiobus cyprinellus",75
"Percina sciera",73
"Cyprinella camura",71
"Noturus miurus",71
"Etheostoma stigmaeum",69
"Coregonus clupeaformis",68
"Ichthyomyzon fossor",68
"Ichthyomyzon gagei",68
"Etheostoma rufilineatum",67
"Pylodictis olivaris",65
"Cottus perplexus",64
"Carpiodes velifer",63
"Hiodon tergisus",62
"Ictiobus bubalus",62
"Notropis telescopus",62
"Cyprinella galactura",61
"Carpiodes carpio",60
"Clinostomus elongatus",60
"Cyprinella venusta",60
"Hybognathus nuchalis",60
"Etheostoma asprigene",59
"Etheostoma simoterum",59
"Cyprinella whipplei",57
"Ammocrypta clara",56
"Lepomis peltastes",55
"Esox masquinongy",53
"Minytrema melanops",53
"Opsopoeodus emiliae",53
"Notropis leuciodus",52
"Salvelinus namaycush",52
"Nocomis micropogon",51
"Noturus exilis",51
"Ichthyomyzon",50
"Erimystax x-punctatus",47
"Etheostoma spectabile",44
"Hiodon alosoides",44
"Luxilus coccogenis",44
"Moxostoma carinatum",44
"Pungitius pungitius",44
"Lepisosteus osseus",43
"Nocomis leptocephalus",43
"Notropis micropteryx",42
"Notropis rubellus",41
"Etheostoma lynceum",38
"Lepomis gulosus",38
"Micropterus punctulatus",38
"Aphredoderus sayanus",37
"Erimystax dissimilis",36
"Fundulus notatus",35
"Salvelinus siscowet",35
"Cycleptus elongatus",34
"Notropis photogenis",34
"Noturus phaeus",34
"Lepisosteus platostomus",33
"Etheostoma swaini",32
"Lepomis auritus",31
"Lythrurus fasciolaris",31
"Gobiidae",30
"Luxilus zonatus",30
"Crystallaria asprella",29
"Percina nigrofasciata",29
"Cottus rhotheus",28
"Gasterosteus aculeatus",28
"Notropis greenei",28
"Salarias fasciatus",28
"Thryssa hamiltonii",28
"Notropis wickliffi",27
"Anguilla rostrata",26
"Erimystax insignis",26
"Etheostoma camurum",25
"Ammocrypta beanii",24
"Luxilus pilsbryi",24
"Noturus hildebrandi",24
"Elassoma zonatum",23
"Fundulus sciadicus",23
"Percina copelandi",23
"Poecilia latipinna",23
"Anchoa mitchilli",22
"Noturus maydeni",22
"Osmerus mordax",22
"Alosa chrysochloris",21
"Clinostomus funduloides",21
"Cyprinid hybrid",21
"Esox americanus",21
"Istiblennius edentulus",21
"Menidia beryllina",21
"Noturus insignis",20
