"dwc.preparations","freq"
"EtOH - 1",12320
"Tissue - 100",9974
"EtOH - 2",4931
"EtOH - 3",2738
"EtOH - 5",2479
"EtOH - 4",1920
"EtOH - 6",1295
"EtOH - 7",1030
"EtOH - 8",855
"EtOH - 10",840
"EtOH - 9",744
"Skel - 1",650
"EtOH - 11",546
"EtOH - 12",510
"EtOH - 20",461
"EtOH - 15",438
"EtOH - 13",425
"Tissue - 0",407
"EtOH - 14",376
"EtOH - 16",326
"C&S - 1",284
"EtOH - 17",276
"EtOH - 18",273
"EtOH - 21",261
"EtOH - 19",258
"EtOH - 25",218
"EtOH - 22",209
"EtOH - 23",181
"EtOH - 30",173
"EtOH - 27",160
"EtOH - 24",156
"EtOH - 26",145
"EtOH - 28",141
"EtOH - 29",135
"EtOH - 31",118
"C&S - 2",109
"EtOH - 32",107
"EtOH - 35",105
"EtOH - 40",103
"EtOH - 33",100
"EtOH - 38",92
"EtOH - 34",89
"EtOH - 37",85
"EtOH - 50",82
"EtOH - 41",77
"EtOH - 39",71
"C&S - 3",70
"EtOH - 42",67
"EtOH - 44",64
"EtOH - 45",64
"EtOH - 36",60
"EtOH - 43",58
"EtOH - 52",56
"EtOH - 48",55
"EtOH - 46",54
"C&S - 5",52
"EtOH - 56",48
"X-Ray - 1; EtOH - 1",48
"EtOH - 1; X-Ray - 1",47
"EtOH - 47",46
"EtOH - 49",46
"EtOH - 53",46
"EtOH - 54",46
"EtOH - 51",44
"EtOH - 55",43
"C&S - 4",40
"EtOH - 57",39
"EtOH - 66",39
"EtOH - 1; C&S - 1",35
"EtOH - 100",33
"C&S - 1; EtOH - 1",32
"EtOH - 70",32
"EtOH - 67",31
"EtOH - 68",31
"EtOH - 60",29
"C&S - 6",26
"EtOH - 65",26
"EtOH - 61",25
"EtOH - 74",25
"C&S - 8",24
"EtOH - 2; C&S - 1",24
"EtOH - 59",24
"EtOH - 62",24
"EtOH - 63",24
"EtOH - 69",24
"EtOH - 81",24
"C&S - 7",23
"EtOH - 71",23
"EtOH - 76",23
"EtOH - 78",23
"EtOH - 58",22
"EtOH - 95",22
"X-Ray - 1; EtOH - 2",22
"C&S - 1; EtOH - 2",21
"EtOH - 3; C&S - 1",21
"EtOH - 64",21
"EtOH - 72",21
"EtOH - 73",21
"EtOH - 90",21
"EtOH - 77",20
"EtOH - 80",20
"EtOH - 75",19
"EtOH - 87",19
"EtOH - 94",19
"EtOH - 79",18
"Skel - 2",18
"C&S - 10",17
"EtOH - 2; C&S - 2",17
"EtOH - 82",17
"EtOH - 92",17
"EtOH - 99",17
"EtOH - 84",16
"EtOH - 85",16
"EtOH - 3; X-Ray - 1",15
"EtOH - 104",14
"EtOH - 107",14
"EtOH - 120",14
"EtOH - 86",14
"EtOH - 88",14
"X-Ray - 1; EtOH - 3",14
"C&S - 1; EtOH - 3",13
"C&S - 2; EtOH - 2",13
"EtOH - 112",13
"EtOH - 2; X-Ray - 1",13
"EtOH - 4; C&S - 2",13
"EtOH - 83",13
"EtOH - 98",13
"EtOH - 1; Skel - 1",12
"EtOH - 113",12
"EtOH - 114",12
"EtOH - 200",12
