"Family","Count"
"cyprinidae",16665
"percidae",6255
"centrarchidae",4542
"catostomidae",2579
"ictaluridae",2556
"fundulidae",1668
"poeciliidae",977
"clupeidae",581
"cottidae",571
"characidae",549
"pomacentridae",507
"sciaenidae",495
"atherinopsidae",477
"gobiidae",403
"serranidae",359
"labridae",346
"apogonidae",303
"lepisosteidae",298
"pleuronectidae",290
"cichlidae",278
"blenniidae",256
"carangidae",253
"sebastidae",250
"stomiidae",198
"myctophidae",192
"nemacheilidae",186
"moronidae",182
"tetraodontidae",175
"acipenseridae",172
"holocentridae",157
"ophidiidae",156
"acanthuridae",154
"paralichthyidae",153
"loricariidae",149
"scorpaenidae",145
"pomacanthidae",138
"salmonidae",135
"lutjanidae",133
"chaetodontidae",128
"balistidae",124
"cyprinodontidae",124
"trichomycteridae",124
"sisoridae",114
"sparidae",114
"esocidae",108
"engraulidae",106
"zoarcidae",105
"cobitidae",103
"petromyzontidae",102
"triglidae",102
"monacanthidae",100
"macrouridae",97
"mugilidae",95
"heptapteridae",93
"gasterosteidae",91
"haemulidae",91
"muraenidae",89
"chanidae",88
"synodontidae",86
"sternoptychidae",80
"syngnathidae",80
"embiotocidae",75
"gerreidae",75
"hiodontidae",73
"mullidae",70
"scombridae",69
"liparidae",68
"agonidae",67
"erythrinidae",65
"gadidae",65
"rajidae",64
"stichaeidae",64
"rivulidae",60
"elassomatidae",59
"gonostomatidae",59
"ophichthidae",59
"scaridae",56
"hexagrammidae",54
"moridae",53
"alepocephalidae",52
"aphredoderidae",52
"batrachoididae",52
"scyliorhinidae",51
"perciliidae",47
"bagridae",46
"belonidae",46
"atherinidae",43
"trichiuridae",43
"bothidae",42
"ambassidae",41
"umbridae",41
"bathylagidae",40
"cynoglossidae",40
"phycidae",40
"congridae",39
"eleotridae",39
"exocoetidae",39
"melamphaidae",39
"siganidae",39
"lethrinidae",38
"pimelodidae",38
"cirrhitidae",37
"melanotaeniidae",37
"schilbeidae",37
"dasyatidae",36
"lebiasinidae",36
"merlucciidae",36
"synbranchidae",36
"amiidae",35
"arhynchobatidae",35
"callichthyidae",35
"ostraciidae",35
"callionymidae",33
"labrisomidae",33
"priacanthidae",33
"psilorhynchidae",33
"microdesmidae",32
"stromateidae",32
"mastacembelidae",31
"psychrolutidae",31
"achiridae",30
"chimaeridae",29
"crenuchidae",29
"ephippidae",29
"gobiesocidae",29
"hemiramphidae",29
"paralepididae",29
"pholidae",29
"sphyraenidae",29
"tripterygiidae",29
"curculionidae",28
"ogcocephalidae",28
"synaphobranchidae",28
"anguillidae",27
"ariidae",27
"bythitidae",27
"chlorophthalmidae",27
"percopsidae",27
"polyodontidae",27
"uranoscopidae",27
"curimatidae",26
"acropomatidae",25
"argentinidae",25
"cetomimidae",25
"chaenopsidae",25
"pempheridae",25
"diodontidae",24
"gymnotidae",24
"polymixiidae",24
"bathymasteridae",23
"chiasmodontidae",23
"osmeridae",23
"peristediidae",23
"platytroctidae",22
"squalidae",22
"amblyopsidae",21
"caesionidae",21
"lottiidae",21
"phosichthyidae",21
"ariommatidae",20
"astroblepidae",20
"percichthyidae",20
"polynemidae",20
"amblycipitidae",19
"anablepidae",19
"carcharhinidae",19
"goodeidae",19
"lophiidae",19
"nemichthyidae",19
"pinguipedidae",19
"antennariidae",18
"badidae",18
"gempylidae",18
"serrasalmidae",18
"triakidae",18
"cyclopteridae",17
"malacanthidae",17
"soleidae",17
"torpedinidae",17
"zeidae",17
"anostomidae",16
"epigonidae",16
"nomeidae",16
"platycephalidae",16
"erethistidae",15
"pseudochromidae",15
"balitoridae",14
"centropomidae",14
"chaunacidae",14
"halosauridae",14
"notacanthidae",14
"percophidae",14
"serrivomeridae",14
"albulidae",13
"caproidae",13
"ceratiidae",13
"echeneidae",13
"fistulariidae",13
"osphronemidae",13
"polypteridae",13
"pseudomugilidae",13
"siluridae",13
"squatinidae",13
"clariidae",12
"clinidae",12
"evermannellidae",12
"gasteropelecidae",12
"ipnopidae",12
"prochilodontidae",12
"samaridae",12
"scophthalmidae",12
"ammodytidae",11
"anoplogastridae",11
"aulostomidae",11
"centrophoridae",11
"dussumieriidae",11
"elopidae",11
"myliobatidae",11
"myxinidae",11
"nettastomatidae",11
"rhinobatidae",11
"trachichthyidae",11
"alepisauridae",10
"anoplopomatidae",10
"auchenipteridae",10
"bryconidae",10
"dactyloscopidae",10
"hemitripteridae",10
"hypopomidae",10
"iguanodectidae",10
"kyphosidae",10
"nemipteridae",10
"zanclidae",10
"amphiliidae",9
"anarhichadidae",9
"aplocheilidae",9
"carapidae",9
"centriscidae",9
"etmopteridae",9
"leiognathidae",9
"oneirodidae",9
"polyprionidae",9
"pomatomidae",9
"potamotrygonidae",9
"scopelarchidae",9
"bramidae",8
"caristiidae",8
"grammatidae",8
"megalopidae",8
"molidae",8
"moringuidae",8
"plesiopidae",8
"rondeletiidae",8
"anabantidae",7
"heteropneustidae",7
"istiophoridae",7
"kuhliidae",7
"notopteridae",7
"osteoglossidae",7
"pantodontidae",7
"plotosidae",7
"profundulidae",7
"rhinochimaeridae",7
"trachipteridae",7
"apteronotidae",6
"centrolophidae",6
"cheilodactylidae",6
"citharidae",6
"derichthyidae",6
"eurypharyngidae",6
"hemiodontidae",6
"heterodontidae",6
"howellidae",6
"lampridae",6
"lobotidae",6
"melanocetidae",6
"notosudidae",6
"opistognathidae",6
"pangasiidae",6
"parazenidae",6
"scomberesocidae",6
"sphyrnidae",6
"urolophidae",6
"urotrygonidae",6
"zaproridae",6
"berycidae",5
"bregmacerotidae",5
"cyclopterinidae",5
"diplomystidae",5
"diretmidae",5
"omosudidae",5
"polycentridae",5
"pristigasteridae",5
"rachycentridae",5
"terapontidae",5
"triacanthodidae",5
"alestidae",4
"anotopteridae",4
"aspredinidae",4
"bathysauridae",4
"cetopsidae",4
