"dwc.scientificName","freq"
"Campostoma anomalum",1378
"Cyprinella lutrensis",1177
"Etheostoma spectabile",1032
"Notropis stramineus",964
"Lepomis cyanellus",934
"Pimephales notatus",836
"Semotilus atromaculatus",811
"Gambusia affinis",734
"Pimephales promelas",707
"Lepomis megalotis",627
"Lepomis macrochirus",595
"Micropterus salmoides",585
"Lepomis humilis",536
"Ameiurus melas",526
"Phenacobius mirabilis",515
"Lythrurus umbratilis",507
"Ictalurus punctatus",464
"Notropis topeka",449
"Percina caprodes",422
"Ameiurus natalis",405
"Dorosoma cepedianum",398
"Catostomus commersonii",356
"Cyprinus carpio",352
"Fundulus zebrinus",338
"Etheostoma flabellare",331
"Labidesthes sicculus",331
"Etheostoma nigrum",325
"Carpiodes carpio",322
"Pimephales vigilax",317
"Moxostoma erythrurum",315
"Fundulus notatus",307
"Etheostoma blennioides",300
"Percina phoxocephala",279
"Pomoxis annularis",275
"Noturus exilis",270
"Hybognathus placitus",265
"Notropis percobromus",252
"Notropis atherinoides",251
"Etheostoma caeruleum",243
"Notemigonus crysoleucas",242
"Ammocrypta beanii",241
"Etheostoma cragini",241
"Luxilus cornutus",229
"Phoxinus erythrogaster",229
"Nocomis biguttatus",213
"Noturus flavus",211
"Moxostoma macrolepidotum",210
"Luxilus cardinalis",209
"Fundulus olivaceus",203
"Notropis boops",201
"Notropis dorsalis",199
"Ammocrypta bifascia",185
"Lepisosteus osseus",182
"Pylodictis olivaris",179
"Luxilus chrysocephalus",178
"Hypentelium nigricans",176
"Aplodinotus grunniens",173
"Notropis nubilus",172
"Ictiobus bubalus",171
"Micropterus punctulatus",171
"Percina copelandi",171
"Cottus carolinae",163
"Fundulus nottii",162
"Etheostoma zonale",158
"Notropis volucellus",153
"Etheostoma radiosum",150
"Cyprinella camura",149
"Scaphirhynchus platorynchus",146
"Fundulus escambiae",136
"Lepomis gulosus",135
"Morone chrysops",133
"Fundulus catenatus",131
"Pimephales tenellus",131
"Macrhybopsis storeriana",130
"Cyprinella spiloptera",121
"Macrhybopsis aestivalis",115
"Platygobio gracilis",114
"Etheostoma mihileze",112
"Lythrurus roseipinnis",109
"Notropis buchanani",108
"Noturus nocturnus",108
"Notropis longirostris",105
"Percina sciera",102
"Carpiodes cyprinus",101
"Labeobarbus intermedius intermedius",96
"Ictiobus cyprinellus",95
"Cyprinella venusta",94
"Etheostoma whipplei",94
"Minytrema melanops",92
"Etheostoma stigmaeum",91
"Sander vitreus",91
"Hybognathus hankinsoni",87
"Lepomis cyanellus x L. macrochirus",84
"Ambloplites rupestris",82
"Cottus bairdii",82
"Rhinichthys atratulus",82
"Rhinichthys cataractae",82
"Campostoma oligolepis",80
"Micropterus dolomieu",79
"Erimystax x-punctatus",78
"Moxostoma duquesnei",78
"Hybopsis amblops",75
"Rhinichthys osculus",74
"Pomoxis nigromaculatus",73
"Schizothorax richardsonii",72
"Hybopsis winchelli",71
"Noturus gyrinus",71
"Luxilus zonatus",70
"Menidia beryllina",70
"Cyprinella galactura",68
"Etheostoma chlorosomum",67
"Lepisosteus platostomus",66
"Luxilus pilsbryi",63
"Percina maculata",63
"Cyprinella whipplei",62
"Hiodon alosoides",61
"Notropis greenei",61
"Percina nigrofasciata",61
"Lythrurus ardens",60
"Notropis girardi",60
"Noturus placidus",59
"Notropis blennius",58
"Etheostoma gracile",57
"Chanos chanos",54
"Aphredoderus sayanus",52
"Lepomis punctatus",52
"Noturus miurus",52
"Elassoma zonatum",51
"Hybognathus argyritis",51
"Puntius conchonius",51
"Barbus gananensis (normal)",50
"Esox americanus",50
"Etheostoma proeliare",50
"Ictiobus niger",50
"Ammocrypta vivax",49
"Cycleptus elongatus",49
"Nocomis asper",49
"Erimyzon oblongus",48
"Etheostoma sp.",47
"Notropis buccatus",47
"Oreoleuciscus potanini",47
"Schistura corica",47
"Cyprinodon variegatus",46
"Notropis ariommus",46
"Fundulus sciadicus",45
"Notropis texanus",44
"Lythrurus fumeus",43
"Astyanax fasciatus",42
"Gasterosteus aculeatus",42
"Lepomis microlophus",42
"Rivulus sp.",42
"Garra sp.",41
"Perca flavescens",41
"Percilia gillissi",41
"Sander canadensis",41
"Coryphopterus hyalinus",40
"Lagodon rhomboides",40
"Leiostomus xanthurus",40
"Notropis hudsonius",40
"Etheostoma longimanum",39
"Notropis bairdi",39
"Percina shumardi",39
"Poecilia latipinna",39
"Schizothorax progastus",39
"Etheostoma juliae",38
"Nocomis leptocephalus",38
"Bujurquina zamorensis",37
