"Continent","Count"
"usa",41947
"npl",1486
"fji",1185
"ecu",956
"eth",678
"mex",593
"blz",578
"syc",525
"chl",181
"sur",181
"zaf",181
"slv",171
"gum",165
"jpn",151
"ton",147
"nic",114
"bmu",113
"aus",106
"can",94
"cri",89
"ven",84
"pan",83
"arg",68
"chn",63
"vnm",61
"col",52
"phl",52
"bra",47
"per",47
"ind",38
"hti",32
"lbn",32
"prt",29
"esp",25
"irq",25
"cub",22
"twn",22
"bhs",20
"bol",17
"gtm",16
"rou",14
"guf",12
"tha",12
"ury",12
"kor",11
"irl",10
"cod",8
"vut",8
"nor",7
"aut",6
"fra",5
"idn",5
"deu",4
"grl",4
"nld",4
"guy",3
"lka",3
"pyf",3
"nga",2
"ata",1
"bgr",1
"caf",1
"dma",1
"dom",1
"gha",1
"gin",1
"gnq",1
"hnd",1
"ita",1
"jam",1
"kaz",1
"lbr",1
"mhl",1
"mng",1
"moz",1
"pry",1
"slb",1
"som",1
"tza",1
