"Collector","Count"
"686",2
"l",7857
"kansas",6803
"b",6371
"and",6252
"of",6215
"department",6213
"wildlife",6187
"parks",6185
"al",6020
"et",5963
"frank",5495
"cross",5491
"a",4583
"r",4280
"c",4113
"e",3929
"william",3400
"d",2621
"w",2421
"j",2089
"m",2042
"pflieger",2001
"k",1938
"g",1882
"david",1823
"linda",1706
"fuselier",1697
"s",1666
"edward",1610
"wiley",1529
"t",1508
"donald",1507
"metcalf",1467
"artie",1466
"p",1344
"distler",1306
"randall",1287
"f",1280
"h",1271
"collection",1243
"tulsa",1243
"uncataloged",1243
"moss",1238
"o",1224
"kate",1206
"moots",1206
"richard",1156
"ku",1150
"smith",1138
"class",1122
"edds",1070
"mayden",1046
"yates",1032
"gerald",977
"john",967
"ichthyology",873
"braasch",839
"marvin",839
"saul",791
"michael",789
"gorman",596
"owen",596
"hague",563
"lindsay",563
"university",562
"biological",557
"survey",555
"steve",552
"haslouer",551
"glen",548
"anderson",543
"ken",533
"lessenden",531
"minckley",505
"wendell",505
"james",503
"unknown",502
"robert",501
"fred",487
"busey",486
"lawrence",486
"lynch",485
"judd",476
"kevin",471
"vernon",470
"joseph",469
"tabor",469
"collins",465
"albert",440
"stuart",439
"leon",437
"blair",423
"martin",384
"mills",367
"langston",342
"andrew",338
"n",326
"campbell",318
"adams",310
"conway",307
"kasev",307
"napit",307
"koehn",302
"wiseman",300
"longenecker",297
"carpenter",296
"ross",295
"taylor",293
"greenfield",290
"thomas",288
"warren",285
"olund",282
"field",278
"party",278
"graham",276
"don",273
"albaugh",268
"pat",263
"brumfield",261
"page",260
"grose",252
"george",243
"retzer",242
"swofford",241
"berg",240
"larry",227
"cavin",225
"chrapliwy",221
"pete",221
"wagner",220
"bell",212
"williams",211
"ray",209
"bentley",208
"leonard",197
"charles",195
"reuben",195
"moore",194
"johnson",192
"deacon",185
"jim",185
"long",178
"cole",174
"drenner",174
"kris",173
"mcnyset",173
"delbert",172
"stephen",171
"huggins",164
"nelson",161
"walter",159
"kilgore",157
"kathleen",155
"cliburn",154
"irwin",152
"domeier",151
"theodore",151
"eaton",150
"i",150
"hugh",147
"ron",146
"bardack",142
"hibbard",141
"arratia",139
"gloria",139
"witt",138
"paul",137
"robinson",136
"ghedotti",134
"heemstra",134
"phillip",134
"baraiya",133
"elaine",133
"jenoways",133
"saxena",133
"perry",131
"vandermeer",130
"kelly",128
"bob",127
"duane",122
"chanay",121
"davis",119
"rising",119
"leach",117
"powell",116
"sydney",116
"brunson",115
"rickett",110
"simons",110
"harold",108
"simco",107
"dalquest",102
"causey",101
"kerns",101
"siegel",101
"benson",100
"fisheries",100
"holcroft",100
"nancy",100
"garrick",99
"skalski",99
"annett",97
"cynthia",97
"hodson",96
"hillis",95
"peter",93
"marine",92
"nolan",92
"eisenbeis",91
"leichti",91
"meador",91
"tracey",91
"national",90
"service",90
"booth",88
"layher",87
"webb",87
"michaelson",86
"berendzen",85
"wood",85
"jaime",83
"janice",83
"villa",83
"henderson",82
"schmidt",82
